Rich Type,Id,Warnings,type,name,values,prefix,postfix,Usage Count,User Addable,Template Name,Template Id
checklist-sectioned,,,checklist,Installation - Punch Windows Installation QA Checklist,,,,,Yes,Installation - Punch Windows Installation QA Checklist,855c54ea-e629-4d27-87de-7f79dc8d0848
checkpoint-group,,,section,Pre-Install,,,,,,,
checkpoint-status,,,checkpoint,Opening correct (level and square within tolerance),,,,,,,
checkpoint-status,,,checkpoint,Opening wrapped and prepared,,,,,,,
checkpoint-group,,,section,Install,,,,,,,
checkpoint-status,,,checkpoint,Installed correctly to details (Shop Drawings),,,,,,,
checkpoint-status,,,checkpoint,Airseal installed and continuous,,,,,,,
checkpoint-status,,,checkpoint,"Sill flashing installed, Wanz bar installed.",,,,,,,
checkpoint-status,,,checkpoint,Head and jamb flashings installed as required,,,,,,,
checkpoint-status,,,checkpoint,All wedge and backing rubbers present and continuous,,,,,,,
checkpoint-status,,,checkpoint,Hardware- Operating smoothly and correctly,,,,,,,
checkpoint-status,,,checkpoint,Door hung square and operating smoothly,,,,,,,
checkpoint-status,,,checkpoint,Frames trade clean and free of any marks or scratches,,,,,,,
checkpoint-status,,,checkpoint,Timber Reveals free from Damage,,,,,,,
checkpoint-group,,,section,Glazing,,,,,,,
checkpoint-status,,,checkpoint,Glazing installed correctly and undamaged,,,,,,,
checkpoint-status,,,checkpoint,Glazing rubbers re complete and continuous,,,,,,,
checkpoint-status,,,checkpoint,Glass trade clean and stickers removed,,,,,,,
