"Matrix Name","Dimension","Name","Type / Data Field","Tag 1","Tag 2"
"ITP 001 Speed Panel"
,"Scope",,,"fire stairs"
,"Rows"
,,"Fire Stairs - Speedpanel Scissor Stair Dividing Wall","grouping","fire stairs - speedpanel scissor stair dividing wall"
,,"Ground Floor",,"ground floor","site qa","speedpanel scissor stair dividing wall","fire stairs"
,,"Level 1",,"site qa","level 1","speedpanel scissor stair dividing wall","fire stairs"
,,"Level 2",,"site qa","speedpanel scissor stair dividing wall","level 2","fire stairs"
,,"Level 3",,"site qa","speedpanel scissor stair dividing wall","fire stairs","level 3"
,,"Level 5",,"level 5","site qa","speedpanel scissor stair dividing wall","fire stairs"
,,"Level 6",,"level 6","site qa","speedpanel scissor stair dividing wall","fire stairs"
,,"Level 7",,"site qa","level 7","speedpanel scissor stair dividing wall","fire stairs"
,,"Level 8",,"site qa","level 8","speedpanel scissor stair dividing wall","fire stairs"
,,"Level 9",,"site qa","level 9","speedpanel scissor stair dividing wall","fire stairs"
,,"Level 10",,"level 10","site qa","speedpanel scissor stair dividing wall","fire stairs"
,,"Level 11",,"site qa","level 11","speedpanel scissor stair dividing wall","fire stairs"
,,"Level 12",,"site qa","level 12","speedpanel scissor stair dividing wall","fire stairs"
,,"Level 13",,"site qa","speedpanel scissor stair dividing wall","fire stairs","level 13"
,,"Level 15",,"level 15","site qa","speedpanel scissor stair dividing wall","fire stairs"
,,"Level 16",,"level 16","site qa","speedpanel scissor stair dividing wall","fire stairs"
,,"Level 17",,"site qa","level 17","speedpanel scissor stair dividing wall","fire stairs"
,,"Level 18",,"level 18","site qa","speedpanel scissor stair dividing wall","fire stairs"
,,"Level 19",,"site qa","level 19","speedpanel scissor stair dividing wall","fire stairs"
,,"Level 20",,"site qa","level 20","speedpanel scissor stair dividing wall","fire stairs"
,,"Level 21",,"level 21","site qa","speedpanel scissor stair dividing wall","fire stairs"
,,"Level 22",,"site qa","level 22","speedpanel scissor stair dividing wall","fire stairs"
,,"Level 23",,"site qa","level 23","speedpanel scissor stair dividing wall","fire stairs"
,,"Level 25",,"site qa","speedpanel scissor stair dividing wall","level 25","fire stairs"
,,"Level 26",,"level 26","site qa","speedpanel scissor stair dividing wall","fire stairs"
,,"Level 27",,"level 27","site qa","speedpanel scissor stair dividing wall","fire stairs"
,,"Level 28",,"site qa","level 28","speedpanel scissor stair dividing wall","fire stairs"
,,"Level 29",,"level 29","site qa","speedpanel scissor stair dividing wall","fire stairs"
,,"Level 30",,"level 30","site qa","speedpanel scissor stair dividing wall","fire stairs"
,,"Level 31",,"site qa","level 31","speedpanel scissor stair dividing wall","fire stairs"
,,"Level 32",,"level 32","site qa","speedpanel scissor stair dividing wall","fire stairs"
,"Columns"
,,"Materials Inspected upon delivery",,"materials inspected upon delivery"
,,"Wall dimension checked against drawings & setout",,"wall dimension checked against drawings & setout; wall types confirmed against partition plans"
,,"C-Track installed as manufacturer's specs. to top/bottom/both sides",,"c-track installed as manufacturer's specification to top, bottom and both sides"
,,"Panels installed as manufacturer's specs.",,"panels installed as manufacturer's specifications"
,,"Comprehensive first of type inspection",,"comprehensive first of type inspection"

"ITP 001a Speed Panel"
,"Scope",,,"northern core risers & plant rooms"
,"Rows"
,,"Northern Core Risers & Plant Rooms - Speedpanel Northern Core Risers & Plant Rooms","grouping","northern core risers & plant rooms - speedpanel northern core risers & plant rooms"
,,"Level 1",,"northern core risers & plant rooms","site qa","speedpanel northern core risers & plant rooms","level 1"
,,"Level 2",,"northern core risers & plant rooms","site qa","speedpanel northern core risers & plant rooms","level 2"
,,"Level 3",,"northern core risers & plant rooms","site qa","speedpanel northern core risers & plant rooms","level 3"
,,"Level 5",,"level 5","northern core risers & plant rooms","site qa","speedpanel northern core risers & plant rooms"
,,"Level 6",,"level 6","northern core risers & plant rooms","site qa","speedpanel northern core risers & plant rooms"
,,"Level 7",,"northern core risers & plant rooms","site qa","level 7","speedpanel northern core risers & plant rooms"
,,"Level 8",,"northern core risers & plant rooms","site qa","speedpanel northern core risers & plant rooms","level 8"
,,"Level 9",,"northern core risers & plant rooms","site qa","speedpanel northern core risers & plant rooms","level 9"
,,"Level 10",,"northern core risers & plant rooms","level 10","site qa","speedpanel northern core risers & plant rooms"
,,"Level 11",,"northern core risers & plant rooms","site qa","speedpanel northern core risers & plant rooms","level 11"
,,"Level 12",,"northern core risers & plant rooms","site qa","speedpanel northern core risers & plant rooms","level 12"
,,"Level 13",,"northern core risers & plant rooms","site qa","speedpanel northern core risers & plant rooms","level 13"
,,"Level 15",,"level 15","northern core risers & plant rooms","site qa","speedpanel northern core risers & plant rooms"
,,"Level 16",,"level 16","northern core risers & plant rooms","site qa"
,,"Level 17",,"northern core risers & plant rooms","site qa","level 17"
,,"Level 18",,"level 18","northern core risers & plant rooms","site qa","speedpanel northern core risers & plant rooms"
,,"Level 19",,"northern core risers & plant rooms","site qa","speedpanel northern core risers & plant rooms","level 19"
,,"Level 20",,"northern core risers & plant rooms","site qa","level 20","speedpanel northern core risers & plant rooms"
,,"Level 21",,"northern core risers & plant rooms","level 21","site qa","speedpanel northern core risers & plant rooms"
,,"Level 22",,"northern core risers & plant rooms","site qa","speedpanel northern core risers & plant rooms","level 22"
,,"Level 23",,"northern core risers & plant rooms","site qa","speedpanel northern core risers & plant rooms","level 23"
,,"Level 25",,"northern core risers & plant rooms","site qa","speedpanel northern core risers & plant rooms","level 25"
,,"Level 26",,"level 26","northern core risers & plant rooms","site qa","speedpanel northern core risers & plant rooms"
,,"Level 27",,"level 27","northern core risers & plant rooms","site qa","speedpanel northern core risers & plant rooms"
,,"Level 28",,"northern core risers & plant rooms","site qa","level 28","speedpanel northern core risers & plant rooms"
,,"Level 29",,"level 29","northern core risers & plant rooms","site qa","speedpanel northern core risers & plant rooms"
,,"Level 30",,"level 30","northern core risers & plant rooms","site qa","speedpanel northern core risers & plant rooms"
,,"Level 31",,"northern core risers & plant rooms","site qa","level 31","speedpanel northern core risers & plant rooms"
,,"Level 32",,"northern core risers & plant rooms","level 32","site qa","speedpanel northern core risers & plant rooms"
,"Columns"
,,"Materials Inspected upon delivery",,"materials inspected upon delivery"
,,"Wall dimension checked against drawings & setout",,"wall dimension checked against drawings & setout; wall types confirmed against partition plans"
,,"C-Track installed as manufacturer's specs. to top/bottom/both sides",,"c-track installed as manufacturer's specification to top, bottom and both sides"
,,"Panels installed as manufacturer's specs.",,"panels installed as manufacturer's specifications"
,,"Penetration cut, trimmed & sealed as per builder drawings",,"penetration cut, trimmed and sealed as per builder' drawings"
,,"Door Frame installed as per manufacturer's specs.",,"door frame installed as per manufacturer's specification"
,,"Flashing head-protection",,"flashing head-protection"
,,"Comprehensive first of type inspection",,"comprehensive first of type inspection"

"ITP 001b Speed Panel"
,"Scope",,,"fire stairs"
,"Rows"
,,"Level 1","grouping","level 1"
,,"Speedpanel Stair Pressurisation Shaft 1",,"site qa","speedpanel stair pressurisation shaft 1","level 1","fire stairs"
,,"Speedpanel Stair Pressurisation Shaft 2",,"site qa","speedpanel stair pressurisation shaft 2","level 1","fire stairs"
,,"Level 2","grouping","level 2"
,,"Speedpanel Stair Pressurisation Shaft 1",,"site qa","speedpanel stair pressurisation shaft 1","level 2","fire stairs"
,,"Speedpanel Stair Pressurisation Shaft 2",,"site qa","speedpanel stair pressurisation shaft 2","level 2","fire stairs"
,,"Level 3","grouping","level 3"
,,"Speedpanel Stair Pressurisation Shaft 1",,"site qa","speedpanel stair pressurisation shaft 1","fire stairs","level 3"
