"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"ed103141-94f8-4df5-a64c-9cf6ae680e2d","","folder-normal","pass","","step","TRUE","FALSE","2A Ground Floor"
"ec8273e9-b852-4c61-b837-e86542c61f8c","","checklist-flat","pass","SYS - Archived checklist 1","checklist-flat","FALSE","FALSE","2A Ground Floor","1.1 & 1.2. Workshop 1&2, Model, Tools, Sports & Cleaners Store"
"1d2966b7-e693-4522-ad14-66dfcd980e3e","","folder-normal","pass","","step","TRUE","FALSE","2A First Floor"
"c0453deb-15c5-4b83-a87f-cc370203c4e9","","checklist-flat","pass","SYS - Archived checklist 1","checklist-flat","FALSE","FALSE","2A First Floor","2.1 & 2.2 Balconies"
"bea45f65-f09a-4b33-aa97-518294f16fd7","","checklist-flat","pass","SYS - Archived checklist 1","checklist-flat","FALSE","FALSE","2A First Floor","2.3 &2.4 Undercover outdoor Access"
"0fbe7086-6135-4489-bced-5121dd24fc9a","","folder-normal","pass","","step","TRUE","FALSE","2A Roof"
"5f065022-5d79-485f-b44a-c6061ef58c8b","","checklist-flat","pass","SYS - Archived checklist 1","checklist-flat","FALSE","FALSE","2A Roof","3.1 & 3.2 Plant Deck"
"d77d0f9f-1b7f-4024-a5b7-455830173566","","checklist-flat","pass","SYS - Archived checklist 1","checklist-flat","FALSE","FALSE","2A Roof","9.1 & 9.2 Lift Overrun"
"bf9e053d-4006-40fe-9c56-d6b737e81ad5","","folder-normal","pass","","step","TRUE","FALSE","2A Frist Floor - Amenities"
"ca16c55c-b968-454f-9b39-e0a562958ac4","","checklist-flat","pass","SYS - Archived checklist 1","checklist-flat","FALSE","FALSE","2A Frist Floor - Amenities","5.1 & 5.2. Balconies"
"182c7b3e-cdf7-49e9-91f8-e763ce500981","","folder-normal","not-started","","step","TRUE","FALSE","2B First Floor"
"6d633252-b1e2-4373-bb89-4fa265fe8caa","","checklist-flat","not-started","SYS - Archived checklist 1","checklist-flat","FALSE","FALSE","2B First Floor","Balconies"
"cb4372b2-f853-4bbd-9577-48e887b1a7e7","","folder-normal","not-started","","step","TRUE","FALSE","2B Roof"
"daf9dbe3-66c0-4964-927e-237de9ddf89a","","checklist-flat","not-started","SYS - Archived checklist 1","checklist-flat","FALSE","FALSE","2B Roof","Plant Deck"
"71e568d8-9bb4-4ad3-9958-dca50e897298","","folder-normal","pass","","step","TRUE","FALSE","2B Park Site"
"77f1f17a-2894-4660-aa42-9df63ec65324","","checklist-flat","pass","SYS - Archived checklist 2","checklist-flat","FALSE","FALSE","2B Park Site","6.1 & 6.2 Planters"
