"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"5a77269c-ccff-41be-a8ac-bdbe9b8e3b59","","folder-normal","pass","","step","TRUE","FALSE","Lot 3 / Zone A (Medi Suite)"
"764e856a-1d69-4310-85f9-88c06a0e2cc7","","folder-normal","pass","","step","TRUE","FALSE","Lot 3 / Zone A (Medi Suite)","ROOF (outer)"
"fc58d716-c81f-456b-bdbd-4f7c94804984","","checklist-sectioned","pass","Enviro Shield + Enviro 700X + Enviro 800 TC","checklist","FALSE","FALSE","Lot 3 / Zone A (Medi Suite)","ROOF (outer)","Enviro Shield + Enviro 700X + Enviro 800 TC"
"f0983cca-5818-4c8d-aa8b-ec797c2532d3","","checklist-sectioned","pass","Enviro Shield + Enviro 700X + Enviro 800 TC","checklist","FALSE","FALSE","Lot 3 / Zone A (Medi Suite)","Enviro Shield + + Enviro 800 TC"
"22a25869-7aa4-4897-9885-bb73ce208993","","folder-normal","pass","","step","TRUE","FALSE","Lot 1B / Zone B1 (Commercial)"
"3e833719-345f-4e5e-8fff-18802ef7920d","","folder-normal","pass","","step","TRUE","FALSE","Lot 1B / Zone B1 (Commercial)","ROOF"
"57057539-6bc7-401b-a68c-65dc9b4c9f2c","","checklist-sectioned","pass","Enviro Shield + Enviro 700X + Enviro 800 TC","checklist","FALSE","FALSE","Lot 1B / Zone B1 (Commercial)","ROOF","Enviro Shield + Enviro 700X + Enviro 800 TC"
"8440a2f1-a56d-4658-a23f-05258f702477","","folder-normal","work-in-progress","","step","TRUE","FALSE","Lot 1A / Zone B2 (Hotel)"
"71bceef2-db7d-4a4d-ba97-4a7c86501459","","folder-normal","work-in-progress","","step","TRUE","FALSE","Lot 1A / Zone B2 (Hotel)","ROOF"
"ffe9f247-fa8a-48b2-a676-7f411e8df785","","checklist-sectioned","work-in-progress","Enviro Shield + Enviro 700X + Enviro 800 TC","checklist","FALSE","FALSE","Lot 1A / Zone B2 (Hotel)","ROOF","Enviro Shield + Enviro 700X + Enviro 800 TC"
"bf643768-6393-4986-b399-ebfb2bfd1e06","","folder-normal","work-in-progress","","step","TRUE","FALSE","Lot 1A / Zone B2 (Hotel)","Outer roof"
"d6771407-6860-4c97-87ae-e6a8f62edea5","","checklist-sectioned","work-in-progress","Enviro Shield + Enviro 700X + Enviro 800 TC","checklist","FALSE","FALSE","Lot 1A / Zone B2 (Hotel)","Outer roof","Enviro Shield + Enviro 700X + Enviro 800 TC"
"3f3fe278-a0ce-4fb1-bb53-03911bada461","","folder-normal","work-in-progress","","step","TRUE","FALSE","Lot 2A / Zone C (Aged Care)"
"151214af-604e-4821-ae0c-280d15648d6b","","checklist-sectioned","work-in-progress","Enviro Shield + Enviro 700X + Enviro 800 TC","checklist","FALSE","FALSE","Lot 2A / Zone C (Aged Care)","Enviro Shield + Enviro 700X + Enviro 800 TC"
