"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"eb6f8334-fa10-41a3-986b-63bca422cb48","","folder-normal","work-in-progress","","step","TRUE","FALSE","ZONE C (MEMBRANE & COATING)"
"8f3b55aa-f96a-4160-b118-9d7b1b727d60","","checklist-sectioned","work-in-progress","Enviro Systems - Full Removal & Reinstatement of Membrane System","checklist","FALSE","FALSE","ZONE C (MEMBRANE & COATING)","Enviro Systems - Full Removal & Reinstatement of Membrane System"
"918919ae-b3da-4663-8561-79000e47a460","","folder-normal","work-in-progress","","step","TRUE","FALSE","ZONE C (COATING)"
"0189be74-a1f8-46e1-86af-825ee7ed168f","","checklist-sectioned","work-in-progress","Enviro Systems - Top Coat Rectification","checklist","FALSE","FALSE","ZONE C (COATING)","Enviro Systems - Top Coat Rectification"
"dc95df15-efe6-4be4-8810-3e25f4e6652c","","folder-normal","work-in-progress","","step","TRUE","FALSE","ZONE B (MEMBRANE & COATING)"
"0438808c-6efd-491c-b771-2e00a244a2b8","","checklist-sectioned","work-in-progress","Enviro Systems - Full Removal & Reinstatement of Membrane System","checklist","FALSE","FALSE","ZONE B (MEMBRANE & COATING)","Enviro Systems - Full Removal & Reinstatement of Membrane System"
"7db38165-df08-49ed-a153-134dfe013bf6","","folder-normal","work-in-progress","","step","TRUE","FALSE","ZONE B (COATING)"
"9ed6675e-b9b9-4785-86ce-f6ccdc5f3d44","","checklist-sectioned","work-in-progress","Enviro Systems - Top Coat Rectification","checklist","FALSE","FALSE","ZONE B (COATING)","Enviro Systems - Top Coat Rectification"
"16532670-f274-4b23-8a20-5a8c91441eab","","folder-normal","work-in-progress","","step","TRUE","FALSE","ZONE A (COATING)"
"17bfc286-7f0b-4837-a9b4-e258c20df8dd","","checklist-sectioned","work-in-progress","Enviro Systems - Top Coat Rectification","checklist","FALSE","FALSE","ZONE A (COATING)","Enviro Systems - Top Coat Rectification"
"588f02c1-b56b-4cc4-871e-d47d851213c4","","folder-normal","work-in-progress","","step","TRUE","FALSE","ZONE D (MEMBRANE & COATING)"
"f4065948-ca2b-460e-a4da-26f0dfc59a41","","checklist-sectioned","work-in-progress","Enviro Systems - Full Removal & Reinstatement of Membrane System","checklist","FALSE","FALSE","ZONE D (MEMBRANE & COATING)","Enviro Systems - Full Removal & Reinstatement of Membrane System"
"e4f3d2b1-a672-4b20-af6b-f6b343f9515d","","folder-normal","work-in-progress","","step","TRUE","FALSE","ZONE D (COATING)"
"0097f84c-4ea9-4762-ac7f-a94244fd7843","","checklist-sectioned","work-in-progress","Enviro Systems - Top Coat Rectification","checklist","FALSE","FALSE","ZONE D (COATING)","Enviro Systems - Top Coat Rectification"
"480dd797-5b4d-40ed-97dd-47ebe548af0b","","folder-normal","work-in-progress","","step","TRUE","FALSE","ZONE E (COATING)"
"d0c9abc7-415c-4f25-914f-a33ae6bf15f0","","checklist-sectioned","work-in-progress","Enviro Systems - Top Coat Rectification","checklist","FALSE","FALSE","ZONE E (COATING)","Enviro Systems - Top Coat Rectification"
"3fa84010-8ae3-4faa-8131-8b1129019cfd","","folder-normal","pass","","step","TRUE","FALSE","MARK UPS"
"d2defe6e-e295-4e9b-9907-81ba29c13cd4","","checklist-flat","pass","Attachment Checklist","checklist-flat","FALSE","FALSE","MARK UPS","Attachment"
