"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"62a6be2e-9e04-4bf0-930f-0d34f4f8f3b5","","folder-normal","not-started","","step","TRUE","FALSE","Lift Pit"
"56064e06-899d-464c-aa67-23a936d61e55","","checklist-flat","not-started","SYS - Archived checkist 1","checklist-flat","FALSE","FALSE","Lift Pit","Internal base of lift pit + 150mm upturns (Enviro Hydrostatic)"
"ab8616f8-d206-4d00-829b-e612d531a500","","folder-normal","pass","","step","TRUE","FALSE","Service Rooms "
"8dee64f8-75cf-4f3c-bd1c-c006201ccbf6","","checklist-flat","pass","SYS - Archived checkist 2","checklist-flat","FALSE","FALSE","Service Rooms ","1st layer waterproofing to GF Bin Room, Commercial waste + Upturns 150mm (Enviro BLV + HP1200)"
"7eeea7dc-4a3c-44de-980d-791c1e5744b0","","checklist-flat","pass","SYS - Archived checkist 3","checklist-flat","FALSE","FALSE","Service Rooms ","2nd layer waterproofing to GF Bin Room, Commercial waste + Upturns 150mm (Primer + Enviro HP1200+800TC)"
"1d3b1f37-171c-4e24-80ee-388f2412903c","","folder-normal","pass","","step","TRUE","FALSE","Plant Room"
"95d60e76-c226-4786-99e2-c71c3003c132","","checklist-flat","pass","SYS - Archived checkist 3","checklist-flat","FALSE","FALSE","Plant Room","Mezzanine Level Plant rooms (mech room, fire tank room 01 & 02, fire pump room) + upturns (Primer +Enviro HP1200+800TC)"
"6a0392b3-7ebc-4aec-b740-89cc6f596871","","folder-normal","pass","","step","TRUE","FALSE","Terrace"
"a6b41348-e643-4e38-889b-b9f3d3128f3b","","checklist-flat","pass","SYS - Archived checkist 2","checklist-flat","FALSE","FALSE","Terrace","Level 01 Terrace + upturns (Enviro BLV + HP1200)"
"224d2c64-01a8-49c0-87ad-a7fc926597c8","","checklist-flat","pass","SYS - Archived checkist 2","checklist-flat","FALSE","FALSE","Terrace","Level 04 Terrace + upturns (Enviro BLV + HP1200)"
"18f96593-a3fa-4485-b3c7-f744cb3b31c9","","checklist-flat","pass","SYS - Archived checkist 2","checklist-flat","FALSE","FALSE","Terrace","Level 020 Terrace + upturns (Enviro BLV + HP1200)"
"b793bf32-486e-492a-9dec-8ba87c78d2b7","","folder-normal","pass","","step","TRUE","FALSE","Planters"
"216d6fe8-0073-4e36-92f6-f6b9a5a24acd","","checklist-flat","pass","SYS - Archived checkist 2","checklist-flat","FALSE","FALSE","Planters","L20 Planter base + Walls (Enviro BLV + HP1200)"
"b50908ff-13d6-4e3c-95a7-2832b11845bd","","folder-normal","pass","","step","TRUE","FALSE","Facade Access"
"8afe523d-9dd3-449e-a69d-dfa398d20f8e","","checklist-flat","pass","SYS - Archived checkist 3","checklist-flat","FALSE","FALSE","Facade Access","L20 Façade Access Area + upturns (Primer + Enviro HP1200+800TC)"
"6076a741-5c45-4066-bfe8-12c71e01bcd9","","folder-normal","pass","","step","TRUE","FALSE","Roof"
"9b247662-b8c4-4184-aa9e-f6f1213e9f48","","checklist-flat","pass","SYS - Archived checkist 3","checklist-flat","FALSE","FALSE","Roof","Roof Plant area + Upturns (Primer + Enviro HP1200+800TC)"
"2fcffb00-007c-4dcc-ba5a-a80fcabf177b","","checklist-flat","pass","SYS - Archived checkist 3","checklist-flat","FALSE","FALSE","Roof","Upturns to sides of plinths on Roof level (Primer + Enviro HP1200+800TC)"
"6c02b7eb-bcac-44c3-9a24-0a61d5822d0e","","checklist-flat","pass","SYS - Archived checkist 3","checklist-flat","FALSE","FALSE","Roof","Lift Overrun + Downturns 150mm ( Primer + Enviro HP1200+800TC)"
"2d7074bc-faae-414d-97e0-fd408645b963","","folder-normal","pass","","step","TRUE","FALSE","Fixings"
"611b9b81-166b-48eb-96ee-b87a09d35816","","checklist-flat","pass","SYS - Archived checkist 3","checklist-flat","FALSE","FALSE","Fixings","L20 Roof terrace Base plates, 4 fixings per base plate ( Primer + Enviro HP1200+800TC)"
"c5a78662-0b42-4f98-a313-40ce83f11db5","","checklist-flat","pass","SYS - Archived checkist 3","checklist-flat","FALSE","FALSE","Fixings","Roof level base plate fixings ( Primer + Enviro HP1200+800TC)"
"6fc03991-12c0-47c7-9eae-0500a576e840","","checklist-flat","pass","SYS - Archived checkist 3","checklist-flat","FALSE","FALSE","Fixings","Level 1 base plate and façade fixings ( Primer + Enviro HP1200+800TC)"
"cbd79deb-3683-47ee-ad1f-0540b775980e","","checklist-flat","pass","SYS - Archived checkist 3","checklist-flat","FALSE","FALSE","Fixings","Level 4 base plate and façade fixings ( Primer + Enviro HP1200+800TC)"
"15adad23-fb24-43d3-b096-2274a8bc1f68","","folder-normal","pass","","step","TRUE","FALSE","Bandage to Penetrations"
"78b67547-3ab8-467f-9b5b-30e9a89c1b2c","","checklist-flat","pass","SYS - Archived checkist 3","checklist-flat","FALSE","FALSE","Bandage to Penetrations","300mm bandage to penetrations ( Primer +Enviro HP1200+800TC)"
