"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"c1eef60e-af78-4a42-b30c-c1f54b5109a5","","folder-normal","pass","","step","TRUE","FALSE","PKV-LFT-0004 - LIFT TYPE 1 SINGLE LIFT"
"5d414cf3-3a8f-4d9b-bee1-324174f1a4ba","","checklist-flat","pass","SYS - Archived checklist 1","checklist-flat","FALSE","FALSE","PKV-LFT-0004 - LIFT TYPE 1 SINGLE LIFT","Enviro HP1200"
"fc3839ec-7352-4bee-88da-31cfd1667fc0","","folder-normal","pass","","step","TRUE","FALSE","PKV-LFT-0003 - LIFT TYPE 1 SINGLE LIFT"
"82820460-f015-4f6f-a5c8-40b49a8a5f00","","checklist-flat","pass","SYS - Archived checklist 1","checklist-flat","FALSE","FALSE","PKV-LFT-0003 - LIFT TYPE 1 SINGLE LIFT","Enviro HP1200"
"b9763053-3800-45eb-8eb9-044046fc3fa9","","folder-normal","not-started","","step","TRUE","FALSE","VCCC PORTAL CANOPY"
"4a455ed3-e103-49aa-a981-1213a7a5f6af","","checklist-flat","not-started","SYS - Archived checklist 1","checklist-flat","FALSE","FALSE","VCCC PORTAL CANOPY","Enviro HP1200"
"f66d1ab2-ad5a-4d35-b617-e616f40d1322","","folder-normal","not-started","","step","TRUE","FALSE","RMH PORTAL CANOPY"
"76552340-104d-459a-a2a1-3069bc9034fe","","checklist-flat","not-started","SYS - Archived checklist 1","checklist-flat","FALSE","FALSE","RMH PORTAL CANOPY","Enviro HP1200"
"3bf772f2-968d-47ae-976d-8fe276e33b1b","","folder-normal","not-started","","step","TRUE","FALSE","ROYAL PARADE PORTAL CANOPY"
"ef2fd45f-c8e6-493f-83d7-38d6992ab788","","checklist-flat","not-started","SYS - Archived checklist 1","checklist-flat","FALSE","FALSE","ROYAL PARADE PORTAL CANOPY","Enviro HP1200"
"96820bbc-3891-48f8-81e4-8561371b56e1","","folder-normal","pass","","step","TRUE","FALSE","GATE KEEPERS "
"071a6dd6-361a-49e0-be65-f13acc2d5a22","","checklist-flat","pass","SYS - Archived checklist 1","checklist-flat","FALSE","FALSE","GATE KEEPERS ","Enviro HP1200"
"615aa235-335f-40f2-a1a4-b5c2b7b19c14","","folder-normal","not-started","","step","TRUE","FALSE","Area 4 - PKV-LFT-0005/0009 - LIFT TYPE 2 DOUBLE LIFT"
