"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"c290174f-e838-4911-91a1-fd3734043ae4","","folder-normal","work-in-progress","","step","TRUE","FALSE","Plinths on the roof"
"ced4291b-672a-4ea7-848b-a023661390d2","","checklist-flat","work-in-progress","SYS - Enviro 700X + 250NS","checklist-flat","FALSE","FALSE","Plinths on the roof","Enviro 700X + 250NS"
"2bf86779-a517-487c-9b86-074761872af4","","folder-normal","work-in-progress","","step","TRUE","FALSE","Level 37 plant room "
"2b8f3f69-268d-4e11-ac6c-82c85eeb3533","","checklist-flat","work-in-progress","SYS - Enviro 700X + 250NS","checklist-flat","FALSE","FALSE","Level 37 plant room ","Enviro 700X + 250NS"
"7dd7758e-ab64-414a-9524-4a2b7dfe8ac7","","folder-normal","work-in-progress","","step","TRUE","FALSE","Fire Tank and Water Tank on Basement 01 south"
"353b0f34-497a-4489-9b97-bd3fd91f2c12","","checklist-sectioned","work-in-progress","HP1200 v1.1","checklist","FALSE","FALSE","Fire Tank and Water Tank on Basement 01 south","Enviro Primer + Enviro HP1200"
