"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"a9548619-de78-43d7-b185-abd29f4a3fc7","","folder-normal","not-started","","step","TRUE","FALSE","Ground Floor Planter boxes"
"4ce1cdfb-54c2-4ddd-89e7-42237b566bd0","","folder-normal","not-started","","step","TRUE","FALSE","Ground Floor Planter boxes","South Planters - 6 NO."
"fdcccf7c-22cd-4ee0-a180-4cfd15a0ee0c","","checklist-flat","not-started","Enviro 700X","checklist-flat","FALSE","FALSE","Ground Floor Planter boxes","South Planters - 6 NO.","Planter No.01"
"c3e69e2e-12c2-4c81-bba1-2f7c5be5ca2c","","checklist-flat","not-started","Enviro 700X","checklist-flat","FALSE","FALSE","Ground Floor Planter boxes","South Planters - 6 NO.","Planter No.02"
"84b83a5a-c21e-4feb-9232-97f42be2f40a","","checklist-flat","not-started","Enviro 700X","checklist-flat","FALSE","FALSE","Ground Floor Planter boxes","South Planters - 6 NO.","Planter No.03"
"5b24b82b-b576-480a-96bb-9c1b0f3c7285","","checklist-flat","not-started","Enviro 700X","checklist-flat","FALSE","FALSE","Ground Floor Planter boxes","South Planters - 6 NO.","Planter No.04"
"c52a8669-f35b-4fb6-84a0-438d696b0a8e","","checklist-flat","not-started","Enviro 700X","checklist-flat","FALSE","FALSE","Ground Floor Planter boxes","South Planters - 6 NO.","Planter No.05"
"c639ff64-1fba-47fa-8fb1-9094d7d42ad5","","checklist-flat","not-started","Enviro 700X","checklist-flat","FALSE","FALSE","Ground Floor Planter boxes","South Planters - 6 NO.","Planter No.06"
"c5d280d6-7006-4729-a824-0a8714ecc7c3","","folder-normal","not-started","","step","TRUE","FALSE","Ground Floor Planter boxes","Central Planters - 3 NO."
"79562ffe-6ed1-4c6f-9e6e-ff1b04637b28","","checklist-flat","not-started","Enviro 700X","checklist-flat","FALSE","FALSE","Ground Floor Planter boxes","Central Planters - 3 NO.","Planter No.07"
"0d4ad6fc-ec11-4c6e-aa6c-265e1ccc602c","","checklist-flat","not-started","Enviro 700X","checklist-flat","FALSE","FALSE","Ground Floor Planter boxes","Central Planters - 3 NO.","Planter No.08"
"e084ecc5-5cf3-4dfa-aa68-ef51fc9bc996","","checklist-flat","not-started","Enviro 700X","checklist-flat","FALSE","FALSE","Ground Floor Planter boxes","Central Planters - 3 NO.","Planter No.09"
"702cf9a7-15ed-4073-9191-2d26d603eb34","","folder-normal","not-started","","step","TRUE","FALSE","Ground Floor Planter boxes","North Planters - 2 NO."
"7f3add90-042f-4c2f-abc1-02ac8bbe0da7","","checklist-flat","not-started","Enviro 700X","checklist-flat","FALSE","FALSE","Ground Floor Planter boxes","North Planters - 2 NO.","Planter No.10"
"bf64eb71-dbb7-4ae1-82a0-eba3a43838c9","","checklist-flat","not-started","Enviro 700X","checklist-flat","FALSE","FALSE","Ground Floor Planter boxes","North Planters - 2 NO.","Planter No.11"
"2de2635b-dce5-45ae-920c-8ed6f40d1152","","folder-normal","not-started","","step","TRUE","FALSE","Level 01 Planter boxes Base "
"1ddccaf8-55cd-4755-8b76-260723621320","","checklist-flat","not-started","Enviro 700X","checklist-flat","FALSE","FALSE","Level 01 Planter boxes Base ","Enviro 700X"
"13be5f83-846c-4b0c-8334-6ccecd98ca1a","","folder-normal","not-started","","step","TRUE","FALSE","Level 01 - Membrane to underneath FYTOGREEN Planters"
"aad431bf-b652-47b1-aabf-2256120cbf85","","checklist-flat","not-started","Enviro 700X","checklist-flat","FALSE","FALSE","Level 01 - Membrane to underneath FYTOGREEN Planters","Enviro 700X"
"a1352485-b503-4a78-be40-19da0d43f27b","","folder-normal","not-started","","step","TRUE","FALSE","Level 02 / Roof - Membrane to underneath FYTOGREEN Planters"
"29688bbd-ae64-4e34-be14-26ec852ea769","","checklist-flat","not-started","Enviro 700X","checklist-flat","FALSE","FALSE","Level 02 / Roof - Membrane to underneath FYTOGREEN Planters","Enviro 700X"
"d13cd8a1-9639-4629-baac-fe4401ebaae6","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Screed to planters on Ground Floor and Level 01 "
