"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"3b8f89e5-f6a5-4769-b9f6-7ca82b52844f","","folder-normal","no-status-not-started","","step","TRUE","FALSE","INJECTION WORKS"
"8ccb058d-1c46-4ebd-a06b-ef6ab1251595","","folder-normal","pass","","step","TRUE","FALSE","TEMPORARY WORKS"
"7bc5a951-fc5e-4613-9638-5755a358c63c","","checklist-sectioned","pass","Enviro 700X V1.0","checklist","FALSE","FALSE","TEMPORARY WORKS","TEMPORARY MEMBRANE TO DWARF WALLS"
"f28b5ec9-d0d7-4fe6-bf76-c259a91de598","","folder-normal","work-in-progress","","step","FALSE","FALSE","Variations"
"33e6d5b6-cf03-436b-a14a-6f925f12316d","","checklist-flat","work-in-progress","85be1b7597d1d0eeeddc67fc3b25af8ce8f18a20d3545254ff7b0e1e45c44e41","checklist-flat","FALSE","FALSE","Variations","INJECTION WORKS"
"d813cc7a-3d7e-4740-bf49-997997920ec3","","checklist-flat","pass","85be1b7597d1d0eeeddc67fc3b25af8ce8f18a20d3545254ff7b0e1e45c44e41","checklist-flat","FALSE","FALSE","Variations","TEMPORARY MEMBRANE TO DWARF WALLS"
