"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"6c7886b2-5bb2-47a8-85ef-4dc37fb84b20","","folder-normal","work-in-progress","","step","TRUE","FALSE","S1 Waterproofing "
"b6266747-e049-4e34-9c93-76fd06a96973","","folder-normal","not-started","","step","TRUE","FALSE","S1 Waterproofing ","Ground "
"aa2c48e4-6e14-461b-99ed-654997c4fced","","checklist-sectioned","not-started","HP1200 v1.1","checklist","FALSE","FALSE","S1 Waterproofing ","Ground ","Planters"
"fd2f8725-d03b-4cf9-bf9a-6f911c4d82bb","","checklist-sectioned","not-started","HP1200 v1.1","checklist","FALSE","FALSE","S1 Waterproofing ","Ground ","Entrance Stairs and Porches"
"9c771d65-7ba9-4e0f-854f-a15cb3df60d4","","checklist-sectioned","not-started","HP1200 v1.1","checklist","FALSE","FALSE","S1 Waterproofing ","Ground ","Internal Terraces"
"646d2186-73a0-4511-bbf5-eaacf4614409","","folder-normal","work-in-progress","","step","TRUE","FALSE","S1 Waterproofing ","Level 1 "
"3ca674d4-e8f0-47e7-9a4f-6ec9e4e1aca1","","checklist-sectioned","not-started","HP1200 v1.1","checklist","FALSE","FALSE","S1 Waterproofing ","Level 1 ","Planters"
"f9870b7f-18a0-49e8-a66b-43b1feef0ed5","","checklist-sectioned","not-started","HP1200 v1.1","checklist","FALSE","FALSE","S1 Waterproofing ","Level 1 ","Balconies and Terraces"
"f4413d92-0b2c-4943-bb8f-55a127ffc091","","folder-normal","work-in-progress","","step","TRUE","FALSE","S1 Waterproofing ","Level 1 ","Set downs "
"ca3951dd-d1d8-43ab-a224-96db87ef054a","","checklist-sectioned","work-in-progress","Enviro P2 + 700X V1.1","checklist","FALSE","FALSE","S1 Waterproofing ","Level 1 ","Set downs ","Enviro P2 + 700X V1.1"
"c12cfd3b-6a72-4162-b80b-25ab6f1762e4","","folder-normal","work-in-progress","","step","TRUE","FALSE","S1 Waterproofing ","Level 2"
"29fa5aad-5800-4e39-95c1-b7b34dc554bb","","checklist-sectioned","not-started","HP1200 v1.1","checklist","FALSE","FALSE","S1 Waterproofing ","Level 2","Planters"
"04b738f2-832f-4e0c-93b2-970e5724fa9d","","checklist-sectioned","not-started","HP1200 v1.1","checklist","FALSE","FALSE","S1 Waterproofing ","Level 2","Balconies and Terraces"
"c6461f68-7278-4807-8f9d-08b6faf2f3f3","","folder-normal","pass","","step","TRUE","FALSE","S1 Waterproofing ","Level 2","Set downs "
"6f89dfa3-8a53-4d95-bd89-d8b627b49ccb","","checklist-sectioned","pass","Enviro 700X V1.0","checklist","FALSE","FALSE","S1 Waterproofing ","Level 2","Set downs ","Enviro 700X V1.0"
"a81ceaf9-797f-498d-b470-4ea6175c69c8","","folder-normal","not-started","","step","TRUE","FALSE","S2 Waterproofing "
"798f4473-50b9-4f5e-aec5-dbb35ddce928","","folder-normal","not-started","","step","TRUE","FALSE","S2 Waterproofing ","Ground Floor "
"8211609c-cde6-4368-a434-1b745cce049d","","checklist-sectioned","not-started","HP1200 v1.1","checklist","FALSE","FALSE","S2 Waterproofing ","Ground Floor ","Entrance Stairs and Porches"
"b108c091-d6dc-41db-aa0a-695aabfabf11","","folder-normal","not-started","","step","TRUE","FALSE","S2 Waterproofing ","Level 1"
"196e0c22-127d-4623-b2d1-5455d479c087","","checklist-sectioned","not-started","HP1200 v1.1","checklist","FALSE","FALSE","S2 Waterproofing ","Level 1","Balconies and Terraces"
"dc1df565-1398-4479-94bb-6c98234602f0","","folder-normal","not-started","","step","TRUE","FALSE","S2 Waterproofing ","Level 2"
"90eb5707-b863-4902-b348-b9471566a5d5","","checklist-sectioned","not-started","HP1200 v1.1","checklist","FALSE","FALSE","S2 Waterproofing ","Level 2","Balconies and Terraces"
"c8c107eb-261c-419d-8168-27353f4d891b","","folder-normal","work-in-progress","","step","TRUE","FALSE","S3 Waterproofing Apartments"
"21201a2e-9c52-4ab9-ac5e-bebe6c46c760","","folder-normal","not-started","","step","TRUE","FALSE","S3 Waterproofing Apartments","Basement "
"ea085f5f-5f37-4152-9b13-a327646ae130","","checklist-sectioned","not-started","BLV + 700X + 250NS V1.1","checklist","FALSE","FALSE","S3 Waterproofing Apartments","Basement ","WP-104 Internal Plant Rooms"
"83683031-82a4-4752-9f96-c2bcbd58a9f8","","checklist-sectioned","not-started","Enviro Ultra Tuff V1.1","checklist","FALSE","FALSE","S3 Waterproofing Apartments","Basement ","WP-110 Internal Car Wash"
"03d422c6-32e6-45af-a2db-8551caa4ddca","","checklist-sectioned","not-started","Enviro Ultra Tuff V1.1","checklist","FALSE","FALSE","S3 Waterproofing Apartments","Basement ","WP-111 Waste Storage/Bin Storage"
"389fe5ff-f761-4318-9d79-87e3ac5dc382","","checklist-sectioned","not-started","HP1200+ 800TC V1.1","checklist","FALSE","FALSE","S3 Waterproofing Apartments","Basement ","WP-112 Car Park"
"47d23341-12bb-472b-908a-1376d8bef8b8","","folder-normal","work-in-progress","","step","TRUE","FALSE","S3 Waterproofing Apartments","Ground"
"0f0807b3-163f-4073-838f-33c9672743d0","","checklist-sectioned","not-started","HP1200 v1.1","checklist","FALSE","FALSE","S3 Waterproofing Apartments","Ground","WP-102A Apartments and Balconies"
"f066439b-bac6-482a-b385-070b975a3029","","folder-normal","pass","","step","TRUE","FALSE","S3 Waterproofing Apartments","Ground","Hydotite to hobs and planters"
"49a95553-db5b-4ec0-a605-a0d2fd945ffa","","checklist-flat","pass","Attachment Checklist","checklist-flat","FALSE","FALSE","S3 Waterproofing Apartments","Ground","Hydotite to hobs and planters","Hydrotite"
"9bd7b2fd-f058-468b-86eb-a83b2f87b25f","","folder-normal","no-status-not-started","","step","TRUE","FALSE","S3 Waterproofing Apartments","Level 1"
"b683b6ec-ee80-46a2-84c2-1fac0f6227e5","","folder-normal","no-status-not-started","","step","TRUE","FALSE","S3 Waterproofing Apartments","Level 2"
"e55ace00-e6e1-419b-97a4-b179aea8cdfb","","folder-normal","no-status-not-started","","step","TRUE","FALSE","S3 Waterproofing Apartments","Level 3"
"32bd32a4-7d26-4ed6-95ce-6f41ca4af177","","folder-normal","no-status-not-started","","step","TRUE","FALSE","S3 Waterproofing Apartments","Level 4"
"49500c16-28ab-4198-8909-5a9cd534b186","","folder-normal","no-status-not-started","","step","TRUE","FALSE","S3 Waterproofing Apartments","Level 5"
"d6f97f7f-9d2e-42c1-b98c-e1664d3e9f22","","folder-normal","no-status-not-started","","step","TRUE","FALSE","S3 Waterproofing Apartments","Level 6 "
"45fdf209-a8bd-4dcd-9feb-c3ad547893bd","","folder-normal","no-status-not-started","","step","TRUE","FALSE","S3 Waterproofing Apartments","Roof"
"bd3be1ff-bf79-423b-b435-f7c86052a31a","","folder-normal","no-status-not-started","","step","TRUE","FALSE","S3 Waterproofing Apartments","Risers/ Penetrations and TMJs"
"3bdcaf0a-ec8a-4b32-95ac-e95deb86f673","","folder-normal","no-status-not-started","","step","TRUE","FALSE","S3 Waterproofing Townhouses"
"36f5f553-f58e-4a9a-9e99-988671063233","","folder-normal","no-status-not-started","","step","TRUE","FALSE","S3 Waterproofing Townhouses","Ground "
