"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"dfb51215-94e6-44b4-aacc-8e08b8248f1a","","folder-normal","work-in-progress","","step","TRUE","FALSE","Inverted Roof"
"f9a0b261-c18e-461b-92ea-0dfffa4d7a09","","checklist-sectioned","work-in-progress","HP1200+ 800TC V1.1","checklist","FALSE","FALSE","Inverted Roof","HP1200+ 800TC V1.1 - superseded"
"b7797f16-7c33-4ca2-8c9e-8c8c0d9bc8fe","","checklist-sectioned","pass","HP1200 v1.1","checklist","FALSE","FALSE","Inverted Roof","Inverted Roof"
"7e6841d6-a311-4112-b6d1-a1cc2b2776a0","","folder-normal","pass","","step","TRUE","FALSE","Pedestrian Plant Room"
"af2e4fbc-838f-4703-8c21-46e767ad2bd6","","checklist-sectioned","pass","HP1200+ 800TC V1.1","checklist","FALSE","FALSE","Pedestrian Plant Room","HP1200+ 800TC V1.1"
