"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"001086c6-2835-4cff-9afa-abedff759b83","","folder-normal","pass","","step","TRUE","FALSE","B4"
"0e59e11d-0d00-4f9e-a3e5-2270d4052275","","checklist-flat","pass","Enviro BSM","checklist-flat","FALSE","FALSE","B4","Enviro BSM"
"e28ed7ca-62a8-40d4-9926-c8f1425231e8","","folder-normal","pass","","step","TRUE","FALSE","B6"
"0c23b88a-05e3-4d1c-ad54-7723e09e54be","","checklist-flat","pass","Enviro BSM","checklist-flat","FALSE","FALSE","B6","Enviro BSM (Stormwater Line 4)"
"f28b5ec9-d0d7-4fe6-bf76-c259a91de598","","folder-normal","work-in-progress","","step","FALSE","FALSE","Variations"
"97f3ae30-2aa8-4018-8431-b5825671fa75","","checklist-flat","work-in-progress","85be1b7597d1d0eeeddc67fc3b25af8ce8f18a20d3545254ff7b0e1e45c44e41","checklist-flat","FALSE","FALSE","Variations","B6 - BSM Rectification Works (Stormwater Line 4)"
