"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"eef043b7-cd65-4e2d-9dbe-ac05a3fd13d2","","folder-normal","work-in-progress","","step","TRUE","FALSE","Level 09 ","TERRACE"
"cd29b237-3c22-49de-ba6f-a3e2f1a78a73","","checklist-sectioned","work-in-progress","HP1200 v1.1","checklist","FALSE","FALSE","Level 09 ","TERRACE","HP1200 v1.1"
"4749f90c-91f1-4e8c-931c-d7d3b8ca11c3","","folder-normal","work-in-progress","","step","TRUE","FALSE","Level 09 ","PLANT ROOM "
"0a749f39-df84-401d-b25c-d744241f2a6e","","checklist-sectioned","work-in-progress","SYS - Archived checklist 3","checklist","FALSE","FALSE","Level 09 ","PLANT ROOM ","Enviro B-LV+700X"
"77c7056a-f823-4dcd-8338-33741f8ae8aa","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Level 09 ","EXTERNAL SIDE OF PARAPET WALL "
"1eba11f6-57b8-40c2-b7cc-3821468f9e7a","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Level 09 ","WATERPROOFING TO HOBS "
"f968d839-19d7-4645-9c93-8297c4154b0a","","folder-normal","work-in-progress","","step","TRUE","FALSE","Level 10"
"393bfc83-25f6-4310-91f8-5d2d4938a7f0","","checklist-flat","work-in-progress","SYS - Archived checklist 1","checklist-flat","FALSE","FALSE","Level 10","MARK UP "
"1b615999-8a4f-4a80-8a0f-be9e9bc1e3fe","","folder-normal","work-in-progress","","step","TRUE","FALSE","Level 10","PLANT ROOM "
"e70cc387-cea9-42f6-8094-9e75cd69c80f","","checklist-sectioned","work-in-progress","Enviro P2 + 700X V1.1","checklist","FALSE","FALSE","Level 10","PLANT ROOM ","Enviro P2 + 700X V1.1"
"aaa924b2-f824-44d0-80ff-d217d69a4f40","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Level 10","RETAIL SMOKE EXHAUST PLANT ROOM "
"06ad43be-2dc9-48f8-b667-c7f37cf77335","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Level 10","CTW HEAT EXCHANGERS "
"18b4c53b-10f9-4b01-9e08-dd7550b3ddd4","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Level 10","STAIR PRES PLANT ROOM "
