"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"1a40b5e9-1c21-4113-bba5-de52fff68042","","folder-normal","pass","","step","TRUE","FALSE","Site QA"
"f0757aeb-fad2-41e4-8818-6b65d315c2e7","","folder-normal","pass","","step","TRUE","FALSE","Site QA","North Building Roof"
"5030b38d-68fa-483c-a81e-38f8c7031523","","checklist-flat","pass","Enviro HP1200","checklist-flat","FALSE","FALSE","Site QA","North Building Roof","Slab"
"153fd4eb-36ff-4549-aba8-7e599b4a4fdd","","checklist-flat","pass","Enviro HP1200","checklist-flat","FALSE","FALSE","Site QA","North Building Roof","Plinths"
"d1d748af-079f-48e0-acb7-1a277a583223","","folder-normal","pass","","step","TRUE","FALSE","Site QA","South Building Roof"
"75e4a4f8-7982-4356-94e7-c92d7e0a8b4c","","checklist-flat","pass","Enviro HP1200","checklist-flat","FALSE","FALSE","Site QA","South Building Roof","Slab"
"d5b281f8-b09d-4439-b3aa-31d8b8a32dcd","","checklist-flat","pass","Enviro HP1200","checklist-flat","FALSE","FALSE","Site QA","South Building Roof","Plinths"
"eb1dc2dc-5ab0-439e-b118-d22ebbf5dc78","","folder-normal","pass","","step","TRUE","FALSE","Site QA","Facade walls "
"d9c8a9f4-18c8-4b29-97db-3394a5b353d2","","checklist-flat","pass","Enviro HP1200","checklist-flat","FALSE","FALSE","Site QA","Facade walls ","South Facade walls "
"128fb190-cdf1-4b2b-8891-c3e9eb72de50","","checklist-flat","pass","Enviro HP1200","checklist-flat","FALSE","FALSE","Site QA","Facade walls ","North Facade walls"
"4932159b-d13a-413c-8f40-b302ac4be663","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Variations"
"f28b5ec9-d0d7-4fe6-bf76-c259a91de598","","folder-normal","work-in-progress","","step","FALSE","FALSE","Variations"
"eac5a2d7-2bbc-4963-bac0-fc7a105a21fc","","checklist-flat","pass","85be1b7597d1d0eeeddc67fc3b25af8ce8f18a20d3545254ff7b0e1e45c44e41","checklist-flat","FALSE","FALSE","Variations","After hours work "
"46753dbc-c4d1-4b43-bf70-4f9332699b98","","checklist-flat","pass","85be1b7597d1d0eeeddc67fc3b25af8ce8f18a20d3545254ff7b0e1e45c44e41","checklist-flat","FALSE","FALSE","Variations","Membrane to entry and tenancy areas"
"00317d00-11fc-4101-8812-0744340b971c","","checklist-flat","work-in-progress","85be1b7597d1d0eeeddc67fc3b25af8ce8f18a20d3545254ff7b0e1e45c44e41","checklist-flat","FALSE","FALSE","Variations","Slab repair south end of south building "
"8aa58a9c-8d66-4d35-9d16-131cc04b196b","","checklist-flat","work-in-progress","85be1b7597d1d0eeeddc67fc3b25af8ce8f18a20d3545254ff7b0e1e45c44e41","checklist-flat","FALSE","FALSE","Variations","North Tennessee "
