"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"b830ac82-9953-4648-9e8c-dc824029b6f0","","checklist-flat","not-started","zSYS - APT - A-LG01 - (Enviro Primer + 700X)","checklist-flat","FALSE","FALSE","Site QA","Building A","Balconies","L01 Balconies","A-109 - (Enviro Primer + 700X)"
"a4774fee-e35e-4a44-8344-f34d17157f20","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Building A","Balconies","L02 Balconies"
"0d581ab6-6744-46bb-9c2b-718fdfe5ad79","","checklist-flat","not-started","zSYS - APT - A-LG01 - (Enviro Primer + 700X)","checklist-flat","FALSE","FALSE","Site QA","Building A","Balconies","L02 Balconies","A-201 - (Enviro Primer + 700X)"
"2f4be514-662b-4008-9f65-d0765b71f05f","","checklist-flat","not-started","zSYS - APT - A-LG01 - (Enviro Primer + 700X)","checklist-flat","FALSE","FALSE","Site QA","Building A","Balconies","L02 Balconies","A-202 - (Enviro Primer + 700X)"
"7b165f1e-0f47-4571-8e30-38cfc036c04b","","checklist-flat","not-started","zSYS - APT - A-LG01 - (Enviro Primer + 700X)","checklist-flat","FALSE","FALSE","Site QA","Building A","Balconies","L02 Balconies","A-203 - (Enviro Primer + 700X)"
"612802fd-b15a-44dc-81c4-53356d73678a","","checklist-flat","not-started","zSYS - APT - A-LG01 - (Enviro Primer + 700X)","checklist-flat","FALSE","FALSE","Site QA","Building A","Balconies","L02 Balconies","A-204 - (Enviro Primer + 700X)"
"a30b601f-2f8e-49b0-b7e9-211f9089a60b","","checklist-flat","not-started","zSYS - APT - A-LG01 - (Enviro Primer + 700X)","checklist-flat","FALSE","FALSE","Site QA","Building A","Balconies","L02 Balconies","A-205 - (Enviro Primer + 700X)"
"e0c523dc-fcb5-49d6-9162-ef0286b9158a","","checklist-flat","not-started","zSYS - APT - A-LG01 - (Enviro Primer + 700X)","checklist-flat","FALSE","FALSE","Site QA","Building A","Balconies","L02 Balconies","A-206 - (Enviro Primer + 700X)"
"08fa089d-3dad-4128-9acb-5127c5d0a5a9","","checklist-flat","not-started","zSYS - APT - A-LG01 - (Enviro Primer + 700X)","checklist-flat","FALSE","FALSE","Site QA","Building A","Balconies","L02 Balconies","A-207 (Enviro Primer + 700X)"
"5ce03872-cb93-4bee-b239-56998adf8fd8","","checklist-flat","not-started","zSYS - APT - A-LG01 - (Enviro Primer + 700X)","checklist-flat","FALSE","FALSE","Site QA","Building A","Balconies","L02 Balconies","A-208 - (Enviro Primer + 700X)"
"4149e6c2-c7c1-450a-bc05-e4d70ef10ea8","","checklist-flat","not-started","zSYS - APT - A-LG01 - (Enviro Primer + 700X)","checklist-flat","FALSE","FALSE","Site QA","Building A","Balconies","L02 Balconies","A-209 - (Enviro Primer + 700X)"
"2ef4f0e0-76ea-402e-b135-c24923595660","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Building A","Balconies","L03 Balconies"
"75cf1e5c-45a5-4924-8586-a1d3d3082e2a","","checklist-flat","not-started","zSYS - APT - A-LG01 - (Enviro Primer + 700X)","checklist-flat","FALSE","FALSE","Site QA","Building A","Balconies","L03 Balconies","A-301 - (Enviro Primer + 700X)"
"4745f0b5-25c3-44ef-ae33-a6e404fa3f5b","","checklist-flat","not-started","zSYS - APT - A-LG01 - (Enviro Primer + 700X)","checklist-flat","FALSE","FALSE","Site QA","Building A","Balconies","L03 Balconies","A-302 - (Enviro Primer + 700X)"
"5bfefcc6-b138-4885-bfda-886e460cbcbf","","checklist-flat","not-started","zSYS - APT - A-LG01 - (Enviro Primer + 700X)","checklist-flat","FALSE","FALSE","Site QA","Building A","Balconies","L03 Balconies","A-303 - (Enviro Primer + 700X)"
"1cdd5682-74d8-43f7-82ef-1cab79a50fd6","","checklist-flat","not-started","zSYS - APT - A-LG01 - (Enviro Primer + 700X)","checklist-flat","FALSE","FALSE","Site QA","Building A","Balconies","L03 Balconies","A-304 - (Enviro Primer + 700X)"
"144f7c25-c3d1-42a0-b8ec-f913170dabd4","","checklist-flat","not-started","zSYS - APT - A-LG01 - (Enviro Primer + 700X)","checklist-flat","FALSE","FALSE","Site QA","Building A","Balconies","L03 Balconies","A-305 - (Enviro Primer + 700X)"
"3ce2f65d-53dd-4553-b764-c229d101167c","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Building A","Balconies","L03 Terrace / Paving area"
"70f5af6b-ff0b-4233-9e9b-e133fc084135","","checklist-flat","not-started","zSYS - APT - A-LG01 - (Enviro Primer + 700X)","checklist-flat","FALSE","FALSE","Site QA","Building A","Balconies","L03 Terrace / Paving area","Enviro Primer + 700X"
"82e1d5d6-13de-46a8-baa0-e4c7272cf9b6","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Building A","Balconies","L04 Balconies"
"dacb64f2-20ed-4fc7-8892-231421ea1312","","checklist-flat","not-started","zSYS - APT - A-LG01 - (Enviro Primer + 700X)","checklist-flat","FALSE","FALSE","Site QA","Building A","Balconies","L04 Balconies","A-401 - (Enviro Primer + 700X)"
"55a998ad-5d0e-4381-af8e-cbeeac338183","","checklist-flat","not-started","zSYS - APT - A-LG01 - (Enviro Primer + 700X)","checklist-flat","FALSE","FALSE","Site QA","Building A","Balconies","L04 Balconies","A-402 - (Enviro Primer + 700X)"
"a96ea906-d031-490f-90f0-0f1b78788c19","","checklist-flat","not-started","zSYS - APT - A-LG01 - (Enviro Primer + 700X)","checklist-flat","FALSE","FALSE","Site QA","Building A","Balconies","L04 Balconies","A-403 - (Enviro Primer + 700X)"
"e1ff66b8-fb19-4eea-a62a-253f6cafa63f","","checklist-flat","not-started","zSYS - APT - A-LG01 - (Enviro Primer + 700X)","checklist-flat","FALSE","FALSE","Site QA","Building A","Balconies","L04 Balconies","A-404 - (Enviro Primer + 700X)"
"c98b48ad-d951-446a-b43c-96dd1723e1e9","","checklist-flat","not-started","zSYS - APT - A-LG01 - (Enviro Primer + 700X)","checklist-flat","FALSE","FALSE","Site QA","Building A","Balconies","L04 Balconies","A-405 - (Enviro Primer + 700X)"
"5ee3a7ab-fdf1-4c19-9822-d39e6d5cdd29","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Building A","Landscape Area"
"c97ae7b6-2578-49c0-b34c-a82b0798ecca","","checklist-flat","not-started","zSYS - APT - A-LG01 - (Enviro Primer + 700X)","checklist-flat","FALSE","FALSE","Site QA","Building A","Landscape Area","A - LWR GR Planter box base - wall H: 650mm"
"6d02fac7-c419-4b49-b4b5-6fbc238d174f","","checklist-flat","not-started","zSYS - APT - A-LG01 - (Enviro Primer + 700X)","checklist-flat","FALSE","FALSE","Site QA","Building A","Landscape Area","A - L01 - Metal planter box "
"4a31609c-63e9-4823-9965-133acaa03540","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Building A","Landscape Area","A - Ground Level Planter boxes - wall H: 650-750mm"
"ce7ad943-d4b6-4595-8242-ad52f78e218d","","checklist-flat","not-started","zSYS - APT - A-LG01 - (Enviro Primer + 700X)","checklist-flat","FALSE","FALSE","Site QA","Building A","Landscape Area","A - Ground Level Planter boxes - wall H: 650-750mm","Planter 01 "
"0142f02d-56bf-419d-b5c1-18b561a84b73","","checklist-flat","not-started","zSYS - APT - A-LG01 - (Enviro Primer + 700X)","checklist-flat","FALSE","FALSE","Site QA","Building A","Landscape Area","A - Ground Level Planter boxes - wall H: 650-750mm","Planter 02"
"3e6b49da-060c-496d-9b0d-6360a292ac78","","checklist-flat","not-started","zSYS - APT - A-LG01 - (Enviro Primer + 700X)","checklist-flat","FALSE","FALSE","Site QA","Building A","Landscape Area","A - Ground Level Planter boxes - wall H: 650-750mm","Planter 03"
"a36b56f0-f3b6-42e5-a4ea-835c3f83c684","","checklist-flat","not-started","zSYS - APT - A-LG01 - (Enviro Primer + 700X)","checklist-flat","FALSE","FALSE","Site QA","Building A","Landscape Area","A - Ground Level Planter boxes - wall H: 650-750mm","Planter 04"
"cff24ee3-a99f-4631-bcf1-4e5bc7c70d08","","checklist-flat","not-started","zSYS - APT - A-LG01 - (Enviro Primer + 700X)","checklist-flat","FALSE","FALSE","Site QA","Building A","Landscape Area","A - Ground Level Planter boxes - wall H: 650-750mm","Planter 05"
"2b0a5aed-c18f-4167-bc44-8a42253bab98","","checklist-flat","not-started","zSYS - APT - A-LG01 - (Enviro Primer + 700X)","checklist-flat","FALSE","FALSE","Site QA","Building A","Landscape Area","A - Ground Level Planter boxes - wall H: 650-750mm","Planter 06"
"2859e4fd-8e9a-4ca0-aa3b-1d2bdaed4b35","","checklist-flat","not-started","zSYS - APT - A-LG01 - (Enviro Primer + 700X)","checklist-flat","FALSE","FALSE","Site QA","Building A","Landscape Area","A - Ground Level Planter boxes - wall H: 650-750mm","Ground Level Natural Landscape area above basement"
"5a827ca3-f70b-4574-96ed-c30dcada48c5","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Building A","Landscape Area","A - Level 3 Planter Boxes"
"1aa0ba1f-6a3a-40b8-8492-e3dac86be9f1","","checklist-flat","not-started","zSYS - APT - A-LG01 - (Enviro Primer + 700X)","checklist-flat","FALSE","FALSE","Site QA","Building A","Landscape Area","A - Level 3 Planter Boxes","Planter No. 1"
"c1fdf4da-47fc-4282-9c69-766a6fdf47de","","checklist-flat","not-started","zSYS - APT - A-LG01 - (Enviro Primer + 700X)","checklist-flat","FALSE","FALSE","Site QA","Building A","Landscape Area","A - Level 3 Planter Boxes","Planter No. 2"
"0d83ffca-f384-4fe5-98e9-a62bcb1c1b6b","","checklist-flat","not-started","zSYS - APT - A-LG01 - (Enviro Primer + 700X)","checklist-flat","FALSE","FALSE","Site QA","Building A","Landscape Area","A - Level 3 Planter Boxes","Level 3 Terrace Communal Areas"
"2c378040-ab50-4b8f-a7fc-11c09a342ec4","","checklist-flat","not-started","zSYS - APT - A-LG01 - (Enviro Primer + 700X)","checklist-flat","FALSE","FALSE","Site QA","Building A","Landscape Area","A - Level 3 Planter Boxes","Level 3 Grass Communal Areas"
"a057ef79-b9bc-4e9b-855d-ee9eb95c9191","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","Building A","Roof"
"e0c7a5cc-08fd-4d5d-8660-4758d9164988","","checklist-flat","not-started","zSYS - Level 2 Roof","checklist-flat","FALSE","FALSE","Site QA","Building A","Roof","Level 2 Roof"
"dc507086-7b78-42bb-acf6-749db32ec99e","","checklist-flat","work-in-progress","zSYS - Level 2 Roof","checklist-flat","FALSE","FALSE","Site QA","Building A","Roof","Roof level"
"16a1d4bd-ae28-445e-9592-b6df43a26377","","checklist-flat","not-started","zSYS - Level 2 Roof","checklist-flat","FALSE","FALSE","Site QA","Building A","Roof","Lift overrun lid"
"c4b4a2fe-d9d6-4280-95ae-d32dd66202cc","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","Building B"
"5cc96928-a9c1-496d-a9e1-8beb3b67e634","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","Building B","Balconies"
"23126755-d613-490f-9431-9fc57497e83d","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","Building B","Balconies","LWR GR Balconies"
"9f8a2ae2-4dac-4def-b5ff-82542aafa811","","checklist-flat","work-in-progress","zSYS - APT - A-LG01 - (Enviro Primer + 700X)","checklist-flat","FALSE","FALSE","Site QA","Building B","Balconies","LWR GR Balconies","B-LG01 - (Enviro Primer + 700X)"
"0c4a0cb8-c984-4e0f-86ce-6d2b577c463e","","checklist-flat","work-in-progress","zSYS - APT - A-LG01 - (Enviro Primer + 700X)","checklist-flat","FALSE","FALSE","Site QA","Building B","Balconies","LWR GR Balconies","B-LG02 - (Enviro Primer + 700X)"
"c3bed6b4-1890-49a1-a29f-9a686a0842b6","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","Building B","Balconies","GR Balconies"
"90c2538c-7920-40ee-b796-b87d347b132a","","checklist-flat","work-in-progress","zSYS - APT - A-LG01 - (Enviro Primer + 700X)","checklist-flat","FALSE","FALSE","Site QA","Building B","Balconies","GR Balconies","B-G01 - (Enviro Primer + 700X)"
"91ab5093-fa56-4c8d-8f80-4ad0cd2f05cf","","checklist-flat","work-in-progress","zSYS - APT - A-LG01 - (Enviro Primer + 700X)","checklist-flat","FALSE","FALSE","Site QA","Building B","Balconies","GR Balconies","B-G02 - (Enviro Primer + 700X)"
"5d8cdd36-56ba-4e7d-a824-ef5d26daecaa","","checklist-flat","work-in-progress","zSYS - APT - A-LG01 - (Enviro Primer + 700X)","checklist-flat","FALSE","FALSE","Site QA","Building B","Balconies","GR Balconies","B-G03 - (Enviro Primer + 700X)"
"1d8078d3-5ac5-467e-b6dd-1ac5d28bd4d1","","checklist-flat","not-started","zSYS - APT - A-LG01 - (Enviro Primer + 700X)","checklist-flat","FALSE","FALSE","Site QA","Building B","Balconies","GR Balconies","B-G04 - (Enviro Primer + 700X)"
"54ed55da-757d-4da0-9979-16c848cfebdb","","checklist-flat","not-started","zSYS - APT - A-LG01 - (Enviro Primer + 700X)","checklist-flat","FALSE","FALSE","Site QA","Building B","Balconies","GR Balconies","B-G05 - (Enviro Primer + 700X)"
"d6f681ca-b3cd-4223-9834-47e41574c0ee","","checklist-flat","work-in-progress","zSYS - APT - A-LG01 - (Enviro Primer + 700X)","checklist-flat","FALSE","FALSE","Site QA","Building B","Balconies","GR Balconies","B-G06 - (Enviro Primer + 700X)"
"8f8fdf7a-62c8-4647-8999-89d5946741de","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","Building B","Balconies","L01 Balconies"
"82a1abac-23ab-4db2-9d39-9787507cc299","","checklist-flat","work-in-progress","zSYS - APT - A-LG01 - (Enviro Primer + 700X)","checklist-flat","FALSE","FALSE","Site QA","Building B","Balconies","L01 Balconies","B-101 - (Enviro Primer + 700X)"
"b519babc-4cb9-4549-b414-c7b0bc4237d6","","checklist-flat","work-in-progress","zSYS - APT - A-LG01 - (Enviro Primer + 700X)","checklist-flat","FALSE","FALSE","Site QA","Building B","Balconies","L01 Balconies","B-102 - (Enviro Primer + 700X)"
