"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"634fb50f-7b1e-4b83-b527-887a0cc9dcfe","","folder-normal","fail","","step","TRUE","FALSE","Site QA"
"96398893-b436-4486-a382-7d7da38b86c3","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","PODIUM LEVELS 00-07M"
"911e4c41-f99a-49e8-af17-17754cfcaa25","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","PODIUM LEVELS 00-07M","LEVEL 01 (Services Mezzanine Level)"
"1fc1a454-f211-422a-94b6-c2c822afb00e","","checklist-flat","work-in-progress","Enviro 200P","checklist-flat","FALSE","FALSE","Site QA","PODIUM LEVELS 00-07M","LEVEL 01 (Services Mezzanine Level)","Membrane to Façade Glazing (Bottom, Top, Sides)"
"92d69dde-e928-4706-89f8-11b920ed8224","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","PODIUM LEVELS 00-07M","LEVEL 02 (William Street Level)"
"9d95c940-f2ee-4304-8ba9-dd2ecb3d33ed","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","PODIUM LEVELS 00-07M","LEVEL 02 (William Street Level)","William St Trafficable Paved Area"
"3729d26e-bb1c-4c9a-85f5-3a89528881d7","","checklist-flat","work-in-progress","Enviro HP1200","checklist-flat","FALSE","FALSE","Site QA","PODIUM LEVELS 00-07M","LEVEL 02 (William Street Level)","William St Trafficable Paved Area","Primary Membrane"
"792e3e93-b826-4bee-b4a2-0fa9ce89aced","","checklist-flat","work-in-progress","Enviro 200P Secondary","checklist-flat","FALSE","FALSE","Site QA","PODIUM LEVELS 00-07M","LEVEL 02 (William Street Level)","William St Trafficable Paved Area","Enviro 200P Secondary"
"94df302e-0712-4e48-b8f6-7a559f76a823","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","PODIUM LEVELS 00-07M","LEVEL 02 (William Street Level)","William St Trafficable Bitumen Area"
"e56c1380-29ef-416b-b691-97539a0a46ef","","checklist-flat","work-in-progress","Enviro HP1200+900","checklist-flat","FALSE","FALSE","Site QA","PODIUM LEVELS 00-07M","LEVEL 02 (William Street Level)","William St Trafficable Bitumen Area","Enviro HP1200+900"
"87ee13fa-097d-4ee8-9a3f-d9570c469ded","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","PODIUM LEVELS 00-07M","LEVEL 02 (William Street Level)","William St Paving (Non-Trafficable)"
"54c063fb-9e69-4390-ac78-c8830577a1cf","","folder-normal","pass","","step","TRUE","FALSE","Site QA","PODIUM LEVELS 00-07M","LEVEL 02 (William Street Level)","William St Paving (Non-Trafficable)","Taxi rank between T1/T4"
"c03b66f5-afbc-4c81-bdd1-cbb78797f754","","checklist-flat","pass","Enviro 700X","checklist-flat","FALSE","FALSE","Site QA","PODIUM LEVELS 00-07M","LEVEL 02 (William Street Level)","William St Paving (Non-Trafficable)","Taxi rank between T1/T4","Primary Membrane"
"006bcf9c-90d4-44fe-aa9e-8f400e0dda50","","checklist-flat","pass","Enviro 200P Secondary","checklist-flat","FALSE","FALSE","Site QA","PODIUM LEVELS 00-07M","LEVEL 02 (William Street Level)","William St Paving (Non-Trafficable)","Taxi rank between T1/T4","Enviro 200P Secondary"
"5149b457-7e5c-4f13-ba2d-b2cda7090371","","checklist-flat","pass","Enviro HP1200","checklist-flat","FALSE","FALSE","Site QA","PODIUM LEVELS 00-07M","LEVEL 02 (William Street Level)","William St Paving (Non-Trafficable)","Primary Membrane (HP1200) - ZONE 2"
"41e32dbe-ebec-4429-b3b3-23fda7d18a83","","checklist-flat","pass","Enviro 200P Secondary","checklist-flat","FALSE","FALSE","Site QA","PODIUM LEVELS 00-07M","LEVEL 02 (William Street Level)","William St Paving (Non-Trafficable)","Secondary Membrane (200P) - ZONE 2"
