"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"bf854915-ed75-4b9b-a4df-13c0c635d9a5","","folder-normal","work-in-progress","","step","TRUE","FALSE","Building 4"
"ba311c2d-461e-4445-8401-193d66228df9","","checklist-sectioned","work-in-progress","Enviro Shield+700X+250NS","checklist","FALSE","FALSE","Building 4","Enviro Shield+700X+250NS"
"362e9b7c-5912-4594-94b5-5004a10ba55f","","folder-normal","work-in-progress","","step","TRUE","FALSE","Building 4","Building 2"
"ed380a97-1620-478a-8f0f-7eaadcd891f7","","checklist-sectioned","work-in-progress","Enviro Shield+700X+250NS","checklist","FALSE","FALSE","Building 4","Building 2","Enviro Shield+700X+250NS"
"208e8056-7977-4dc7-a110-23916289ad9c","","folder-normal","work-in-progress","","step","TRUE","FALSE","Building 4","Building 1"
"844df5f0-99b9-4428-9d7a-c87b8f335527","","checklist-sectioned","work-in-progress","Enviro Shield+700X+250NS","checklist","FALSE","FALSE","Building 4","Building 1","Enviro Shield+700X+250NS"
