"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"6bbc7acd-e2a4-46aa-83ed-626b510d6813","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA"
"603437e3-df51-4517-be02-f44e09d36baf","","checklist-sectioned","not-started","SYS - Archived checklist 1","checklist","FALSE","FALSE","Site QA","Initial Inspection"
"fc6e8724-7512-4bad-93de-612ee34842b9","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","Tower A"
"1c5ff55d-5577-4890-8831-65234db435a1","","checklist-flat","not-started","SYS - Archived checklist 2","checklist-flat","FALSE","FALSE","Site QA","Tower A","1-1. 1st Floor - Facade Subsill"
"37b68fde-2bf5-44de-abf6-e7332a6c31f8","","checklist-flat","not-started","SYS - Archived checklist 2","checklist-flat","FALSE","FALSE","Site QA","Tower A","1-2. 2nd Floor - Facade Subsill"
"396acd62-bb09-4f69-91df-25d2e240cbb4","","checklist-flat","not-started","SYS - Archived checklist 2","checklist-flat","FALSE","FALSE","Site QA","Tower A","1-3. 3rd Floor - Facade Subsill"
"59a241c1-efea-4a33-bd24-fa901f67e95a","","checklist-flat","not-started","SYS - Archived checklist 2","checklist-flat","FALSE","FALSE","Site QA","Tower A","1-4. 4th Floor - Facade Subsill"
"838c9043-9efa-4d34-b8c2-bd81acf8829a","","checklist-flat","not-started","SYS - Archived checklist 2","checklist-flat","FALSE","FALSE","Site QA","Tower A","2. 5th Floor - External Ledge [94 lm x 1.5 m coverage per lm]"
"06b91f6a-1f94-4045-824d-daa98138a95b","","checklist-flat","work-in-progress","SYS - Archived checklist 3","checklist-flat","FALSE","FALSE","Site QA","Tower A","3. Roof Plant"
"d9ec7406-196a-4e8a-ae05-3a2a9eeb66b6","","checklist-flat","pass","SYS - Archived checklist 3","checklist-flat","FALSE","FALSE","Site QA","Tower A","4. LMR Roof"
"7aec65e7-aafc-4270-8580-0597171d3171","","checklist-flat","work-in-progress","SYS - Archived checklist 4","checklist-flat","FALSE","FALSE","Site QA","Tower A","5. Basement 1 - Fire Pump Room"
"12a5a7c3-a81d-4b58-b604-649c5d82901f","","checklist-flat","not-started","SYS - Archived checklist 4","checklist-flat","FALSE","FALSE","Site QA","Tower A","6. 4th Upper Floor - Plant Room"
"c1f1ef4e-da02-43c4-8d60-f4a59843bdf0","","checklist-flat","pass","SYS - Archived checklist 4","checklist-flat","FALSE","FALSE","Site QA","Tower A","7. 4th Upper Floor - 4th Upper Floor - To Underneath of Pool and Deck"
"a1edb4d8-702e-4742-9a2f-36a0b18c4561","","checklist-flat","work-in-progress","SYS - Archived checklist 4","checklist-flat","FALSE","FALSE","Site QA","Tower A","8. 34th Floor - AHU Room"
"ac062c87-ed94-402e-b2a6-68c640691a93","","checklist-flat","work-in-progress","SYS - Archived checklist 4","checklist-flat","FALSE","FALSE","Site QA","Tower A","9. 53rd Floor - Plant Room & Relief Air Fan Room"
"0cca6f34-853e-4ab1-a8ac-b6a02baa660e","","checklist-flat","not-started","SYS - Archived checklist 5","checklist-flat","FALSE","FALSE","Site QA","Tower A","10. 53rd Floor - Domestic Water Tank Floor & Wall"
"2ae906a8-ab60-462f-a97d-e181e115c66c","","checklist-flat","not-started","SYS - Archived checklist 5","checklist-flat","FALSE","FALSE","Site QA","Tower A","11. 53rd Floor - Damper Tank Floor & Wall"
"3582bf64-c0a0-489c-9805-53f6db0c8839","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","Tower B"
"27160e24-b8ff-4c26-b821-dd8c13fffddf","","checklist-flat","pass","SYS - Archived checklist 2","checklist-flat","FALSE","FALSE","Site QA","Tower B","12 & 13. 4th Floor - External Ledge & Facade Subsill"
"42ba48d5-a2b5-4aa8-94ea-75ccd6249259","","checklist-flat","pass","SYS - Archived checklist 3","checklist-flat","FALSE","FALSE","Site QA","Tower B","14. Roof Plant"
"30d11749-ec56-47c4-ac3b-6e711115c374","","checklist-flat","work-in-progress","SYS - Archived checklist 4","checklist-flat","FALSE","FALSE","Site QA","Tower B","16. Basement 1 - Fire Pump Room"
"709e1b87-66a2-4ac3-bc14-f2d1f9aa5f4a","","checklist-flat","not-started","SYS - Archived checklist 4","checklist-flat","FALSE","FALSE","Site QA","Tower B","17. 3rd Floor - Plant Room & Cooling Tower"
"c2b0391c-1f7e-4ff1-99a7-8c1c90c018b2","","checklist-flat","not-started","SYS - Archived checklist 4","checklist-flat","FALSE","FALSE","Site QA","Tower B","18. 3rd Mezzanine Floor - Pool Plant"
"03c7085f-e58b-4581-b5db-791dfd814fb4","","checklist-flat","pass","SYS - Archived checklist 4","checklist-flat","FALSE","FALSE","Site QA","Tower B","19. 4th Floor - To Underneath of Pool"
"a31ac666-5e45-456e-b000-4aab839e3d0d","","checklist-flat","not-started","SYS - Archived checklist 4","checklist-flat","FALSE","FALSE","Site QA","Tower B","20. 25th Floor - Plant Room"
"68fd79f9-8e42-47bb-b3a3-eab3326e3ddb","","checklist-flat","not-started","SYS - Archived checklist 5","checklist-flat","FALSE","FALSE","Site QA","Tower B","21. 25th Floor - Domestic Water Tank Floor & Wall"
