"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"2807bb6d-ea64-41f9-862e-87f5c5132704","","folder-normal","not-started","","step","TRUE","FALSE","External Waterproofing"
"2bb1b407-52e4-4965-bcfd-61168896a065","","folder-normal","not-started","","step","TRUE","FALSE","External Waterproofing","Lift pit"
"3e8552bb-6a93-45e4-8f0d-d6298af7f6c8","","checklist-flat","not-started","zSYS - Vertical walls only H: 1.3m with 200mm wrap up on both sides","checklist-flat","FALSE","FALSE","External Waterproofing","Lift pit","Vertical walls only H: 1.3m with 200mm wrap up on both sides"
"aac8715a-a98e-4f2e-8833-c72e70be6fa1","","folder-normal","not-started","","step","TRUE","FALSE","External Waterproofing","Spoon Drain"
"2187e45a-1eb8-451e-8d54-b6a99ca5ca25","","checklist-flat","not-started","zSYS - Spoon drain floor, Upturns and Bandage","checklist-flat","FALSE","FALSE","External Waterproofing","Spoon Drain","Spoon drain floor, Upturns and Bandage"
"49a8db6d-96a4-4cca-8dba-663def517c3c","","folder-normal","not-started","","step","TRUE","FALSE","External Waterproofing","Slab Edge/Hobs"
"f6301bde-554e-4e6c-bd7d-4476d7113bc4","","folder-normal","not-started","","step","TRUE","FALSE","External Waterproofing","Slab Edge/Hobs","Ground Floor"
"29f5cc16-adaf-44c8-828a-addc7e208b39","","checklist-flat","not-started","zSYS - Spoon drain floor, Upturns and Bandage","checklist-flat","FALSE","FALSE","External Waterproofing","Slab Edge/Hobs","Ground Floor","Slab edge underneath Planter boxes on GF W: 1m (no UV topcoat required) + Bandage to blockwork walls W: 300mm"
"a289e94d-4658-41b8-9545-4be693fbd715","","folder-normal","not-started","","step","TRUE","FALSE","External Waterproofing","Slab Edge/Hobs","Level 01"
"9dc76395-084e-4273-8a97-88865dcdecaa","","checklist-flat","not-started","zSYS - Spoon drain floor, Upturns and Bandage","checklist-flat","FALSE","FALSE","External Waterproofing","Slab Edge/Hobs","Level 01","Bandage to aluminium hob W: 220mm"
"db4d6c6b-b962-41a7-9d72-962f55f9262c","","folder-normal","not-started","","step","TRUE","FALSE","External Waterproofing","Slab Edge/Hobs","Level 02"
"4c9daea8-8c6d-4220-9069-326d10d8b124","","checklist-flat","not-started","zSYS - Spoon drain floor, Upturns and Bandage","checklist-flat","FALSE","FALSE","External Waterproofing","Slab Edge/Hobs","Level 02","Bandage to aluminium hob W: 220mm"
"ada00c4d-600f-4f53-90c6-c15954280dd0","","folder-normal","not-started","","step","TRUE","FALSE","External Waterproofing","Slab Edge/Hobs","Level 03"
"7207b34f-a130-4471-aec3-b7ee22eca832","","checklist-flat","not-started","zSYS - Spoon drain floor, Upturns and Bandage","checklist-flat","FALSE","FALSE","External Waterproofing","Slab Edge/Hobs","Level 03","Bandage to aluminium hob W: 220mm"
"3f0a4511-b63d-4493-bf5a-9e97478df3d3","","folder-normal","not-started","","step","TRUE","FALSE","External Waterproofing","Slab Edge/Hobs","Level 04"
"9fb6347e-c083-4fc3-acd6-084fe8f73313","","checklist-flat","not-started","zSYS - Spoon drain floor, Upturns and Bandage","checklist-flat","FALSE","FALSE","External Waterproofing","Slab Edge/Hobs","Level 04","Bandage to aluminium hob W: 220mm"
"f2d68950-57b8-40b5-a741-71b35d5597ea","","folder-normal","not-started","","step","TRUE","FALSE","External Waterproofing","Slab Edge/Hobs","Level 05"
"5447a7fa-1115-40b7-b282-3b27fc12e99a","","checklist-flat","not-started","zSYS - Spoon drain floor, Upturns and Bandage","checklist-flat","FALSE","FALSE","External Waterproofing","Slab Edge/Hobs","Level 05","Bandage to aluminium hob W: 220mm"
"2b04af07-5960-47ce-9469-13015f8e1568","","folder-normal","not-started","","step","TRUE","FALSE","External Waterproofing","Slab Edge/Hobs","Level 06"
"b44fb237-92b7-4e96-ad80-131f63ebd428","","checklist-flat","not-started","zSYS - Spoon drain floor, Upturns and Bandage","checklist-flat","FALSE","FALSE","External Waterproofing","Slab Edge/Hobs","Level 06","Bandage to aluminium hob W: 220mm"
"4ba8e0f4-8068-4c2c-8a02-c643d8d126ac","","folder-normal","not-started","","step","TRUE","FALSE","External Waterproofing","Balcony"
"36aa5eb2-65cb-47e6-8874-e7c4e88c1b06","","folder-normal","not-started","","step","TRUE","FALSE","External Waterproofing","Balcony","Level 03"
"a7b07c09-6479-45b0-ae09-82749dbd48b9","","checklist-flat","not-started","zSYS - Spoon drain floor, Upturns and Bandage","checklist-flat","FALSE","FALSE","External Waterproofing","Balcony","Level 03","Waterproofing to balcony on L03"
"7d1e4ffc-1e3d-4db6-a168-6c94cc1003f0","","folder-normal","not-started","","step","TRUE","FALSE","External Waterproofing","Balcony","Level 04"
