"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"64cdf63b-8dcd-41b2-893b-76737829f774","","folder-normal","fail","","step","TRUE","FALSE","AREA 1 ITP's"
"65cb4231-9be6-4944-a2ff-40074be0b6ab","","folder-normal","work-in-progress","","step","TRUE","FALSE","AREA 1 ITP's","ITP-001 - Stripping Topsoil Clearing & Grubbing"
"339eab72-ab97-4ab2-aba6-e7ba12f06b22","Child 2 - Construction Works(bb9a11de-ebb3-55c8-b585-eae18ea6a8b7) -- 2.6 Clearing Process(98eeaa86-2fbb-5a6c-9fb1-e44ff1d99a19): Data not allowed on signoff Hold Point(6e02d527-6497-5155-9c90-09691cee8d3b): RESPONSIBILITY: Site Engineer(c99693dd-12b3-436f-b884-b479d9797789)
Child 3 - Completion(c4f7ee1e-f3cc-550a-88da-82bf6789cf78) -- Final Inspection - Work Completed On(6e7fa3bd-551d-440c-b0c2-4e0225089cac): checkpoint-no-status has incorrect meta.stepType checkpoint-status","checklist-sectioned","pass","f4cdac93a9a6697e95d022449bc1204fed488476e914fd0f0e0895f834c46d91","checklist","FALSE","FALSE","AREA 1 ITP's","ITP-001 - Stripping Topsoil Clearing & Grubbing","ITP-001-A1-LOT-001 - 11 Trees - Median Ch 24640 to Ch 25040 "
"c0f0bfb6-1f72-4d91-a87f-acb167b0bad7","","checklist-flat","pass","6c385c3c98c321e6987c49e6ca06223f93b991594499355dd4cdbe837b326da9","checklist-flat","FALSE","FALSE","AREA 1 ITP's","ITP-001 - Stripping Topsoil Clearing & Grubbing","ITP-001-A1-LOT-002 - Memorial park & Hume Hwy Center Median "
"a878acfc-41ec-403f-a279-37cd64d71380","","checklist-flat","pass","8392dc980c91917d26de7facc052e8be8810f5a385ad924224dd0fe66d9c6b77","checklist-flat","FALSE","FALSE","AREA 1 ITP's","ITP-001 - Stripping Topsoil Clearing & Grubbing","ITP-001-A1-LOT-003 - 9 Trees - Zone 3 - Westbound Ch 15000 to Ch 14700"
"24563494-83a6-482e-87dd-e55827c39a9f","","checklist-flat","pass","8392dc980c91917d26de7facc052e8be8810f5a385ad924224dd0fe66d9c6b77","checklist-flat","FALSE","FALSE","AREA 1 ITP's","ITP-001 - Stripping Topsoil Clearing & Grubbing","ITP-001-A1-LOT-004 - 64 Trees - Zone 4 - Westbound Ch 14400 to Ch 13880"
"14713e3b-0a44-44e8-adb6-56501c9dca57","","checklist-flat","pass","23fc73ef97d6dd27505b9ae25afc41e8557ba95cc0f0ec8de3aedcb4c6820365","checklist-flat","FALSE","FALSE","AREA 1 ITP's","ITP-001 - Stripping Topsoil Clearing & Grubbing","ITP-001-A1-LOT-005 - 1 Tree - Zone 1 - Hume Hwy South Center Median - Ch70139 - Ch70272"
"05964260-7468-4efa-a9c4-1f6ddb67d387","","checklist-flat","pass","23fc73ef97d6dd27505b9ae25afc41e8557ba95cc0f0ec8de3aedcb4c6820365","checklist-flat","FALSE","FALSE","AREA 1 ITP's","ITP-001 - Stripping Topsoil Clearing & Grubbing","ITP-001-A1-LOT-006 - 4Trees - Zone 4 - Golf Course - CH13800 - CH13600"
"3cdaab81-ef00-4a5e-bbef-215c47bba0d3","","checklist-flat","pass","23fc73ef97d6dd27505b9ae25afc41e8557ba95cc0f0ec8de3aedcb4c6820365","checklist-flat","FALSE","FALSE","AREA 1 ITP's","ITP-001 - Stripping Topsoil Clearing & Grubbing","ITP-001-A1-LOT-007 - 2 Trees - Zone 1 -  Craigieburn  - Hardy Ave - Ch16085 - Ch16110"
"720badad-3c5a-4848-ba96-e622e45997f0","","checklist-flat","pass","23fc73ef97d6dd27505b9ae25afc41e8557ba95cc0f0ec8de3aedcb4c6820365","checklist-flat","FALSE","FALSE","AREA 1 ITP's","ITP-001 - Stripping Topsoil Clearing & Grubbing","ITP-001-A1-LOT-008 - 3 Trees - Zone 2 -  Craigieburn Road- West Bound - Ch16060 - Ch16080"
"e18755a3-0e56-4c40-8176-6c8a9a635812","","checklist-flat","pass","23fc73ef97d6dd27505b9ae25afc41e8557ba95cc0f0ec8de3aedcb4c6820365","checklist-flat","FALSE","FALSE","AREA 1 ITP's","ITP-001 - Stripping Topsoil Clearing & Grubbing","ITP-001-A1-LOT-010 - Topsoil Strip - Zone 4 - Westbound Ch13600 - Ch14400"
"76137e76-d08c-497b-9c40-7f673b60a4cc","","checklist-flat","pass","23fc73ef97d6dd27505b9ae25afc41e8557ba95cc0f0ec8de3aedcb4c6820365","checklist-flat","FALSE","FALSE","AREA 1 ITP's","ITP-001 - Stripping Topsoil Clearing & Grubbing","ITP-001-A1-LOT-011 - Clearing & Grubbing - eastbound zone 3 CH25370 -Dalys"
