"Matrix Name","Dimension","Name","Type / Data Field","Tag 1","Tag 2"
"Switchboards"
,"Scope",,
,"Rows"
,,"Switchboards","grouping","switchboards"
,,"msb","expanded","msb","switchboards"
,,"dbll","expanded","dbll","switchboards"
,,"db-t01","expanded","db-t01","switchboards"
,,"db-t02","expanded","db-t02","switchboards"
,,"db-t03","expanded","switchboards","db-t03"
,,"db-t04","expanded","db-t04","switchboards"
,,"db-t05","expanded","db-t05","switchboards"
,,"dc-1","expanded","dc-1","switchboards"
,,"dc-2","expanded","dc-2","switchboards"
,,"dc-3","expanded","switchboards","dc-3"
,,"dc-4","expanded","dc-4","switchboards"
,"Columns"
,,"Spatial certificate signed if required",,"spatial certificate signed if required"
,,"Fixings installed in wall correctly if board is wall mounted",,"fixings installed in wall correctly if board is wall mounted"
,,"All clearances sighted to ensure location is compliant",,"all clearances sighted to ensure location is compliant"
,,"All cables correctly installed in protection device and earth and neutral bars and fully secured",,"all cables correctly installed in protection device and earth and neutral bars and fully secured"
,,"Cables neatly dressed",,"cables neatly dressed"
,,"Phase tabs on chassy covered",,"phase tabs on chassy covered"
,,"All earths and neutrals labelled to match phase numbers",,"all earths and neutrals labelled to match phase numbers"
,,"Switchboard is clean on the inside and outside",,"switchboard is clean on the inside and outside"
,,"Masking blanks installed",,"masking blanks installed"
,,"DB legend installed",,"db legend installed"
,,"Feisst label on the door installed",,"feisst label on the door installed"
,,"Photos",,"photos"

"Cable Tray"
,"Scope",,
,"Rows"
,,"Cable Tray","grouping","cable tray"
,,"basement 02","expanded","cable tray","basement 02"
,,"basement 02 riser","expanded","cable tray","basement 02 riser"
,,"basement 01","expanded","cable tray","basement 01"
,,"basement 01 riser","expanded","cable tray","basement 01 riser"
,,"ground","expanded","cable tray","ground"
,,"ground riser","expanded","cable tray","ground riser"
,,"level 1","expanded","level 1","cable tray"
,,"level 1 riser","expanded","cable tray","level 1 riser"
,,"level 2","expanded","cable tray","level 2"
,,"level 2 riser","expanded","cable tray","level 2 riser"
,,"level 3","expanded","cable tray","level 3"
,,"level 3 riser","expanded","cable tray","level 3 riser"
,,"level 4","expanded","level 4","cable tray"
,,"level 4 riser","expanded","level 4 riser","cable tray"
,"Columns"
,,"Unistrutt Filed & Painted",,"unistrutt filed & painted"
,,"Hangers Spaced as Specified",,"hangers spaced as specified"
,,"Correct Size Tray Installed",,"correct size tray installed"
,,"Tray Joined Correctly",,"tray joined correctly"
,,"Hangers Seismically Restrained as per Design",,"hangers seismically restrained as per design"
,,"Tray Fastened to Hangers",,"tray fastened to hangers"
,,"Correct Anchors used fixing to Ceiling",,"correct anchors used fixing to ceiling"
,,"Cable Tray Bonded",,"cable tray bonded"
,,"Photos",,"photos"

"First Fix"
,"Scope",,
,"Rows"
,,"Basement 02","grouping","first fix","basement 02"
,,"lift lobby - b2.01","expanded","lift lobby - b2.01","first fix","basement 02"
,,"service room - b2.02","expanded","first fix","service room - b2.02","basement 02"
,,"stairwell - b2.03","expanded","stairwell - b2.03","first fix","basement 02"
,,"carpark - b2.00","expanded","carpark - b2.00","first fix","basement 02"
,,"store - b2.04","expanded","store - b2.04","first fix","basement 02"
,,"store b2.05","expanded","store b2.05","first fix","basement 02"
,,"transformer room b2.06","expanded","first fix","basement 02","transformer room b2.06"
,,"lift pit","expanded","lift pit","first fix","basement 02"
,,"Basement 01","grouping","basement 01","first fix"
,,"lift lobby - b1.01","expanded","lift lobby - b1.01","basement 01","first fix"
,,"service room - b1.02","expanded","basement 01","first fix","service room - b1.02"
,,"stairwell - b1.03","expanded","basement 01","first fix","stairwell - b1.03"
,,"service room - b1.04","expanded","service room - b1.04","basement 01","first fix"
,,"carpark - b1.00","expanded","basement 01","carpark - b1.00","first fix"
,,"store - b1.08","expanded","store - b1.08","basement 01","first fix"
,,"sprinkler room - b1.09","expanded","sprinkler room - b1.09","basement 01","first fix"
,,"Ground Floor","grouping","ground floor","first fix"
,,"exterior entry","expanded","ground floor","exterior entry","first fix"
,,"apartment lobby","expanded","ground floor","first fix","apartment lobby"
,,"corridor","expanded","ground floor","corridor","first fix"
,,"services room (lift)","expanded","ground floor","first fix","services room (lift)"
,,"stairwell","expanded","ground floor","stairwell","first fix"
,,"ablutions","expanded","ground floor","ablutions","first fix"
,,"cleaners cupboard","expanded","ground floor","first fix","cleaners cupboard"
,,"service room (under stairs)","expanded","service room (under stairs)","ground floor","first fix"
,,"egress","expanded","ground floor","first fix","egress"
,,"service room (corridor)","expanded","ground floor","service room (corridor)","first fix"
,,"commercial lobby","expanded","ground floor","commercial lobby","first fix"
,,"commercial entry","expanded","ground floor","first fix","commercial entry"
,,"tenancy 1","expanded","ground floor","tenancy 1","first fix"
,,"tenancy 2","expanded","ground floor","first fix","tenancy 2"
,,"tenancy 3 (bcd)","expanded","ground floor","tenancy 3 (bcd)","first fix"
,,"tenancy 4","expanded","ground floor","tenancy 4","first fix"
,,"tenancy 5","expanded","ground floor","tenancy 5","first fix"
,,"Level 1","grouping","level 1","first fix"
,,"apartment 101","expanded","apartment 101","level 1","first fix"
,,"apartment 102","expanded","level 1","apartment 102","first fix"
,,"apartment 103","expanded","level 1","apartment 103","first fix"
,,"apartment 104","expanded","level 1","first fix","apartment 104"
,,"apartment 105","expanded","apartment 105","level 1","first fix"
,,"apartment 106","expanded","apartment 106","level 1","first fix"
,,"apartment 107","expanded","level 1","apartment 107","first fix"
,,"apartment 108","expanded","level 1","first fix","apartment 108"
,,"apartment 109","expanded","apartment 109","level 1","first fix"
,,"common / service areas","expanded","level 1","common / service areas","first fix"
,,"Level 2","grouping","level 2","first fix"
,,"apartment 201","expanded","apartment 201","level 2","first fix"
,,"apartment 202","expanded","level 2","apartment 202","first fix"
,,"apartment 203","expanded","level 2","first fix","apartment 203"
,,"apartment 204","expanded","apartment 204","level 2","first fix"
,,"apartment 205","expanded","apartment 205","level 2","first fix"
,,"apartment 206","expanded","apartment 206","level 2","first fix"
,,"apartment 207","expanded","level 2","first fix","apartment 207"
,,"apartment 208","expanded","apartment 208","level 2","first fix"
,,"apartment 209","expanded","apartment 209","level 2","first fix"
,,"common / service areas","expanded","common / service areas","level 2","first fix"
,,"Level 3","grouping","first fix","level 3"
,,"apartment 301","expanded","apartment 301","first fix","level 3"
,,"apartment 302","expanded","first fix","level 3","apartment 302"
,,"apartment 303","expanded","apartment 303","first fix","level 3"
,,"apartment 304","expanded","apartment 304","first fix","level 3"
,,"apartment 305","expanded","apartment 305","first fix","level 3"
,,"apartment 306","expanded","first fix","apartment 306","level 3"
,,"apartment 307","expanded","apartment 307","first fix","level 3"
,,"apartment 308","expanded","apartment 308","first fix","level 3"
,,"apartment 309","expanded","apartment 309","first fix","level 3"
,,"common / service areas","expanded","common / service areas","first fix","level 3"
,,"Level 4","grouping","level 4","first fix"
,,"apartment 401","expanded","level 4","first fix","apartment 401"
,,"apartment 402","expanded","level 4","apartment 402","first fix"
,,"apartment 403","expanded","level 4","apartment 403","first fix"
,,"apartment 404","expanded","level 4","apartment 404","first fix"
,,"apartment 405","expanded","level 4","first fix","apartment 405"
,,"common / service areas","expanded","level 4","common / service areas","first fix"
,"Columns"
,,"Flush Boxes",,"flush boxes"
,,"Cabling",,"cabling"
,,"Cat Wires",,"cat wires"
,,"Cable Tray",,"cable tray"
,,"Lights",,"lights"
,,"Seismic Bracing",,"seismic bracing"
,,"Ducts and Conduits",,"ducts and conduits"

"Second Fix"
,"Scope",,
,"Rows"
,,"Basement 02","grouping","second fix","basement 02"
,,"lift lobby - b2.01","expanded","second fix","lift lobby - b2.01","basement 02"
,,"service room - b2.02","expanded","second fix","service room - b2.02","basement 02"
,,"stairwell - b2.03","expanded","stairwell - b2.03","second fix","basement 02"
,,"carpark - b2.00","expanded","second fix","carpark - b2.00","basement 02"
,,"store - b2.04","expanded","second fix","store - b2.04","basement 02"
,,"store b2.05","expanded","second fix","store b2.05","basement 02"
,,"transformer room b2.06","expanded","second fix","basement 02","transformer room b2.06"
,,"lift pit","expanded","lift pit","second fix","basement 02"
,,"Basement 01","grouping","second fix","basement 02"
,,"lift lobby - b2.01","expanded","second fix","lift lobby - b2.01","basement 02"
,,"service room - b2.02","expanded","second fix","service room - b2.02","basement 02"
,,"stairwell - b2.03","expanded","stairwell - b2.03","second fix","basement 02"
,,"carpark - b2.00","expanded","second fix","carpark - b2.00","basement 02"
,,"store - b2.04","expanded","second fix","store - b2.04","basement 02"
,,"store b2.05","expanded","second fix","store b2.05","basement 02"
,,"transformer room b2.06","expanded","second fix","basement 02","transformer room b2.06"
,,"lift pit","expanded","lift pit","second fix","basement 02"
,,"Ground Floor","grouping","second fix","basement 02"
,,"lift lobby - b2.01","expanded","second fix","lift lobby - b2.01","basement 02"
,,"service room - b2.02","expanded","second fix","service room - b2.02","basement 02"
,,"stairwell - b2.03","expanded","stairwell - b2.03","second fix","basement 02"
,,"carpark - b2.00","expanded","second fix","carpark - b2.00","basement 02"
,,"store - b2.04","expanded","second fix","store - b2.04","basement 02"
,,"store b2.05","expanded","second fix","store b2.05","basement 02"
,,"transformer room b2.06","expanded","second fix","basement 02","transformer room b2.06"
,,"lift pit","expanded","lift pit","second fix","basement 02"
,,"Level 1 - Apartment 101","grouping","apartment 101","second fix","level 1"
,,"kitchen","expanded","apartment 101","kitchen","second fix","level 1"
,,"living","expanded","living","apartment 101","second fix","level 1"
,,"balcony","expanded","apartment 101","second fix","level 1","balcony"
,,"bed 1","expanded","apartment 101","second fix","level 1","bed 1"
,,"bed 2","expanded","apartment 101","second fix","level 1","bed 2"
,,"bed 3","expanded","bed 3","apartment 101","second fix","level 1"
,,"ensuite","expanded","ensuite","apartment 101","second fix","level 1"
,,"bathroom","expanded","apartment 101","second fix","level 1","bathroom"
,,"Level 1 - Apartment 102","grouping","second fix","apartment 102","level 1"
,,"kitchen","expanded","kitchen","second fix","apartment 102","level 1"
,,"living","expanded","living","second fix","apartment 102","level 1"
,,"balcony","expanded","second fix","apartment 102","level 1","balcony"
,,"bed 1","expanded","second fix","apartment 102","level 1","bed 1"
,,"bed 2","expanded","second fix","apartment 102","level 1","bed 2"
,,"bed 3","expanded","bed 3","second fix","apartment 102","level 1"
,,"ensuite","expanded","ensuite","second fix","apartment 102","level 1"
,,"bathroom","expanded","second fix","apartment 102","level 1","bathroom"
,,"Level 1 - Apartment 103","grouping","second fix","level 1","apartment 103"
,,"kitchen","expanded","kitchen","second fix","level 1","apartment 103"
,,"living","expanded","living","second fix","level 1","apartment 103"
,,"balcony","expanded","second fix","level 1","balcony","apartment 103"
,,"bed 1","expanded","second fix","level 1","bed 1","apartment 103"
,,"bed 2","expanded","second fix","level 1","apartment 103","bed 2"
,,"bed 3","expanded","bed 3","second fix","level 1","apartment 103"
,,"ensuite","expanded","ensuite","second fix","level 1","apartment 103"
,,"bathroom","expanded","second fix","level 1","apartment 103","bathroom"
,,"Level 1 - Apartment 104","grouping","second fix","level 1","apartment 104"
,,"kitchen","expanded","kitchen","second fix","level 1","apartment 104"
,,"living","expanded","living","second fix","level 1","apartment 104"
,,"balcony","expanded","second fix","level 1","balcony","apartment 104"
,,"bed 1","expanded","second fix","level 1","bed 1","apartment 104"
,,"bed 2","expanded","second fix","level 1","bed 2","apartment 104"
,,"study","expanded","study","second fix","level 1","apartment 104"
,,"ensuite","expanded","ensuite","second fix","level 1","apartment 104"
,,"bathroom","expanded","second fix","level 1","bathroom","apartment 104"
,,"Level 1 - Apartment 105","grouping","apartment 105","second fix","level 1"
,,"kitchen","expanded","apartment 105","kitchen","second fix","level 1"
,,"living","expanded","apartment 105","living","second fix","level 1"
,,"balcony","expanded","apartment 105","second fix","level 1","balcony"
,,"bed 1","expanded","apartment 105","second fix","level 1","bed 1"
,,"bed 2","expanded","apartment 105","second fix","level 1","bed 2"
