PANEL,ISSUE,JOBNUMBER,LEVEL,TYPE,PANEL-ID,ZONE,COLOUR,THK,VOL,MASS,NET_AREA,GROSS_AREA,MPA,REO_KG,KGM3,WIDTH,HEIGHT,TRANSPORT_WIDTH,TRANSPORT_HEIGHT,LIFTING_CLUTCH_TYPE,LIFTER_WLL,FRANNA_REQUIRED,REV,GROUT_M3,M12,M16,M20,M24,PSA12TI,PSA16TI,PSA20TI,PSA25TI,PSA12C,PSA16C,PSA20C,PSA25C,M12_GALV,M16_GALV,M20_GALV,M24_GALV,PSA12TI_GALV,PSA16TI_GALV,PSA20TI_GALV,PSA25TI_GALV,PSA12C_GALV,PSA16C_GALV,PSA20C_GALV,PSA25C_GALV,50_DUCT,60_DUCT,70_DUCT,100_DUCT,EDGE_LIFTER,FACE_LIFTER,FOOT_ANCHOR,CP1,CP2,CP3,CP4,CP5,CP6,CP7,CP8,CP9,CP10,CP1_GALV,CP2_GALV,CP3_GALV,CP4_GALV,CP5_GALV,CP6_GALV,CP7_GALV,CP8_GALV,CP9_GALV,CP10_GALV,R6-LENGTH,N8-LENGTH,N10-LENGTH,N12-LENGTH,N16-LENGTH,N20-LENGTH,N24-LENGTH,N28-LENGTH,N32-LENGTH,N36-LENGTH,N40-LENGTH
'RS.24-005,APPROVAL,HUT034,L24,COLUMN ROUND,'RS.24-005,RES.TOWER,*GREY CONC,600,0.72,1.77,1.66,2.41,40,108.85,150.18,873,2760,872,4060,LMC10 LMC10 ,10.0T 7.0T ,NO,A,0.035,,,2,,,,,,,,,,,,,,,,,,,,,,0,8800,0,0,2,2,,,,,,,,,,,,,,,,,,,,,,0,0,28533.18,0,0,0,25698.88,0,0,0,0
'RS.24-006,APPROVAL,HUT034,L24,COLUMN ROUND,'RS.24-006,RES.TOWER,*GREY CONC,600,0.76,1.86,1.61,2.46,40,108.56,142.79,924,2670,923,4069,LMC10 LMC10 ,10.0T 7.0T ,NO,A,0.036,,,2,,,,,,,,,,,,,,,,,,,,,,0,8800,0,0,2,2,,,,,,,,,,,,,,,,,,,,,,0,0,29946.9,0,0,0,25371.8,0,0,0,0
'RS.24-010,APPROVAL,HUT034,L24,COLUMN ROUND,'RS.24-010,RES.TOWER,*GREY CONC,600,0.76,1.82,1.61,2.31,40,74.34,98,865,2670,864,4069,LMC10 LMC10 ,10.0T 7.0T ,NO,A,0.035,,,2,,,,,,,,,,,,,,,,,,,,,,0,8800,0,0,2,2,,,,,,,,,,,,,,,,,,,,,,0,0,29946.9,0,0,0,15735.27,0,0,0,0
'RS.24-011,APPROVAL,HUT034,L24,COLUMN,'RS.24-011,RES.TOWER,*GREY CONC,300,1.56,3.62,5.19,5.28,40,170.81,109.68,1900,2779,1900,2779,LMC10 ,10.0T ,NO,A,0.122,,,2,,,,,,,,,,,,,,,,,,,,,,20200,25200,0,0,3,,,,,,,,,,,,,,,,,,,,,,,0,0,140792.78,0,0,34130.7,0,0,0,0,0
'RS.24-012,APPROVAL,HUT034,L24,COLUMN,'RS.24-012,RES.TOWER,*GREY CONC,300,1.4,3.36,4.68,4.73,40,169.29,120.61,1700,2780,1700,2780,LMC10 ,10.0T ,NO,A,0.073,,,2,,,,,,,,,,,,,,,,,,,,,,12000,13800,0,0,3,,,,,,,,,,,,,,,,,,,,,,,0,0,119188.63,0,0,0,26980,0,0,0,0
'RS.24-013,APPROVAL,HUT034,L24,COLUMN ROUND,'RS.24-013,RES.TOWER,*GREY CONC,600,0.76,1.86,1.62,2.54,40,108.63,142.7,951,2670,950,4070,LMC10 LMC10 ,10.0T 7.0T ,NO,A,0.036,,,2,,,,,,,,,,,,,,,,,,,,,,0,8800,0,0,2,2,,,,,,,,,,,,,,,,,,,,,,0,0,29946.9,0,0,0,25390.86,0,0,0,0
'RS.24-016,APPROVAL,HUT034,L24,COLUMN ROUND,'RS.24-016,RES.TOWER,*GREY CONC,600,0.79,1.93,1.68,2.43,40,110.79,140.27,875,2780,875,4069,LMC10 LMC10 ,10.0T 7.0T ,NO,A,0.035,,,2,,,,,,,,,,,,,,,,,,,,,,0,8800,0,0,2,2,,,,,,,,,,,,,,,,,,,,,,0,0,29946.9,0,0,0,25998.24,0,0,0,0
'RS.24-017,APPROVAL,HUT034,L24,COLUMN ROUND,'RS.24-017,RES.TOWER,*GREY CONC,600,0.97,2.36,1.62,2.57,40,107.14,110.49,961,2670,961,4050,,,NO,A,0.036,,,2,,,,,,,,,,,,,,,,,,,,,,0,8800,0,0,2,2,,,,,,,,,,,,,,,,,,,,,,0,0,28533.18,0,0,0,25217.1,0,0,0,0
'RS.24-020,APPROVAL,HUT034,L24,COLUMN ROUND,'RS.24-020,RES.TOWER,*GREY CONC,600,0.76,1.85,1.61,2.26,40,106.88,140.99,847,2670,847,4059,LMC10 LMC10 ,10.0T 7.0T ,NO,A,0.035,,,2,,,,,,,,,,,,,,,,,,,,,,0,8800,0,0,2,2,,,,,,,,,,,,,,,,,,,,,,0,0,28533.18,0,0,0,25145.02,0,0,0,0
'RS.24-021,APPROVAL,HUT034,L24,COLUMN,'RS.24-021,RES.TOWER,*GREY CONC,300,0.94,2.25,3.03,3.03,40,145.55,154.04,1285,2380,1284,3659,LMC10 ,10.0T ,NO,A,0.066,,,2,,,,,,,,,,,,,,,,,,,,,,0,0,15200,0,2,,,,,,,,,,,,,,,,,,,,,,,0,0,78374.64,0,0,39500,0,0,0,0,0
