"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"38e41d24-bf4a-4ee7-8ce0-98bf17c6ec85","","checklist-flat","work-in-progress","Job Details","checklist-flat","FALSE","FALSE","Mondrian - Job Details"
"6fb5fe2d-f429-48a6-aa16-8b5bc9b55350","","folder-normal","fail","","step","TRUE","FALSE","Podium"
"da5eac98-442e-49b6-a33a-7d2a61228653","","folder-normal","work-in-progress","","step","TRUE","FALSE","Podium","Manufacture QA"
"33549ecf-decd-4032-a640-ef9152fe6e17","","folder-normal","pass","","step","TRUE","FALSE","Podium","Manufacture QA","Level 1"
"066b4929-5bb0-42c2-9255-81d7046faa21","","folder-normal","pass","","step","TRUE","FALSE","Podium","Manufacture QA","Level 1","Column"
"797ccd01-32c5-4eef-80c5-18c1963340e1","","checklist-sectioned","pass","85036482a5c82322a3da5657b2ce53009d1e5a9dc4b085af76324dcbedc04d80","checklist","FALSE","FALSE","Podium","Manufacture QA","Level 1","Panel","PC.01-207"
"032ccbfa-ba33-41c7-bb39-9d348c898416","","checklist-sectioned","pass","85036482a5c82322a3da5657b2ce53009d1e5a9dc4b085af76324dcbedc04d80","checklist","FALSE","FALSE","Podium","Manufacture QA","Level 1","Panel","PC.01-208"
"a42c3268-bf3d-4bad-847c-29b987a28c02","","checklist-sectioned","pass","85036482a5c82322a3da5657b2ce53009d1e5a9dc4b085af76324dcbedc04d80","checklist","FALSE","FALSE","Podium","Manufacture QA","Level 1","Panel","PC.01-209"
"c28d4c28-949d-4e68-bb21-a8c4dc0073df","","checklist-sectioned","pass","85036482a5c82322a3da5657b2ce53009d1e5a9dc4b085af76324dcbedc04d80","checklist","FALSE","FALSE","Podium","Manufacture QA","Level 1","Panel","PC.01-210"
"b4b421ca-146c-4f2d-879e-18e2b9e2ce18","","checklist-sectioned","pass","85036482a5c82322a3da5657b2ce53009d1e5a9dc4b085af76324dcbedc04d80","checklist","FALSE","FALSE","Podium","Manufacture QA","Level 1","Panel","PC.01-211"
"a56f97ba-9d07-467c-bb81-a640381c89c3","","checklist-sectioned","pass","85036482a5c82322a3da5657b2ce53009d1e5a9dc4b085af76324dcbedc04d80","checklist","FALSE","FALSE","Podium","Manufacture QA","Level 1","Panel","PC.01-212"
"fe7d2a86-4f6e-44f4-9050-d668b4cced8f","","checklist-sectioned","pass","85036482a5c82322a3da5657b2ce53009d1e5a9dc4b085af76324dcbedc04d80","checklist","FALSE","FALSE","Podium","Manufacture QA","Level 1","Panel","PC.01-213"
"61f834ba-9218-445a-b92a-41a6c60afb40","","checklist-sectioned","pass","85036482a5c82322a3da5657b2ce53009d1e5a9dc4b085af76324dcbedc04d80","checklist","FALSE","FALSE","Podium","Manufacture QA","Level 1","Panel","PC.01-214"
"bdb260ca-a15c-4184-88a7-fec8c10629cb","","checklist-sectioned","pass","85036482a5c82322a3da5657b2ce53009d1e5a9dc4b085af76324dcbedc04d80","checklist","FALSE","FALSE","Podium","Manufacture QA","Level 1","Panel","PC.01-215"
"68398648-e088-4ce4-a3bc-e391af98256b","","checklist-sectioned","pass","85036482a5c82322a3da5657b2ce53009d1e5a9dc4b085af76324dcbedc04d80","checklist","FALSE","FALSE","Podium","Manufacture QA","Level 1","Panel","PC.01-216"
"55e86505-47ef-498a-a991-4f825cb2373c","","checklist-sectioned","pass","85036482a5c82322a3da5657b2ce53009d1e5a9dc4b085af76324dcbedc04d80","checklist","FALSE","FALSE","Podium","Manufacture QA","Level 1","Panel","PC.01-217"
"dea99bc0-9bd5-40fb-b2a6-62207164578e","","checklist-sectioned","pass","85036482a5c82322a3da5657b2ce53009d1e5a9dc4b085af76324dcbedc04d80","checklist","FALSE","FALSE","Podium","Manufacture QA","Level 1","Panel","PC.01-218"
"c7d3e9cb-202e-47e0-848f-e6973df4185e","","checklist-sectioned","pass","85036482a5c82322a3da5657b2ce53009d1e5a9dc4b085af76324dcbedc04d80","checklist","FALSE","FALSE","Podium","Manufacture QA","Level 1","Panel","PC.01-221"
"c9aeac39-0957-4274-87c0-0f309e642fa3","","checklist-sectioned","pass","85036482a5c82322a3da5657b2ce53009d1e5a9dc4b085af76324dcbedc04d80","checklist","FALSE","FALSE","Podium","Manufacture QA","Level 1","Panel","PC.01-222"
"dfbf9d87-9238-4f5a-a031-8f02ddd46adb","","checklist-sectioned","pass","85036482a5c82322a3da5657b2ce53009d1e5a9dc4b085af76324dcbedc04d80","checklist","FALSE","FALSE","Podium","Manufacture QA","Level 1","Panel","PC.01-223"
"9f7c62c8-3fb6-4246-b9de-24615aa3ee7b","","checklist-sectioned","pass","85036482a5c82322a3da5657b2ce53009d1e5a9dc4b085af76324dcbedc04d80","checklist","FALSE","FALSE","Podium","Manufacture QA","Level 1","Panel","PC.01-224"
"03955b49-f9b0-4ef2-b52e-f268cd84441f","","checklist-sectioned","pass","85036482a5c82322a3da5657b2ce53009d1e5a9dc4b085af76324dcbedc04d80","checklist","FALSE","FALSE","Podium","Manufacture QA","Level 1","Panel","PC.01-225"
"1e925083-bdb6-477c-9f53-e7e1f4369e33","","checklist-sectioned","pass","85036482a5c82322a3da5657b2ce53009d1e5a9dc4b085af76324dcbedc04d80","checklist","FALSE","FALSE","Podium","Manufacture QA","Level 1","Panel","PC.01-226"
"7a4290ad-a234-4b82-bb65-ea32b14441f3","","checklist-sectioned","pass","85036482a5c82322a3da5657b2ce53009d1e5a9dc4b085af76324dcbedc04d80","checklist","FALSE","FALSE","Podium","Manufacture QA","Level 1","Panel","PC.01-227"
"1b53e9c1-4ad1-40a3-ac2a-34994fb315a0","","checklist-sectioned","pass","85036482a5c82322a3da5657b2ce53009d1e5a9dc4b085af76324dcbedc04d80","checklist","FALSE","FALSE","Podium","Manufacture QA","Level 1","Panel","PC.01-228"
