PANEL,LEVEL,TYPE,ZONE
'RS.24-005,L24,COLUMN ROUND,RES.TOWER
'RS.24-006,L24,COLUMN ROUND,RES.TOWER
'RS.24-010,L24,COLUMN ROUND,RES.TOWER
'RS.24-011,L24,COLUMN,RES.TOWER
'RS.24-012,L24,COLUMN,RES.TOWER
'RS.24-013,L24,COLUMN ROUND,RES.TOWER
'RS.24-016,L24,COLUMN ROUND,RES.TOWER
'RS.24-017,L24,COLUMN ROUND,RES.TOWER
'RS.24-020,L24,COLUMN ROUND,RES.TOWER
'RS.24-021,L24,COLUMN,RES.TOWER
'RS.24-022,L24,COLUMN,RES.TOWER
'RS.24-024,L24,PANEL,RES.TOWER
'RS.24-025,L24,PANEL,RES.TOWER
'RS.24-029,L24,PANEL,RES.TOWER
'RS.24-029A,L24,PANEL,RES.TOWER
'RS.25-005,L25,COLUMN ROUND,RES.TOWER
'RS.25-006,L25,COLUMN ROUND,RES.TOWER
'RS.25-007,L25,COLUMN ROUND,RES.TOWER
'RS.25-008,L25,COLUMN,RES.TOWER
'RS.25-009,L25,COLUMN,RES.TOWER
'RS.25-010,L25,COLUMN ROUND,RES.TOWER
'RS.25-011,L25,COLUMN ROUND,RES.TOWER
'RS.25-012,L25,COLUMN ROUND,RES.TOWER
'RS.25-013,L25,COLUMN ROUND,RES.TOWER
'RS.25-016,L25,COLUMN ROUND,RES.TOWER
'RS.25-017,L25,COLUMN ROUND,RES.TOWER
'RS.25-020,L25,COLUMN ROUND,RES.TOWER
'RS.25-021,L25,COLUMN,RES.TOWER
'RS.25-022,L25,COLUMN,RES.TOWER
'RS.25-030,L25,BEAM,
'RS.25-031,L25,BEAM,
'RS.25-032,L25,BEAM,
