Matrix Name,Dimension,Name,Type / Data Field,Tag 1,Tag 2,,,
B03 Overall Progress (Apartments),,,,,,,,
,Scope,,,B03,,,,
,Rows,,,,,,,
,,Ground,dynamic,Apartments,Ground,B03,,
,,Level 1,dynamic,Apartments,Level 1,B03,,
,,Level 2,dynamic,Apartments,Level 2,B03,,
,,Level 3 - Area A,grouping,Level 3 - Area A,,,,
,,APT 301,expanded,APT 301,Apartments,Area A,Level 3,B03
,,APT 302,expanded,APT 302,Apartments,Area A,Level 3,B03
,,APT 303,expanded,APT 303,Apartments,Area A,Level 3,B03
,,APT 304,expanded,APT 304,Apartments,Area A,Level 3,B03
,,Level 3 - Area B,grouping,Level 3 - Area B,,,,
,,APT 305,expanded,APT 305,Apartments,Area B,Level 3,B03
,,APT 306,expanded,APT 306,Apartments,Area B,Level 3,B03
,,APT 307,expanded,APT 307,Apartments,Area B,Level 3,B03
,,APT 308,expanded,APT 308,Apartments,Area B,Level 3,B03
,,APT 309,expanded,APT 309,Apartments,Area B,Level 3,B03
,,APT 310,expanded,APT 310,Apartments,Area B,Level 3,B03
,,APT 311,expanded,APT 311,Apartments,Area B,Level 3,B03
,,APT 312,expanded,APT 312,Apartments,Area B,Level 3,B03
,,Level 3 - Area C,grouping,Level 3 - Area C,,,,
,,APT 316,expanded,APT 316,Apartments,Area C,Level 3,B03
,,APT 317,expanded,APT 317,Apartments,Area C,Level 3,B03
,,APT 318,expanded,APT 318,Apartments,Area C,Level 3,B03
,,APT 319,expanded,APT 319,Apartments,Area C,Level 3,B03
,,Level 3 - Area D,grouping,Level 3 - Area D,,,,
,,APT 312,expanded,APT 312,Apartments,Area D,Level 3,B03
,,APT 313,expanded,APT 313,Apartments,Area D,Level 3,B03
,,APT 314,expanded,APT 314,Apartments,Area D,Level 3,B03
,,APT 315,expanded,APT 315,Apartments,Area D,Level 3,B03
,,APT 320,expanded,APT 320,Apartments,Area D,Level 3,B03
,,APT 321,expanded,APT 321,Apartments,Area D,Level 3,B03
,,APT 322,expanded,APT 322,Apartments,Area D,Level 3,B03
,Columns,,,,,,,
,,Rough In,,Rough In,,,,
,,Installation,,Installation,,,,
,,Care/ALS Fit Off,,Care/ALS Fit Off,,,,
,,,,,,,,
B03 Detailed Progress (Common Areas),,,,,,,,
,Scope,,,B03,,,,
,Rows,,,,,,,
,,Ground,dynamic,Ground,Common Areas,B03,,
,,Level 1,dynamic,Level 1,Common Areas,B03,,
,,Level 2,dynamic,Level 2,Common Areas,B03,,
,,Level 3 - Area A,dynamic,Common Area,Area A,Level 3,B03,
,,Level 3 - Area B,dynamic,Common Area,Area B,Level 3,B03,
,,Level 3 - Area C,dynamic,Common Area,Area C,Level 3,B03,
,,Level 3 - Area D,dynamic,Common Area,Area D,Level 3,B03,
,Columns,,,,,,,
,,Installation of skirting,,Installation of skirting,,,,
,,Installation of architraves,,Installation of architraves,,,,
,,Installation of dado rail,,Installation of dado rail,,,,
,,Installation of arcade joinery,,Installation of arcade joinery (where required),,,,
,,Installation of fire doors,,Installation of fire doors,,,,
,,Fire tags installed on door & door jamb,,Fire tags installed on the door and door jamb,,,,
,,Area left clean & tidy,,Area left clean and tidy (attach photo),,,,
,,All work 100% completed to required specs,,All work 100% completed to required specifications,,,,
