"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"824a7aed-a697-42dc-8405-b35316d96706","","folder-normal","","","step","TRUE","FALSE","Ground Floor"
"306373c7-aa1f-4bba-8caf-15d8ef016f9a","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Ground Floor","G-11"
"3ffcc875-416b-41fc-8911-6e787ab17a20","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Ground Floor","G-12"
"b24f0a25-f0e5-4c00-9ada-8ddf85051943","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Ground Floor","G-13"
"11fcde12-48a8-4789-9d48-ee68a6e4a014","","checklist-sectioned","","18e0e8461ac2864fcd106a43fc6600e8608a9d0355d3afda55c2a7d24437d8e3","checklist","FALSE","FALSE","Ground Floor","G-14"
"a57519fa-8e33-43e5-8d4d-0aa04c6a41f7","","checklist-sectioned","","18e0e8461ac2864fcd106a43fc6600e8608a9d0355d3afda55c2a7d24437d8e3","checklist","FALSE","FALSE","Ground Floor","G-15"
"a22108ad-43ae-4828-84ea-450583955744","","checklist-sectioned","","18e0e8461ac2864fcd106a43fc6600e8608a9d0355d3afda55c2a7d24437d8e3","checklist","FALSE","FALSE","Ground Floor","G-16"
"c5c8eda6-29e7-4458-bde5-ebfa4aa8d97a","","checklist-sectioned","","18e0e8461ac2864fcd106a43fc6600e8608a9d0355d3afda55c2a7d24437d8e3","checklist","FALSE","FALSE","Ground Floor","G-17"
"fc68c9ce-1cc1-4d92-88f5-08e5f8810770","","checklist-sectioned","","18e0e8461ac2864fcd106a43fc6600e8608a9d0355d3afda55c2a7d24437d8e3","checklist","FALSE","FALSE","Ground Floor","G-18"
"902891d7-14ad-4261-9313-aabe38fee885","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Ground Floor","Deadman-1"
"83020b7f-1e1e-46d9-99fe-e49ab968c471","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Ground Floor","Deadman-2"
"6dd1d6bd-0467-4835-895f-a0faf9dbed24","","folder-normal","","","step","TRUE","FALSE","Level 1"
"0debb79b-f139-423e-994d-a1cbedbb9a3d","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Level 1","L1-C01"
"c1e544b4-317b-49fd-8250-40cab27eaf42","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Level 1","L1-C02"
"03cab1c8-ec7b-45e7-bc63-dd49c102d2b5","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Level 1","L1-C03"
"f7993a59-0ea7-4b1e-97fe-700790c16839","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Level 1","L1-C04"
"8af2ccb5-4f91-4ee6-b583-34230528d3bf","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Level 1","L1-C05"
"38d555a3-6900-4b4c-9b0b-4210a6bd05c0","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Level 1","L1-C06"
"694c74ad-f437-4fef-bef1-562d21400a42","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Level 1","L1-C07"
"eb9c000b-5140-4d62-aa2c-7a008b82bc23","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Level 1","L1-01"
"0bb1c4e9-899e-40d5-82e5-5116432e02d5","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Level 1","L1-04"
"f5765b02-edf6-4de4-ab19-5ce0efac6588","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Level 1","L1-07"
"b67820ab-4bcf-4553-8c0d-f9a2766481e3","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Level 1","L1-10"
"ac72680e-c0e3-42b6-bcaa-5f085995b238","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Level 1","L1-14"
"fc49c65c-c81e-4394-aee4-6e2648889fb2","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Level 1","L1-17"
"1c816c88-33ad-4503-a7b1-c4982f5c5cfd","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Level 1","L1-P19"
"b9c12af6-6db3-49ca-beae-f0f555bb8b1d","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Level 1","L1-P20"
"d8021192-beb6-43a0-8c3f-27c0ca61f598","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Level 1","L1-P21"
"426febd2-b048-4c1c-a017-a11c377f2fce","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Level 1","L1-P22"
"e20c0945-9232-40a8-b751-201c1da3254d","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Level 1","L1-P23"
"d8423c7a-4daa-444b-9cd3-4f03d4ddd6e8","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Level 1","L1-P24"
"ecb195e4-7097-4ae5-b9ee-1171ebbf4930","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Level 1","L1-P25"
"95065b02-52b4-4dc3-942f-01acf2ff1fb4","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Level 1","L1-P26"
"573dda76-300e-45b9-8104-77fa805d1898","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Level 1","L1-P27"
"cc3024f6-ae85-4158-a319-0cf7a6ea3c12","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Level 1","L1-P28"
"7527adc7-0655-4ea0-825c-955148f52319","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Level 1","L1-P29"
"06051974-447f-44a1-864d-1a6b8957b438","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Level 1","L1-P30"
"2e893b58-57fb-4bd9-bfd6-568bfaa8157c","","folder-normal","","","step","TRUE","FALSE","Level 2"
"3b8334b8-53ad-49ea-bde9-28f1cd56afe4","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Level 2","L2-01"
"47bb2929-1eae-43ac-8be2-0e18ea343cd2","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Level 2","L2-01(2)"
"33141038-dc9f-4fc4-8c1d-cbd814fd28cd","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Level 2","L2-04"
"5da92445-ec01-42e9-95ae-868a3e513869","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Level 2","L2-04(2)"
"42d6ec71-eb23-4442-a7d7-29e04534cd03","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Level 2","L2-07"
"3e026f9a-2c8b-482b-a178-cd5f4eddeb3f","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Level 2","L2-07(2)"
"af323272-1455-45c8-8ceb-99f8ef82835b","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Level 2","L2-10"
"a9e4fb6e-2195-4bc6-a04e-e19b27c84607","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Level 2","L2-10(2)"
"0062a063-9676-4b7d-89e2-d82ff17b7e21","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Level 2","L2-14"
"c75e19f7-2a4f-4613-bcb4-ede0bf45b91b","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Level 2","L2-14(2)"
"7df467d1-c489-441e-a19d-168e28558d5d","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Level 2","L2-17"
"1a0cfe46-f52a-4513-aa5b-284215917459","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Level 2","L2-17(2)"
"e3e19134-0970-47c8-bd8b-f3e72fa59dff","","checklist-sectioned","","85d5ac6d7cae2a3af9505fe4a1e6fcec3061da05268fa453e6f2c24b0c6b5092","checklist","FALSE","FALSE","Level 2","L2-C01"
"b9e5513f-996c-4442-96c0-d8cae38424c3","","checklist-sectioned","","85d5ac6d7cae2a3af9505fe4a1e6fcec3061da05268fa453e6f2c24b0c6b5092","checklist","FALSE","FALSE","Level 2","L2-C02"
"9535e5ca-a18e-4030-ad0b-4cf03ecfa6a5","","checklist-sectioned","","85d5ac6d7cae2a3af9505fe4a1e6fcec3061da05268fa453e6f2c24b0c6b5092","checklist","FALSE","FALSE","Level 2","L2-C03"
"230a4b99-b9c5-40ff-b222-ba9c432cea38","","checklist-sectioned","","85d5ac6d7cae2a3af9505fe4a1e6fcec3061da05268fa453e6f2c24b0c6b5092","checklist","FALSE","FALSE","Level 2","L2-C04"
"d2cecadc-fa13-4608-8ea1-823ea1ae1613","","checklist-sectioned","","85d5ac6d7cae2a3af9505fe4a1e6fcec3061da05268fa453e6f2c24b0c6b5092","checklist","FALSE","FALSE","Level 2","L2-C05"
"2349ccf7-735e-4b48-94a5-2d64acacd2c5","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Level 2","L2-C06"
"72fa2fc9-b3c2-4524-9c51-1907b89e9924","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Level 2","L2-C07"
"562f66d4-53ad-4222-a495-bddc7c103d13","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Level 2","L2-P19"
"ff49deba-4ede-472e-a693-4ac93d25818c","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Level 2","L2-P20"
"f6ccab0b-88a1-42d9-88c7-37bee69733ff","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Level 2","L2-P21"
"e317d70e-a8f3-420c-bf1f-9c706b9b24ad","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Level 2","L2-P22"
"5a0c4888-50de-468e-ac54-d4c2ccc3756f","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Level 2","L2-P23"
"4157178a-1b26-48c9-ba64-caa3c5219146","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Level 2","L2-P24"
"c45b2e39-851b-463d-b18f-2abc540801a7","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Level 2","L2-P25"
"ea8f552d-be59-4194-bcda-b54ca08cf300","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Level 2","L2-P26"
"f29cae26-41e0-4a12-b3dc-d93db384eda4","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Level 2","L2-P27"
"ddef0f58-4906-40d4-8b08-5213768b1387","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Level 2","L2-P29"
"3c8caae9-566c-4d4b-97e8-fddf5e90e85e","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Level 2","L2-P30"
"d3aa5ed4-78a0-4522-879a-c638d4b8612c","","folder-normal","","","step","TRUE","FALSE","Level 3"
"7da76918-63c0-4836-af1f-3881b06d436f","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Level 3","L3-01"
"93e38d6b-6f9d-44e7-bd13-67b716d1cbaf","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Level 3","L3-01(2)"
"bed1cb95-d0a1-4a76-a197-c6c91fb9adda","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Level 3","L3-04"
"5bb0e1e6-99c9-44f3-bd4f-7e4130cbb9ed","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Level 3","L3-04(2)"
"c9365a48-7471-45b7-ad5e-94052c160b92","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Level 3","L3-07"
"a019e3fd-8447-431b-9e6f-480908512cf5","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Level 3","L3-07(2)"
"40ed42d2-88a6-435d-9aa7-7161b2e066f4","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Level 3","L3-10"
"88239b79-f339-4bbb-b485-7fbf026469de","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Level 3","L3-10(2)"
"10c0a9f9-bdf4-4c6c-a717-751963dcab78","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Level 3","L3-14"
"1caf2449-b305-4645-82c1-5d10c0deb826","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Level 3","L3-14(2)"
"cbac2aa5-9d93-4fee-a7e4-a271e696dec7","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Level 3","L3-17"
"a7257835-a6e4-4a9f-b914-aa6c7e0c54de","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Level 3","L3-17(2)"
"2969164c-434c-4e4b-bf08-f562e0c95d56","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Level 3","L3-C01"
"43a6422b-d621-47ee-9e09-bef3c99d4a9b","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Level 3","L3-C02"
"93dc0269-cce8-4f04-86ab-c893c6f1e0d9","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Level 3","L3-C03"
"b2733d73-6cda-4ecf-82b3-f341fa796293","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Level 3","L3-C04"
"170dcc6c-39d3-47e3-9a27-1587cd78828e","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Level 3","L3-C05"
"993b9ffc-bef8-4dd5-bd71-c68824c02633","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Level 3","L3-C06"
"57f4f864-7c79-4262-9dee-d41ba889ca75","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Level 3","L3-C07"
"09f5e5b2-166e-4392-bc93-68013a44a3dd","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Level 3","L3-P19"
"ea8d4d76-2ff2-4100-8328-4625820c0d8d","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Level 3","L3-P20"
"43bbc2ee-b5ec-4466-999b-dc456257516b","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Level 3","L3-P21"
"2d6712c1-ae22-492e-9f8b-5bc81aebc4f6","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Level 3","L3-P22"
"a2d2017b-2da2-4156-98ec-fb47784f85f0","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Level 3","L3-P23"
"77cf2c21-cdde-4fa3-a1ef-1fff3a2384f1","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Level 3","L3-P24"
"27d0db35-f9d3-4c35-af5e-412b7fd93b76","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Level 3","L3-P25"
"960fe21e-b7a7-4164-8b24-4eadc7d513b9","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Level 3","L3-P26"
"702e5534-6821-4b78-8333-74f9da6fb7c7","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Level 3","L3-P27"
"a45531a3-5b8a-4f19-96b4-0768b59613e8","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Level 3","L3-P29"
"9aadb123-69f1-40df-9208-edb8adc3c853","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Level 3","L3-P30"
"f9647a2b-8160-43c8-bfe6-2c7e65359702","","folder-normal","","","step","TRUE","FALSE","Level 4"
"9711abc0-c4fa-4419-a764-c3bd103d1570","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Level 4","L4-01"
"f2028dc2-0c91-4ceb-ba76-2a7ea6c17407","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Level 4","L4-02"
"63f7d915-5926-4e39-ba9b-c63940d8a267","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Level 4","L4-03"
"70554940-498f-4465-85e9-ab209ae2b4f2","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Level 4","L4-03(2)"
"849f4e3e-ecd1-4edb-808f-d84e19379d3b","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Level 4","L4-04"
"47fe3fb9-b819-4b6a-8804-2375f8b78999","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Level 4","L4-04(2)"
"1a72b4da-f67d-48de-8a94-1b021ea835a9","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Level 4","L4-06"
"149a0804-eeb7-4cea-a5ee-aa0c5b050a2c","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Level 4","L4-07"
"2625382a-b1ab-49b9-94ce-f14392361b5c","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Level 4","L4-09"
"411769e0-8740-419c-9b65-27f9a094b3df","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Level 4","L4-10"
"5abdf604-fc55-4710-919b-f374b8fde3ea","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Level 4","L4-12"
"f6f40461-8a1d-4901-9349-9a4b38029eb2","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Level 4","L4-13"
"be8b878e-d544-47c2-82bf-67f4346b75c3","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Level 4","L4-14"
"44ad846b-5951-4c4f-908c-2f6c18968398","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Level 4","L4-16"
"a7896c7e-e552-4546-8787-e19a8423c60e","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Level 4","L4-17"
"906465ca-0f89-452f-b212-f0fe3512d041","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Level 4","L4-17(2)"
"58c25bfa-b30b-4c97-989b-1b9f60f57c2a","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Level 4","LD01"
"63edd7d0-04d0-4339-9542-f84b0b4317a3","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Level 4","LD02"
"25c51520-4381-4b5d-a521-fb7689107678","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Level 4","LD03"
"7ecd8a76-1f33-4557-a003-aacc223d47af","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Level 4","LD04"
"0839abf7-0d32-4924-8d85-c62866a9299b","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Level 4","RB01"
"6970fe75-78f2-4367-81b5-cfd422b33d9e","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Level 4","RB02"
"61a3a3da-b8a1-46d1-9d5f-b9e092e70cf6","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Level 4","RB03"
"28373a32-42b8-48cb-8014-16137592acad","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Level 4","RB04"
"6e266884-7757-45fb-8021-8a3e7847999f","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Level 4","RB05"
