"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"54c955e6-f78b-4308-87b6-83db711ab854","","not-started","QA - Waterproofing to floors and walls","checklist","FALSE","FALSE","Level 0 (Ground)","G07","QA- waterproofing"
"e52c9b2a-9603-440f-9ca7-32dab130d351","","not-started","QA- Tiling Installation - Walls","checklist","FALSE","FALSE","Level 0 (Ground)","G07","QA- Tiling Installation walls"
"f1f38878-17f8-48e4-85d7-0200a7c1d9ac","","not-started","QA-Other Information","checklist","FALSE","FALSE","Level 0 (Ground)","G07","QA-Other Information"
"8bba6e61-165b-44e0-b8cd-d8ff2f095219","","fail","","folder","TRUE","FALSE","Level 0 (Ground)","G08"
"b2b8b30c-117f-4033-a191-e969a827018d","","fail","Floor/Wall Preparation","checklist","FALSE","FALSE","Level 0 (Ground)","G08","QA- Wall/Floor prep"
"f15208c9-0cf6-4d4f-8dc1-837284a4925b","","not-started","QA - Waterproofing to floors and walls","checklist","FALSE","FALSE","Level 0 (Ground)","G08","QA- waterproofing"
"b66c6090-4857-48b6-9d4f-4ac6f6b35680","","not-started","QA- Tiling Installation - Walls","checklist","FALSE","FALSE","Level 0 (Ground)","G08","QA- Tiling Installation walls"
"d38d0c5e-f590-49c1-a0a7-ce3cb3d9c026","","not-started","QA-Other Information","checklist","FALSE","FALSE","Level 0 (Ground)","G08","QA-Other Information"
"09b3d373-4a79-4465-9103-87133ee28298","","fail","","folder","TRUE","FALSE","Level 0 (Ground)","G09"
"5de779d6-2ee8-47e7-aa7e-ee420c63e0aa","","fail","Floor/Wall Preparation","checklist","FALSE","FALSE","Level 0 (Ground)","G09","QA- Wall/Floor prep"
"2a233e69-05d5-40ff-9430-dd0589384dde","","not-started","QA - Waterproofing to floors and walls","checklist","FALSE","FALSE","Level 0 (Ground)","G09","QA- waterproofing"
"a2b1aee0-d902-4fa6-bb9c-351b13e6cc6d","","not-started","QA- Tiling Installation - Walls","checklist","FALSE","FALSE","Level 0 (Ground)","G09","QA- Tiling Installation walls"
"ae7e1d5f-70ad-418a-be5a-68f93f07b154","","not-started","QA-Other Information","checklist","FALSE","FALSE","Level 0 (Ground)","G09","QA-Other Information"
"3442640c-69b9-4c99-a3de-38868de014f5","","fail","","folder","TRUE","FALSE","Level 0 (Ground)","G10"
"43ad11a6-96da-4af3-9ca1-55f54f793701","","fail","Floor/Wall Preparation","checklist","FALSE","FALSE","Level 0 (Ground)","G10","QA- Wall/Floor prep"
"4aa45543-5be7-4c91-aa9c-fd605e8263de","","not-started","QA - Waterproofing to floors and walls","checklist","FALSE","FALSE","Level 0 (Ground)","G10","QA- waterproofing"
"f3b83466-61f3-4954-a3cf-cc285abc46ed","","not-started","QA- Tiling Installation - Walls","checklist","FALSE","FALSE","Level 0 (Ground)","G10","QA- Tiling Installation walls"
"74dd43f7-4aeb-4347-9472-2fdcf7e9d78d","","not-started","QA-Other Information","checklist","FALSE","FALSE","Level 0 (Ground)","G10","QA-Other Information"
"a513a9b1-a766-460b-99d0-f926142c0605","","work-in-progress","","folder","TRUE","FALSE","Level 0 (Ground)","G11"
"90c79169-102f-4638-8bd2-4ba0c1ce5dfb","","work-in-progress","Floor/Wall Preparation","checklist","FALSE","FALSE","Level 0 (Ground)","G11","QA- Wall/Floor prep"
"b5f87769-7867-4512-8f1e-11414ed07919","","not-started","QA - Waterproofing to floors and walls","checklist","FALSE","FALSE","Level 0 (Ground)","G11","QA- waterproofing"
"ed7b5ed8-7314-4a7f-90c1-c5e3779869bc","","not-started","QA- Tiling Installation - Walls","checklist","FALSE","FALSE","Level 0 (Ground)","G11","QA- Tiling Installation walls"
"7159f63b-e42b-4159-a656-d423265525bf","","not-started","QA-Other Information","checklist","FALSE","FALSE","Level 0 (Ground)","G11","QA-Other Information"
"d1440b9d-340f-4c2f-9351-7198c91386c9","","not-started","","folder","TRUE","FALSE","Level 0 (Ground)","G12"
"c6246139-f9c4-469a-acd6-a5bcfcfaf543","","not-started","Floor/Wall Preparation","checklist","FALSE","FALSE","Level 0 (Ground)","G12","QA- Wall/Floor prep"
"5fbd9c83-2a66-487a-b415-4f897d58d57d","","not-started","QA - Waterproofing to floors and walls","checklist","FALSE","FALSE","Level 0 (Ground)","G12","QA- waterproofing"
"95414722-f6cc-4570-bb76-e6755cc66038","","not-started","QA- Tiling Installation - Walls","checklist","FALSE","FALSE","Level 0 (Ground)","G12","QA- Tiling Installation walls"
"c4282d6c-a56d-452c-b20f-51f2d4267866","","not-started","QA-Other Information","checklist","FALSE","FALSE","Level 0 (Ground)","G12","QA-Other Information"
"c798b56c-ebe3-40aa-8222-55cb0a571c4c","","not-started","","folder","TRUE","FALSE","Level 0 (Ground)","G13"
"5cbc31fe-8a62-4ab9-aa4f-b9768eb5abe7","","not-started","Floor/Wall Preparation","checklist","FALSE","FALSE","Level 0 (Ground)","G13","QA- Wall/Floor prep"
"bfd67b45-d3b0-491e-acf8-04b3462edb75","","not-started","QA - Waterproofing to floors and walls","checklist","FALSE","FALSE","Level 0 (Ground)","G13","QA- waterproofing"
