"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"f357cf58-1a80-4410-ac1c-2d520ae986d5","","fail","Prestart Inspections","checklist","FALSE","FALSE","Prestart Inspections"
"e842331b-56ea-49f9-b00e-22372bd71bbc","","work-in-progress","","folder","TRUE","FALSE","Common Lobby Floor"
"e9e423d5-a718-4125-9e4f-3514ea3776de","","work-in-progress","QA - Floor Prep","checklist","FALSE","FALSE","Common Lobby Floor","QA - Floor Prep"
"54c61b08-9b4e-43ec-a1b5-6ac8920b8519","","not-started","QA - Tiling Installation","checklist","FALSE","FALSE","Common Lobby Floor","QA - Tiling Installation"
"2a3e2c0f-3a4f-4048-b1b9-54444705339f","","not-started","QA - Other Information","checklist","FALSE","FALSE","Common Lobby Floor","QA - Other Information"
"2400bfb0-6ba6-4ffe-aa13-6ae8903b01b8","","not-started","","folder","TRUE","FALSE","West Tenancy Reception"
"f07f5a70-6215-436b-a4c3-6641a19b828a","","not-started","QA - Floor Prep","checklist","FALSE","FALSE","West Tenancy Reception","QA - Floor Prep"
"1022f1f3-50db-468a-86cb-a1865214b94d","","not-started","QA - Tiling Installation","checklist","FALSE","FALSE","West Tenancy Reception","QA- Tiling Installation"
"181aeb4d-105d-48ef-8822-1b1767fa8383","","not-started","QA - Other Information","checklist","FALSE","FALSE","West Tenancy Reception","QA- Other Information"
"85e1ad14-fa67-4761-bf28-26e5310c5fb3","","not-started","","folder","TRUE","FALSE","West Tenancy Kitchen Floor"
"1c2dc818-aadd-409e-a60b-04d954050b57","","not-started","QA - Floor Prep","checklist","FALSE","FALSE","West Tenancy Kitchen Floor","QA- Floor Prep"
"986edb1a-75ad-4256-adae-3c3c3d072444","","not-started","QA - Tiling Installation","checklist","FALSE","FALSE","West Tenancy Kitchen Floor","QA- Tiling Installation"
"8dd18c7a-f857-4bfd-8f90-d59716de07f7","","not-started","QA - Other Information","checklist","FALSE","FALSE","West Tenancy Kitchen Floor","QA- Other Information"
"512afc81-cc0c-48eb-a893-d7b20fb00963","","work-in-progress","","folder","TRUE","FALSE","Joinery Units JN01"
"a351bc47-34a6-4d57-be1b-31525cba9383","","pass","QA - Wall Tiling","checklist","FALSE","FALSE","Joinery Units JN01","QA - Wall Tiling"
"b8f10d5b-d338-422d-9f16-2c7665f99dec","","work-in-progress","QA - Other Information","checklist","FALSE","FALSE","Joinery Units JN01","QA- Other Information"
"867fbaa5-4e44-48a9-a013-88cde7d226c4","","not-started","","folder","TRUE","FALSE","Joinery Unit JN02"
"0b4b342d-d1ed-4183-9690-ae79c07a4693","","not-started","Wall prep","checklist","FALSE","FALSE","Joinery Unit JN02","QA- Wall Prep"
"6a7c0105-2611-4eba-9b26-3073230e1d5f","","not-started","QA - Other Information","checklist","FALSE","FALSE","Joinery Unit JN02","QA- Other Information"
"7f07c0e8-4a65-47dd-8c32-333bd7647e0b","","not-started","","folder","TRUE","FALSE","Joinery Unti JN04"
"ecd1def6-f3b6-4c8a-b987-e83e51e855f6","","not-started","Wall prep","checklist","FALSE","FALSE","Joinery Unti JN04","QA- Wall Prep"
"84ae1b48-d0b6-41c7-9785-f1dbc37348af","","not-started","QA - Other Information","checklist","FALSE","FALSE","Joinery Unti JN04","QA - Other Information"
