Matrix Name,Dimension,Name,Type / Data Field,Tag 1,Tag 2,,,
Stage 5 - B03 Progress,,,,,,,,
,Scope,,,stage 5 - b03,,,,
,Rows,,,,,,,
,,Level Basement - Area A,grouping,level basement - area a,stage 5 - b03,project build qa,,
,,Lobby,,level basement - area a,lobby,stage 5 - b03,project build qa,
,,Smoke Lobby,,level basement - area a,smoke lobby,stage 5 - b03,project build qa,
,,Services Room,,level basement - area a,services room,stage 5 - b03,project build qa,
,,Level Ground - Area A,grouping,stage 5 - b03,level ground - area a,project build qa,,
,,Lobby,,level ground - area a,lobby,stage 5 - b03,project build qa,
,,Stair Lobby,,level ground - area a,stair lobby,stage 5 - b03,project build qa,
,,Services Rooms,,level ground - area a,stage 5 - b03,project build qa,services rooms,
,,Corridor - Grid 2-3 & B-D,,corridor - grid 2-3 & b-d,level ground - area a,stage 5 - b03,project build qa,
,,G20,,level ground - area a,g20,stage 5 - b03,project build qa,
,,G21,,level ground - area a,stage 5 - b03,project build qa,g21,
,,G22,,level ground - area a,stage 5 - b03,g22,project build qa,
,,G23,,g23,level ground - area a,stage 5 - b03,project build qa,
,,G24,,g24,level ground - area a,stage 5 - b03,project build qa,
,,Level Ground - Area B,grouping,stage 5 - b03,project build qa,level ground - area b,,
,,Corridor - Grid 2-3 & E-H,,corridor - grid 2-3 & e-h,level ground - area b,stage 5 - b03,project build qa,
,,G25,,level ground - area b,g25,stage 5 - b03,project build qa,
,,G26,,g26,level ground - area b,stage 5 - b03,project build qa,
,,G27,,level ground - area b,g27,stage 5 - b03,project build qa,
,,G28,,level ground - area b,g28,stage 5 - b03,project build qa,
,,G29,,level ground - area b,stage 5 - b03,project build qa,g29,
,,G30,,level ground - area b,g30,stage 5 - b03,project build qa,
,,Level 1 - Area A,grouping,stage 5 - b03,project build qa,level 1 - area a,,
,,Lobby,,lobby,stage 5 - b03,project build qa,level 1 - area a,
,,Stair Lobby,,stair lobby,stage 5 - b03,project build qa,level 1 - area a,
