PANEL,ISSUE,JOBNUMBER,LEVEL,TYPE,PANEL-ID,ZONE,COLOUR,THK,VOL,MASS,NET_AREA,GROSS_AREA,MPA,REO_KG,KGM3,WIDTH,HEIGHT,TRANSPORT_WIDTH,TRANSPORT_HEIGHT,LIFTING_CLUTCH_TYPE,LIFTER_WLL,FRANNA_REQUIRED,REV,FORM_LINER,GROUT_M3,M12,M16,M20,M24,PSA12TI,PSA16TI,PSA20TI,PSA25TI,PSA12C,PSA16C,PSA20C,PSA25C,M12_GALV,M16_GALV,M20_GALV,M24_GALV,PSA12TI_GALV,PSA16TI_GALV,PSA20TI_GALV,PSA25TI_GALV,PSA12C_GALV,PSA16C_GALV,PSA20C_GALV,PSA25C_GALV,50_DUCT,60_DUCT,70_DUCT,100_DUCT,EDGE_LIFTER,FACE_LIFTER,FOOT_ANCHOR,CP1,CP2,CP3,CP4,CP5,CP6,CP7,CP8,CP9,CP10,CP1_GALV,CP2_GALV,CP3_GALV,CP4_GALV,CP5_GALV,CP6_GALV,CP7_GALV,CP8_GALV,CP9_GALV,CP10_GALV,NMB-5,NMB-6,NMB-7,NMB-8,NMB-9,NMB-10,NMB-11,NMB-12,NMB-13,NMB-5_GALV,NMB-6_GALV,NMB-7_GALV,NMB-8_GALV,NMB-9_GALV,NMB-10_GALV,NMB-11_GALV,NMB-12_GALV,NMB-13_GALV,R6-LENGTH,N8-LENGTH,N10-LENGTH,N12-LENGTH,N16-LENGTH,N20-LENGTH,N24-LENGTH,N28-LENGTH,N32-LENGTH,N36-LENGTH,N40-LENGTH
'13-01,CONSTRUCTION,MIR008,L13,CORE STAIR,'13-01,STAIR 3,GREY CONC,200,3.28,8.08,16.42,17.77,40,445.43,135.64,2700,6580,2700,6680,LMC10 LMC10 ,10.0T 7.0T ,YES,1,,0.089,,,12,,8,18,,,,,,,,,,,,,,,,,,,20800,0,9600,0,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,345002.62,66001.63,0,9848.53,0,0,0,0
'13-02,CONSTRUCTION,MIR008,L13,CORE STAIR,'13-02,STAIR 3,GREY CONC,200,3.58,8.59,17.89,21.08,40,407.79,114,5449,3869,5449,3869,LMC10 ,10.0T ,NO,1,,0.163,,,16,,8,36,,,,,,,,,,,,,,,,,,,68380,0,1880,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,369959.89,50270.59,0,0,0,0,0,0
'13-03,CONSTRUCTION,MIR008,L13,CORE STAIR,'13-03,STAIR 3,GREY CONC,200,1.92,4.62,9.61,10.45,40,254.85,132.56,2700,3870,2700,3870,LMC10 ,10.0T ,NO,1,,0.099,,,10,,8,16,,,,,,,,,,,,,,,,,,,37400,0,3939,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,222211.41,36480,0,0,0,0,0,0
'13-04,CONSTRUCTION,MIR008,L13,CORE STAIR,'13-04,STAIR 3,GREY CONC,200,3.99,9.49,19.95,21.09,40,424.9,106.49,5449,3870,5449,3870,LMC10 ,10.0T ,NO,1,,0.211,,,10,,10,36,,,,,,,,,,,,,,,,,,,28800,39000,5820,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,387991.43,50966.34,0,0,0,0,0,0
'13-05,CONSTRUCTION,MIR008,L13,CORE LIFT,'13-05,LIFT,GREY CONC,200,2.8,6.84,13.98,19.93,40,407.13,145.59,5150,3870,5150,3870,LMC10 ,10.0T ,NO,1,,0.114,20,52,2,,,,,,,,,,,,,,,,,,,,,,40000,0,3760,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,175180.5,135487.41,52985.22,38685.7,0,0,0,0,0
'13-06,CONSTRUCTION,MIR008,L13,CORE LIFT,'13-06,LIFT,GREY CONC,200,4.17,10.3,20.86,22.6,40,551.4,132.18,2800,8070,2800,8070,LMC10 ,10.0T ,YES,1,,0.089,,,4,,11,,,,,,,,,,,,,,,,,,,,20800,0,9600,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,454646.08,74727.35,0,8400,0,0,0,0
'13-07,CONSTRUCTION,MIR008,L13,CORE LIFT,'13-07,LIFT,GREY CONC,200,3.81,9.13,19.05,19.93,40,409.82,107.54,5150,3870,5150,3870,LMC10 ,10.0T ,NO,1,,0.172,,,2,,16,,,,,,,,,,,,,,,,,,,,70000,0,3760,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,380587.18,45580,0,0,0,0,0,0
'13-08,CONSTRUCTION,MIR008,L13,CORE LIFT,'13-08,LIFT,GREY CONC,200,4.17,10.3,20.86,22.6,40,551.4,132.19,2800,8070,2800,8070,LMC10 ,10.0T ,YES,1,,0.089,,,4,,18,,,,,,,,,,,,,,,,,,,,20800,0,9600,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,454646.08,74727.35,0,8400,0,0,0,0
'13-09,CONSTRUCTION,MIR008,L13,CORE STAIR,'13-09,,GREY CONC,200,3.82,9.13,18.9,19.73,40,380.68,99.62,5100,3870,5100,3869,LMC10 ,10.0T ,NO,1,,0.173,,,18,,8,32,,,,,,,,,,,,,,,,,,,70000,0,3940,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,334783.82,52880,0,0,0,0,0,0
'13-10,CONSTRUCTION,MIR008,L13,CORE STAIR,'13-10,STAIR 1,GREY CONC,200,1.39,3.37,6.94,10.45,40,221.73,159.71,2700,3870,2700,3870,LMC10 ,10.0T ,NO,1,,0.074,,,10,,8,19,,,,,,,,,,,,,,,,,,,28580,0,1971,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,3458.91,151319.26,22059.17,20489.71,0,0,0,0,0
'13-11,CONSTRUCTION,MIR008,L13,CORE STAIR,'13-11,,GREY CONC,200,3.77,9.06,18.86,19.73,40,401.81,106.52,5100,3869,5100,3869,LMC10 ,10.0T ,NO,1,,0.161,,,16,,31,,,,,,,,,,,,,,,,,,,,64400,0,3760,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,370676.04,46080,0,0,0,0,0,0
'13-12,CONSTRUCTION,MIR008,L13,CORE STAIR,'13-12,,GREY CONC,200,3.39,8.36,16.96,18.41,40,477.75,140.83,2700,6820,2700,6979,LMC10 ,10.0T ,YES,1,,0.089,,,12,,19,,,,,,,,,,,,,,,,,,,,20800,0,9600,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,379689.28,66967.35,0,9848.53,0,0,0,0
'13-14,CONSTRUCTION,MIR008,L13,COLUMN,'13-14,P-C2,GREY CONC,250,0.72,1.74,2.86,2.86,40,127.49,178.06,800,3580,800,3780,LMC10 LMC10 ,10.0T 7.0T ,NO,1,,0.04,,,2,,,,,,,,,,,,,,,,,,,,,,0,12800,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,49576.08,0,0,24128,0,7765.69,0,0,0
'13-15,CONSTRUCTION,MIR008,L13,PANEL,'13-15,PW3A,GREY CONC,200,2.11,5.16,10.56,10.87,40,190.9,90.41,3062,3550,3062,3750,LMC10 ,10.0T ,NO,1,,0.041,,,2,,,,,,,,,,,,,,,,,,,,,,5600,6400,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,174533.6,0,33151.66,4965.69,0,3882.84,0,0,0
'13-21,CONSTRUCTION,MIR008,L13,PANEL,'13-21,PW2C,GREY CONC,200,1.74,4.25,8.7,8.7,40,163.35,93.88,2500,3480,2500,3680,LMC10 ,10.0T ,NO,1,,0.039,,,2,,,,,,,,,,,,,,,,,,,,,,5600,6400,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,144260.8,0,27520,4965.69,0,3882.84,0,0,0
'13-22,CONSTRUCTION,MIR008,L13,COLUMN,'13-22,P-C2,GREY CONC,250,0.7,1.69,2.78,2.78,40,125.79,180.73,799,3479,799,3680,LMC10 LMC10 ,10.0T 7.0T ,NO,1,,0.04,,,2,,,,,,,,,,,,,,,,,,,,,,0,12800,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,49576.08,0,0,23434.67,0,7765.69,0,0,0
