"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"24efba84-0924-49cc-aa49-9879af8527d5","","folder-normal","","","step","TRUE","FALSE","Building C"
"47d67329-a92a-4103-be50-3f161e168b60","","folder-normal","","","step","TRUE","FALSE","Building C","Level B1"
"9ae9e98b-adbc-4a1f-ab57-bd181737e98d","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Building C","Level B1","C-B1-P01"
"5bfdc395-c611-4588-b6f2-5b961f15cc34","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Building C","Level B1","C-B1-P02"
"0133556a-eb08-47ea-8ca3-67bc7ccbe2ec","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Building C","Level B1","C-B1-P03"
"2a7340a7-50ef-4aee-9a85-5d6f9a99c134","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Building C","Level B1","C-B1-P04"
"adf0fb0b-66dc-49dc-a2d0-5d374fcf5c29","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Building C","Level B1","C-B1-P05"
"bc65b735-17da-44af-b361-0925715b5936","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Building C","Level B1","C-B1-P06"
"9e9e2671-e586-41ec-98f8-95472277735f","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Building C","Level B1","C-B1-P07"
"f0dc720c-66cf-4dfc-abf5-3896bd168281","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Building C","Level B1","C-B1-P08"
"65e532d7-8f51-4ff6-b10e-7b8d5e7c7c90","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Building C","Level B1","C-B1-P09"
"d4fe1c56-a2df-4fbf-ab56-f45eda829c77","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Building C","Level B1","C-B1-P10"
"1b0e91f2-d190-4cb1-88c9-08043e53e6fc","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Building C","Level B1","C-B1-P11"
"082622bb-9191-41ab-b867-16db529d32e0","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Building C","Level B1","C-B1-P12"
"84b597a9-0e9f-4149-b99f-5223f47cf657","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Building C","Level B1","C-B1-P20"
"dc8e0fe3-b492-413c-bba2-896b95c0ff19","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Building C","Level B1","C-B1-P21"
"c6972bc3-d12a-4370-a71f-9a63ed8a80c4","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Building C","Level B1","C-B1-P22"
"86130cd7-4527-4472-ac36-8d198616fe8c","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Building C","Level B1","C-B1-P23"
"abf43492-cb14-47eb-b7b1-f3801cd50a72","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Building C","Level B1","C-B1-P24"
"733584c0-7067-4813-88ad-071059874747","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Building C","Level B1","C-B1-P25"
"7dbd2c55-aa14-4375-a254-0aca09ef3d86","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Building C","Level B1","C-B1C01"
"63cc34a1-ac11-47e8-9017-827420b4b212","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Building C","Level B1","C-B1C02"
"0a5451f9-e0c3-4669-b789-c369d87ca90a","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Building C","Level B1","C-B1C03"
"41f692e5-fc8b-434b-9c22-836bf567ef92","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Building C","Level B1","C-B1C04"
"f7a0d877-64a1-4406-b6b9-d7ebbfb10307","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Building C","Level B1","C-B1C05"
"3aae6172-3ced-4d81-a57b-fa0763c4e3ed","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Building C","Level B1","C-B1C06"
"f00773d5-b038-4f58-981a-55ae982b14a0","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Building C","Level B1","C-B1C07"
"09b2bd23-09cd-4d75-8176-c46ba3674d45","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Building C","Level B1","C-B1C08"
"08ab281b-8fd0-4e02-84f2-9211bcd26b52","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Building C","Level B1","C-B1C09"
"ba44136d-3cb6-4518-af8a-7ad188476cd4","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Building C","Level B1","C-B1C10"
"2d1c9b9f-9da1-4d3c-9632-7fd27c53ea39","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Building C","Level B1","C-B1C11"
"c0f611a6-b898-446f-a056-82072ceb52c1","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Building C","Level B1","C-B1C12"
"2c73b0f6-3b36-47b6-b980-5630d80e6c91","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Building C","Level B1","C-B1C13"
"74626f05-fd64-432f-be99-09e6eb13da9d","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Building C","Level B1","C-B1C14"
"2663c6e6-1a63-4f4b-87b0-57b9590224ec","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Building C","Level B1","C-B1C15"
"5e99f980-85be-4585-9065-1c8e83efd163","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Building C","Level B1","C-B1C16"
"dd7a04e7-3ddf-461f-88f8-f2c35003762c","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Building C","Level B1","C-B1C17"
"13c3f817-9925-4250-b502-14ede35d9e16","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Building C","Level B1","C-B1C18"
"999bcfd3-9619-46cb-9228-07c0c26deae0","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Building C","Level B1","C-B1C19"
"6a1a58a3-f9e2-46ae-910d-b1daf548b50e","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Building C","Level B1","C-B1C20"
"95f17bc4-9933-4248-b0d0-7b481472eb52","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Building C","Level B1","C-B1C21"
"86f09663-3c9f-483e-a114-3f48a3426bf2","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Building C","Level B1","C-B1C22"
"0292dbf0-0311-4402-9486-94769eb0ed70","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Building C","Level B1","C-B1C23"
"455460ee-7f62-4645-ad2b-4c43ab789ccc","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Building C","Level B1","C-B1C24"
"cda29a44-6691-4e0d-807c-d132273201a0","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Building C","Level B1","C-B1C25"
"3baa2419-ebdd-4b1f-ab0d-004cc1b14f50","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Building C","Level B1","C-B1C26"
"74cc57bf-7c66-4c9a-94c0-6fbbb66b6b76","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Building C","Level B1","C-B1C27"
"a1a2ba43-bb36-4dc8-a70c-f5139e24af2e","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Building C","Level B1","C-B1C28"
"5d17ee70-7819-4885-9060-37bd5b2e3199","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Building C","Level B1","C-B1C29"
"78937c15-eeb4-4a69-a402-4def4e82c9eb","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Building C","Level B1","C-B1C30"
"c4edb98f-a25d-413c-9a35-65e3ee281a0d","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Building C","Level B1","C-B1C31"
"f98d3453-72c0-440f-a7f7-711b1393affd","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Building C","Level B1","C-B1C32"
"3fc57781-bac1-41ee-a5b7-07c1e0eed220","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Building C","Level B1","C-B1C33"
"e50a3300-4fac-4247-bd4e-ec5fa127b47b","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Building C","Level B1","C-B1C34"
"4f8ee80d-0941-4d20-a588-0dd5fe2dbf9b","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Building C","Level B1","C-B1C35"
"2f9504f3-4271-43ba-a8de-2b59194a5f4b","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Building C","Level B1","C-B1C36"
