Step Id,Warnings,Rich Type,State,resource,type,addStep,addPost,Tier 1,Tier 2,Tier 3,Tier 4,Tier 5,,,,,,,,,
467aee68-db4e-4766-a9e7-2e769f2bba2f,,checklist-sectioned,not-started,751c4f35156b1e683fda28c1d2ddae3fcb50607ada28b6959d5e9787554bba09,checklist,FALSE,FALSE,Testing & Commissioning,TERS,TER 1,Distribution Boards,EL-HDBE-02-1001,Distribution Boards,WSA20-MPX-04000-EL-ITC-31042000 - Construction Tests (Pre-energisation),,,,,,,
f4dce93d-8132-4731-b3fd-dda178d59b52,,checklist-sectioned,not-started,751c4f35156b1e683fda28c1d2ddae3fcb50607ada28b6959d5e9787554bba09,checklist,FALSE,FALSE,Testing & Commissioning,TERS,TER 1,Distribution Boards,TER-EL-CDBU-02-1001,Distribution Boards,WSA20-MPX-04000-EL-ITC-31042000 - Construction Tests (Pre-energisation),,,,,,,
eb3fe0aa-1a2b-49b3-b28a-f2ed41e7adbd,,checklist-sectioned,not-started,751c4f35156b1e683fda28c1d2ddae3fcb50607ada28b6959d5e9787554bba09,checklist,FALSE,FALSE,Testing & Commissioning,TERS,TER 1,Distribution Boards,TER-EL-CDBU-02-1002,Distribution Boards,WSA20-MPX-04000-EL-ITC-31042000 - Construction Tests (Pre-energisation),,,,,,,
fec8c0e1-db9d-4813-a492-fb54cd736903,,checklist-sectioned,not-started,751c4f35156b1e683fda28c1d2ddae3fcb50607ada28b6959d5e9787554bba09,checklist,FALSE,FALSE,Testing & Commissioning,TERS,TER 1,Distribution Boards,DAS-EL-CDBU-02-1003,Distribution Boards,WSA20-MPX-04000-EL-ITC-31042000 - Construction Tests (Pre-energisation),,,,,,,
1e91045c-af49-48d5-adb8-28055e5a2932,,checklist-sectioned,not-started,751c4f35156b1e683fda28c1d2ddae3fcb50607ada28b6959d5e9787554bba09,checklist,FALSE,FALSE,Testing & Commissioning,TERS,TER 1,Distribution Boards,DAS-EL-CDBU-02-1004,Distribution Boards,WSA20-MPX-04000-EL-ITC-31042000 - Construction Tests (Pre-energisation),,,,,,,
41f0e532-a33c-4c32-9d08-90a9a6ce4f2b,,checklist-sectioned,not-started,751c4f35156b1e683fda28c1d2ddae3fcb50607ada28b6959d5e9787554bba09,checklist,FALSE,FALSE,Testing & Commissioning,TERS,TER 1,Distribution Boards,MMR-EL-CDBU-02-1006,Distribution Boards,WSA20-MPX-04000-EL-ITC-31042000 - Construction Tests (Pre-energisation),,,,,,,
d0327f0a-aee5-466e-b6f4-72824d2ba7bf,,checklist-sectioned,not-started,751c4f35156b1e683fda28c1d2ddae3fcb50607ada28b6959d5e9787554bba09,checklist,FALSE,FALSE,Testing & Commissioning,TERS,TER 2,Distribution Boards,EL-HDBE-02-2001,Distribution Boards,WSA20-MPX-04000-EL-ITC-31042000 - Construction Tests (Pre-energisation),,,,,,,
c7efb9d4-777e-4c77-b5c6-6d464364df10,,checklist-sectioned,not-started,751c4f35156b1e683fda28c1d2ddae3fcb50607ada28b6959d5e9787554bba09,checklist,FALSE,FALSE,Testing & Commissioning,TERS,TER 2,Distribution Boards,TER-EL-CDBU-02-2001,Distribution Boards,WSA20-MPX-04000-EL-ITC-31042000 - Construction Tests (Pre-energisation),,,,,,,
509cd8dd-d390-4dfd-9639-9d24a77000f8,,checklist-sectioned,not-started,751c4f35156b1e683fda28c1d2ddae3fcb50607ada28b6959d5e9787554bba09,checklist,FALSE,FALSE,Testing & Commissioning,TERS,TER 2,Distribution Boards,TER-EL-CDBU-02-2002,Distribution Boards,WSA20-MPX-04000-EL-ITC-31042000 - Construction Tests (Pre-energisation),,,,,,,
a807e3cb-2ede-4eed-bad2-6c328c3a9ffd,,checklist-sectioned,not-started,751c4f35156b1e683fda28c1d2ddae3fcb50607ada28b6959d5e9787554bba09,checklist,FALSE,FALSE,Testing & Commissioning,TERS,TER 2,Distribution Boards,DAS-EL-CDBU-02-2003,Distribution Boards,WSA20-MPX-04000-EL-ITC-31042000 - Construction Tests (Pre-energisation),,,,,,,
ce2daacd-acb0-436a-a2fe-a11ba3ab63d3,,checklist-sectioned,not-started,751c4f35156b1e683fda28c1d2ddae3fcb50607ada28b6959d5e9787554bba09,checklist,FALSE,FALSE,Testing & Commissioning,TERS,TER 2,Distribution Boards,DAS-EL-CDBU-02-2004,Distribution Boards,WSA20-MPX-04000-EL-ITC-31042000 - Construction Tests (Pre-energisation),,,,,,,
005713e9-f08f-4942-915b-1a4a7059894d,,checklist-sectioned,not-started,751c4f35156b1e683fda28c1d2ddae3fcb50607ada28b6959d5e9787554bba09,checklist,FALSE,FALSE,Testing & Commissioning,TERS,TER 2,Distribution Boards,MMR-EL-CDBU-02-2005,Distribution Boards,WSA20-MPX-04000-EL-ITC-31042000 - Construction Tests (Pre-energisation),,,,,,,
ca427449-c912-4ffa-9204-24d2cda87815,,checklist-sectioned,not-started,751c4f35156b1e683fda28c1d2ddae3fcb50607ada28b6959d5e9787554bba09,checklist,FALSE,FALSE,Testing & Commissioning,TERS,TER 2,Distribution Boards,EL-CDBU-02-2006,Distribution Boards,WSA20-MPX-04000-EL-ITC-31042000 - Construction Tests (Pre-energisation),,,,,,,
