"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"3eb25402-728b-4b63-a739-fb4d5054ecdb","","","","folder","TRUE","FALSE","Wet Fire"
"46c21798-fde0-4328-8d50-cbd98a92e36a","","","","folder","TRUE","FALSE","Wet Fire","F-SHP-1X02 - PUMPROOM"
"48ef2bf3-6e90-4823-a093-c059717f44ea","","","LM-FOR-30-ITR-301 Sprinkler Installation/Fitoff","checklist","FALSE","FALSE","Wet Fire","F-SHP-1X02 - PUMPROOM","Sprinkler installation/Fitoff"
"f0801121-2395-4d1b-ad13-7185538b9260","","","LM-FOR-30-ITR-301.1 Sprinkler Control Valve (V.171121)","checklist","FALSE","FALSE","Wet Fire","F-SHP-1X02 - PUMPROOM","Sprinkler Control Valve"
"3b54b015-4241-42df-9d99-501509355ba1","","","LM-FOR-33-ITR-401 Sprinkler & Hydrant hydrostatic test (V.171121)","checklist","FALSE","FALSE","Wet Fire","F-SHP-1X02 - PUMPROOM","Sprinkler & Hydrant hydrostatic test"
"d389c28f-feb4-4b6e-8af9-c3d135435d5e","","","LM-FOR-40-ITR-302.2 Hydrant Installation (V.171121)","checklist","FALSE","FALSE","Wet Fire","F-SHP-1X02 - PUMPROOM","Hydrant installation"
"ac5f2491-a1e9-435f-a89e-c67a00ddd0a6","","","LM-FOR-40-ITR-302.3 Hose Reel Installation (V.171121)","checklist","FALSE","FALSE","Wet Fire","F-SHP-1X02 - PUMPROOM","Hose Reel installation"
"1d3923bd-638c-499b-b763-1fed1d07aae6","","","LM-FOR-40-ITR-302.4 Tank Installation (V.171121)","checklist","FALSE","FALSE","Wet Fire","F-SHP-1X02 - PUMPROOM","Tank installation"
"9c2000a9-82c6-4575-991f-a486c9eecfa1","","","LM-FOR-40-ITR-302.1 Fire Pump Installation (V.171121)","checklist","FALSE","FALSE","Wet Fire","F-SHP-1X02 - PUMPROOM","Fire Pump Installation"
"f211b802-934a-41e7-b722-df5712f196d2","","","","folder","TRUE","FALSE","Wet Fire","F-SHP-1B01 - BASEMENT, SOUTH"
"a9573d5f-dada-4e5f-b2da-c939b017b3a6","","","LM-FOR-30-ITR-301 Sprinkler Installation/Fitoff","checklist","FALSE","FALSE","Wet Fire","F-SHP-1B01 - BASEMENT, SOUTH","Sprinkler installation/Fitoff"
"18d8fd0b-2102-4da8-aa85-5eb9dd44d4c2","","","LM-FOR-30-ITR-301.1 Sprinkler Control Valve (V.171121)","checklist","FALSE","FALSE","Wet Fire","F-SHP-1B01 - BASEMENT, SOUTH","Sprinkler Control Valve"
"2732994a-c293-4007-90d6-80516d39f7b3","","","LM-FOR-33-ITR-401 Sprinkler & Hydrant hydrostatic test (V.171121)","checklist","FALSE","FALSE","Wet Fire","F-SHP-1B01 - BASEMENT, SOUTH","Sprinkler & Hydrant hydrostatic test"
"2e14eb7d-d82a-49e7-ae69-fb9fd7590b7f","","","LM-FOR-40-ITR-302.2 Hydrant Installation (V.171121)","checklist","FALSE","FALSE","Wet Fire","F-SHP-1B01 - BASEMENT, SOUTH","Hydrant installation"
"e6a6acb7-145e-4818-902f-8e69f746e48c","","","LM-FOR-40-ITR-302.3 Hose Reel Installation (V.171121)","checklist","FALSE","FALSE","Wet Fire","F-SHP-1B01 - BASEMENT, SOUTH","Hose Reel installation"
"77ced306-fc82-44cb-afdc-1497985c6493","","","","folder","TRUE","FALSE","Wet Fire","F-SHP-1B02 - BASEMENT NORTH"
"77c72129-24e7-493b-96d1-4d4adba64b04","","","LM-FOR-30-ITR-301 Sprinkler Installation/Fitoff","checklist","FALSE","FALSE","Wet Fire","F-SHP-1B02 - BASEMENT NORTH","Sprinkler installation/Fitoff"
"fdf7503e-8a35-498f-8520-639cc6aa7a20","","","LM-FOR-30-ITR-301.1 Sprinkler Control Valve (V.171121)","checklist","FALSE","FALSE","Wet Fire","F-SHP-1B02 - BASEMENT NORTH","Sprinkler Control Valve"
"5b6629dc-bc6e-4f25-91e3-fe523003cd75","","","LM-FOR-33-ITR-401 Sprinkler & Hydrant hydrostatic test (V.171121)","checklist","FALSE","FALSE","Wet Fire","F-SHP-1B02 - BASEMENT NORTH","Sprinkler & Hydrant hydrostatic test"
"8a1076dc-30d4-4d50-9f31-065d46419adb","","","LM-FOR-40-ITR-302.2 Hydrant Installation (V.171121)","checklist","FALSE","FALSE","Wet Fire","F-SHP-1B02 - BASEMENT NORTH","Hydrant installation"
"2c47fbe3-6d1e-46db-bea3-3c3c1fc670bf","","","LM-FOR-40-ITR-302.3 Hose Reel Installation (V.171121)","checklist","FALSE","FALSE","Wet Fire","F-SHP-1B02 - BASEMENT NORTH","Hose Reel installation"
"761bdb7b-3600-4b79-8745-1287570e3223","","","","folder","TRUE","FALSE","Wet Fire","F-SHP-1G01 - GROUND, SOUTH"
"7f7fe15b-6431-42bf-bbe9-9e0e932ac965","","","LM-FOR-30-ITR-301 Sprinkler Installation/Fitoff","checklist","FALSE","FALSE","Wet Fire","F-SHP-1G01 - GROUND, SOUTH","Sprinkler installation/Fitoff"
"b2a6ec52-f85f-45dc-82a5-1ca0ea6e2c53","","","LM-FOR-30-ITR-301.1 Sprinkler Control Valve (V.171121)","checklist","FALSE","FALSE","Wet Fire","F-SHP-1G01 - GROUND, SOUTH","Sprinkler Control Valve"
"9feedcd2-c7ac-4599-841f-691e269fe0ae","","","LM-FOR-33-ITR-401 Sprinkler & Hydrant hydrostatic test (V.171121)","checklist","FALSE","FALSE","Wet Fire","F-SHP-1G01 - GROUND, SOUTH","Sprinkler & Hydrant hydrostatic test"
"401124ba-dea0-402a-be8d-994c4daf7a33","","","LM-FOR-40-ITR-302.2 Hydrant Installation (V.171121)","checklist","FALSE","FALSE","Wet Fire","F-SHP-1G01 - GROUND, SOUTH","Hydrant installation"
"493213b1-619f-4c2e-93f0-3386f503a306","","","LM-FOR-40-ITR-302.3 Hose Reel Installation (V.171121)","checklist","FALSE","FALSE","Wet Fire","F-SHP-1G01 - GROUND, SOUTH","Hose Reel installation"
"2f496f9d-7330-4a78-939f-0aa196b8def8","","","LM-FOR-40-ITR-302.5 Booster Assembly (V.171121)","checklist","FALSE","FALSE","Wet Fire","F-SHP-1G01 - GROUND, SOUTH","Booster Assembly"
"ef2251a2-5add-4ef0-93bd-cbe5a886ca47","","","","folder","TRUE","FALSE","Wet Fire","F-SHP-1G02 - GROUND, NORTH"
"6f2b62f7-5b86-44e0-a525-18c59ae928b1","","","LM-FOR-30-ITR-301 Sprinkler Installation/Fitoff","checklist","FALSE","FALSE","Wet Fire","F-SHP-1G02 - GROUND, NORTH","Sprinkler installation/Fitoff"
"3cf70510-5138-46aa-8e46-c4ac3ae0bd62","","","LM-FOR-30-ITR-301.1 Sprinkler Control Valve (V.171121)","checklist","FALSE","FALSE","Wet Fire","F-SHP-1G02 - GROUND, NORTH","Sprinkler Control Valve"
"812b462f-75d6-4549-81c4-bbf69b0c973d","","","LM-FOR-33-ITR-401 Sprinkler & Hydrant hydrostatic test (V.171121)","checklist","FALSE","FALSE","Wet Fire","F-SHP-1G02 - GROUND, NORTH","Sprinkler & Hydrant hydrostatic test"
"04c55798-595c-438b-937f-73e52df29ad8","","","LM-FOR-40-ITR-302.2 Hydrant Installation (V.171121)","checklist","FALSE","FALSE","Wet Fire","F-SHP-1G02 - GROUND, NORTH","Hydrant installation"
"9df0ac09-e9f1-43c4-8068-87f4acb2c8e0","","","LM-FOR-40-ITR-302.3 Hose Reel Installation (V.171121)","checklist","FALSE","FALSE","Wet Fire","F-SHP-1G02 - GROUND, NORTH","Hose Reel installation"
"c4acffff-ed63-4714-b496-36f251de91cb","","","LM-FOR-40-ITR-302.5 Booster Assembly (V.171121)","checklist","FALSE","FALSE","Wet Fire","F-SHP-1G02 - GROUND, NORTH","Booster Assembly"
"4e4ed153-2c7e-45f6-b4e8-a7e21efe118c","","","","folder","TRUE","FALSE","Wet Fire","F-SHP-1101 - LEVEL 1, SOUTH"
"6f083709-26cc-4115-ba74-0b9f0a87ba62","","","LM-FOR-30-ITR-301 Sprinkler Installation/Fitoff","checklist","FALSE","FALSE","Wet Fire","F-SHP-1101 - LEVEL 1, SOUTH","Sprinkler installation/Fitoff"
"f3954d98-20c7-4082-9546-12601b40ce71","","","LM-FOR-30-ITR-301.1 Sprinkler Control Valve (V.171121)","checklist","FALSE","FALSE","Wet Fire","F-SHP-1101 - LEVEL 1, SOUTH","Sprinkler Control Valve"
"fdef668e-6bbe-4458-8750-8ffaca15182a","","","LM-FOR-33-ITR-401 Sprinkler & Hydrant hydrostatic test (V.171121)","checklist","FALSE","FALSE","Wet Fire","F-SHP-1101 - LEVEL 1, SOUTH","Sprinkler & Hydrant hydrostatic test"
"57bea45c-fb9e-46c0-bcba-2c32ca33476d","","","LM-FOR-40-ITR-302.2 Hydrant Installation (V.171121)","checklist","FALSE","FALSE","Wet Fire","F-SHP-1101 - LEVEL 1, SOUTH","Hydrant installation"
"f640cc67-9ee2-40ad-8fec-75e4d221977a","","","LM-FOR-40-ITR-302.3 Hose Reel Installation (V.171121)","checklist","FALSE","FALSE","Wet Fire","F-SHP-1101 - LEVEL 1, SOUTH","Hose Reel installation"
"7ea08cd3-2e69-470d-9760-8e0b7f2f583b","","","","folder","TRUE","FALSE","Wet Fire","F-SHP-1102 - LEVEL 1, NORTH"
"863e23c4-4034-4ccf-bd50-231197b79179","","","LM-FOR-30-ITR-301 Sprinkler Installation/Fitoff","checklist","FALSE","FALSE","Wet Fire","F-SHP-1102 - LEVEL 1, NORTH","Sprinkler installation/Fitoff"
"0d1f1156-a6d2-4c5c-a200-99be9eefb63f","","","LM-FOR-30-ITR-301.1 Sprinkler Control Valve (V.171121)","checklist","FALSE","FALSE","Wet Fire","F-SHP-1102 - LEVEL 1, NORTH","Sprinkler Control Valve"
"b5f4a590-7b6f-4f01-9f1a-ca7b542e59cf","","","LM-FOR-33-ITR-401 Sprinkler & Hydrant hydrostatic test (V.171121)","checklist","FALSE","FALSE","Wet Fire","F-SHP-1102 - LEVEL 1, NORTH","Sprinkler & Hydrant hydrostatic test"
"a73491f8-5608-4157-9450-d1ed23c894e3","","","LM-FOR-40-ITR-302.2 Hydrant Installation (V.171121)","checklist","FALSE","FALSE","Wet Fire","F-SHP-1102 - LEVEL 1, NORTH","Hydrant installation"
"d05f1dc7-6ef7-4d99-8fc8-1534bcde0a1e","","","LM-FOR-40-ITR-302.3 Hose Reel Installation (V.171121)","checklist","FALSE","FALSE","Wet Fire","F-SHP-1102 - LEVEL 1, NORTH","Hose Reel installation"
"dcc2007d-e39a-4cfa-806c-5a4a1cbfb98f","","","","folder","TRUE","FALSE","Wet Fire","F-SHP-1201 - LEVEL 2, SOUTH"
"e303c7e7-3e1e-461d-8b95-37a80fee5469","","","LM-FOR-30-ITR-301 Sprinkler Installation/Fitoff","checklist","FALSE","FALSE","Wet Fire","F-SHP-1201 - LEVEL 2, SOUTH","Sprinkler installation/Fitoff"
"176e8c42-2ec5-40a2-a93d-de46051537fb","","","LM-FOR-30-ITR-301.1 Sprinkler Control Valve (V.171121)","checklist","FALSE","FALSE","Wet Fire","F-SHP-1201 - LEVEL 2, SOUTH","Sprinkler Control Valve"
"a0789ad4-d0e7-4227-927e-f8a979854728","","","LM-FOR-33-ITR-401 Sprinkler & Hydrant hydrostatic test (V.171121)","checklist","FALSE","FALSE","Wet Fire","F-SHP-1201 - LEVEL 2, SOUTH","Sprinkler & Hydrant hydrostatic test"
"e2b85608-125d-4831-884e-c2e878697c21","","","LM-FOR-40-ITR-302.2 Hydrant Installation (V.171121)","checklist","FALSE","FALSE","Wet Fire","F-SHP-1201 - LEVEL 2, SOUTH","Hydrant installation"
"57c37fab-ba99-4d69-be80-7dbd3aa41cd5","","","LM-FOR-40-ITR-302.3 Hose Reel Installation (V.171121)","checklist","FALSE","FALSE","Wet Fire","F-SHP-1201 - LEVEL 2, SOUTH","Hose Reel installation"
"a9e895c5-6016-4e9b-be83-854d74521c4a","","","","folder","TRUE","FALSE","Wet Fire","F-SHP-1202 - LEVEL 2, NORTH"
"84e8d700-89e0-4233-b6c9-60ccaf8daab3","","","LM-FOR-30-ITR-301 Sprinkler Installation/Fitoff","checklist","FALSE","FALSE","Wet Fire","F-SHP-1202 - LEVEL 2, NORTH","Sprinkler installation/Fitoff"
"c1fd96c4-1d1f-4606-8bd6-5430ed1c7ae2","","","LM-FOR-30-ITR-301.1 Sprinkler Control Valve (V.171121)","checklist","FALSE","FALSE","Wet Fire","F-SHP-1202 - LEVEL 2, NORTH","Sprinkler Control Valve"
"2284125d-c6be-424a-b8ae-9646937ce78c","","","LM-FOR-33-ITR-401 Sprinkler & Hydrant hydrostatic test (V.171121)","checklist","FALSE","FALSE","Wet Fire","F-SHP-1202 - LEVEL 2, NORTH","Sprinkler & Hydrant hydrostatic test"
"d7a2ce75-792a-4390-b954-213aa5f86f94","","","LM-FOR-40-ITR-302.2 Hydrant Installation (V.171121)","checklist","FALSE","FALSE","Wet Fire","F-SHP-1202 - LEVEL 2, NORTH","Hydrant installation"
