"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"e70b5361-530e-4022-a1d2-74e9560b560b","","","","folder","TRUE","FALSE","Leemark - Site QA"
"48572ffe-e1f7-469e-ba2f-7577f0923e6c","","","","folder","TRUE","FALSE","Leemark - Site QA","Wet Fire"
"04a412e7-b85d-47b7-85c6-1e60e6d42a80","","","","folder","TRUE","FALSE","Leemark - Site QA","Wet Fire","Infrastructure (Wet and Dry Fire)"
"c0f9315d-79f3-4470-8426-b188ea7d096f","","","","folder","TRUE","FALSE","Leemark - Site QA","Wet Fire","Infrastructure (Wet and Dry Fire)","Tank Installation"
"d9738827-249c-4a7f-b091-6c0111c17f2f","","","LM-FOR-40-ITR-302.4 Tank Installation (V.171121)","checklist","FALSE","FALSE","Leemark - Site QA","Wet Fire","Infrastructure (Wet and Dry Fire)","Tank Installation","Fire Tank 01"
"9ae69dda-9bdb-49ec-acfb-fbde867d8690","","","LM-FOR-40-ITR-302.4 Tank Installation (V.171121)","checklist","FALSE","FALSE","Leemark - Site QA","Wet Fire","Infrastructure (Wet and Dry Fire)","Tank Installation","Fire Tank 02"
"5b5f732f-1cde-47c4-879a-6f46d6807f6e","","","","folder","TRUE","FALSE","Leemark - Site QA","Wet Fire","Infrastructure (Wet and Dry Fire)","Fire Pump Installation"
"9c6298b3-7903-42ff-bc1f-c8bc1f9a3837","","","LM-FOR-40-ITR-302.1 Fire Pump Installation (V.171121)","checklist","FALSE","FALSE","Leemark - Site QA","Wet Fire","Infrastructure (Wet and Dry Fire)","Fire Pump Installation","Electric Sprinkler Pump"
"a5945fa7-597d-4995-bc0a-d21b1e140822","","","LM-FOR-40-ITR-302.1 Fire Pump Installation (V.171121)","checklist","FALSE","FALSE","Leemark - Site QA","Wet Fire","Infrastructure (Wet and Dry Fire)","Fire Pump Installation","Diesel Sprinkler Pump"
"83741e0f-185d-4aac-81f1-9c94c8b1510e","","","LM-FOR-40-ITR-302.1 Fire Pump Installation (V.171121)","checklist","FALSE","FALSE","Leemark - Site QA","Wet Fire","Infrastructure (Wet and Dry Fire)","Fire Pump Installation","Electric Hydrant Pump"
"98666197-94ca-481a-af8b-98bd927ffff7","","","LM-FOR-40-ITR-302.1 Fire Pump Installation (V.171121)","checklist","FALSE","FALSE","Leemark - Site QA","Wet Fire","Infrastructure (Wet and Dry Fire)","Fire Pump Installation","Diesel Hydrant Pump"
"4b85260b-cc3b-4331-92ae-72aa72a1a96f","","","","folder","TRUE","FALSE","Leemark - Site QA","Wet Fire","Nitrogen Generators"
"a5a9cd8e-e082-40be-99ba-a27b9c5c80a2","","","LM-FOR-50-ITR-304.2 N2 Blast System","checklist","FALSE","FALSE","Leemark - Site QA","Wet Fire","Nitrogen Generators","SCV Room COLO1 North"
"a9627105-4aa2-4e65-987d-bbf247dad49c","","","LM-FOR-50-ITR-304.2 N2 Blast System","checklist","FALSE","FALSE","Leemark - Site QA","Wet Fire","Nitrogen Generators","SCV Room COLO1 South"
"9c6c961c-91f3-40d7-9459-404dc743e3df","","","LM-FOR-50-ITR-304.2 N2 Blast System","checklist","FALSE","FALSE","Leemark - Site QA","Wet Fire","Nitrogen Generators","SCV Room COLO2 North"
"522c5ecc-eb4b-4414-b400-8fc7bf12e150","","","LM-FOR-50-ITR-304.2 N2 Blast System","checklist","FALSE","FALSE","Leemark - Site QA","Wet Fire","Nitrogen Generators","SCV Room COLO2 South"
"e54158d3-cff3-46da-be44-5d24d38b327e","","","LM-FOR-50-ITR-304.2 N2 Blast System","checklist","FALSE","FALSE","Leemark - Site QA","Wet Fire","Nitrogen Generators","SCV Room COLO5 North"
"cfba65c9-7dc7-4773-8d30-7cb8d3f66ab0","","","LM-FOR-50-ITR-304.2 N2 Blast System","checklist","FALSE","FALSE","Leemark - Site QA","Wet Fire","Nitrogen Generators","SCV Room COLO5 South"
"2ca8df91-c2b7-4447-91ab-9a85ce126394","","","","folder","TRUE","FALSE","Leemark - Site QA","Wet Fire","Booster Cupboards"
"b89ea924-f520-4a5b-891d-720c76014c2d","","","","folder","TRUE","FALSE","Leemark - Site QA","Wet Fire","Booster Cupboards","Hydrant Booster Assembly"
"a23c0462-85c8-4373-90ef-1883f51df581","","","LM-FOR-40-ITR-302.5 Booster Assembly (V.171121)","checklist","FALSE","FALSE","Leemark - Site QA","Wet Fire","Booster Cupboards","Hydrant Booster Assembly","Booster Assembly Installation"
"8bec9a1e-0bcc-475a-bf69-662e49188e1c","","","","folder","TRUE","FALSE","Leemark - Site QA","Wet Fire","Booster Cupboards","Sprinkler Booster Assembly"
"ca455c44-7c7b-423a-900b-b4139cd6c338","","","LM-FOR-40-ITR-302.5 Booster Assembly (V.171121)","checklist","FALSE","FALSE","Leemark - Site QA","Wet Fire","Booster Cupboards","Sprinkler Booster Assembly","Booster Assembly Installation"
"49690548-2e79-430b-b7f5-7bef30cbadde","","","","folder","TRUE","FALSE","Leemark - Site QA","Wet Fire","Hydrants"
"6c6254c0-b08f-4085-bb59-628d1d15ae58","","","LM-FOR-40-ITR-302.2 Hydrant Installation (V.171121)","checklist","FALSE","FALSE","Leemark - Site QA","Wet Fire","Hydrants","Stair 1"
"3a77da8f-b063-4f4c-83c3-887ff821aaee","","","LM-FOR-40-ITR-302.2 Hydrant Installation (V.171121)","checklist","FALSE","FALSE","Leemark - Site QA","Wet Fire","Hydrants","Stair 2"
"19ec759b-4289-4ad8-ab83-fa8495c219bc","","","LM-FOR-40-ITR-302.2 Hydrant Installation (V.171121)","checklist","FALSE","FALSE","Leemark - Site QA","Wet Fire","Hydrants","Stair 3"
