"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"53026e10-f62c-45f6-a296-41720d371801","","","","folder","TRUE","FALSE","Road 1-4"
"93ed42cf-e67f-494d-9055-2211018d659a","","","","folder","TRUE","FALSE","Road 1-4","Hydrants"
"55fe1db7-ab51-45e2-8a35-0688336782fc","","","LM-FOR-40-ITR-302.2 Hydrant Installation (V.171121)","checklist","FALSE","FALSE","Road 1-4","Hydrants","LM-FOR-40-ITR-302.2 Hydrant Installation (V.171121)"
"8ef80f2f-1749-4e8d-ad33-eaca4a4a89b8","","","LM-FOR-33-ITR-401 Sprinkler & Hydrant hydrostatic test (V.171121)","checklist","FALSE","FALSE","Road 1-4","Hydrants","LM-FOR-33-ITR-401 Sprinkler & Hydrant hydrostatic test (V.171121)"
"a72d7c9d-fc62-4874-a3ff-3e80620d396e","","","","folder","TRUE","FALSE","Road 1-4","Fire Hose Reels"
"4f62717c-1313-48e4-a61a-5943bc896c5b","","","LM-FOR-40-ITR-302.3 Hose Reel Installation (V.171121)","checklist","FALSE","FALSE","Road 1-4","Fire Hose Reels","LM-FOR-40-ITR-302.3 Hose Reel Installation (V.171121)"
"01c6d6a9-6a05-4f31-a281-68fd18efbdc4","","","","folder","TRUE","FALSE","Road 5-8"
"3d419b18-c0ad-45ef-82cd-c7a01d411a0f","","","","folder","TRUE","FALSE","Road 5-8","Hydrants"
"4bf003a9-9438-4e8d-8a09-c2150cdef6af","","","LM-FOR-40-ITR-302.2 Hydrant Installation (V.171121)","checklist","FALSE","FALSE","Road 5-8","Hydrants","LM-FOR-40-ITR-302.2 Hydrant Installation (V.171121)"
"f43678c9-e78c-4ad7-bd0e-7c09b3cd189f","","","LM-FOR-33-ITR-401 Sprinkler & Hydrant hydrostatic test (V.171121)","checklist","FALSE","FALSE","Road 5-8","Hydrants","LM-FOR-33-ITR-401 Sprinkler & Hydrant hydrostatic test (V.171121)"
"e3cc808b-bbe9-4834-bed4-cdc9ad9f268b","","","","folder","TRUE","FALSE","Road 5-8","Fire Hose Reels"
"ed749884-ec67-4c58-a7b6-7ec2fd71ca42","","","LM-FOR-40-ITR-302.3 Hose Reel Installation (V.171121)","checklist","FALSE","FALSE","Road 5-8","Fire Hose Reels","LM-FOR-40-ITR-302.3 Hose Reel Installation (V.171121)"
"c8661ae0-9b09-4043-9a35-14dd5abad32b","","","","folder","TRUE","FALSE","Road 9"
"71a1abe0-737b-4abe-94ec-fce427a8739f","","","","folder","TRUE","FALSE","Road 9","Hydrants"
"8a448854-757d-4877-9c13-ad8d9dcc7d31","","","LM-FOR-40-ITR-302.2 Hydrant Installation (V.171121)","checklist","FALSE","FALSE","Road 9","Hydrants","LM-FOR-40-ITR-302.2 Hydrant Installation (V.171121)"
