"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"c9098248-e9e6-4219-ac2c-56d45e02a8bb","","","LM-FOR-50-ITR-303.4 Fire Detection Installation (V.171121)","checklist","FALSE","FALSE","Dry Fire","Ancillary Storage 2a","Fire Detection Installation"
"f3847bdc-4ee8-4bbc-9ccb-82b20e5d74e2","","","LM-FOR-50-ITR- 303.5 Fire Detection Fit Off (V160421)","checklist","FALSE","FALSE","Dry Fire","Ancillary Storage 2a","Fire Detection Fit Off"
"192f8d6e-37c9-42b4-b2a0-0a5f2cb99757","","","","folder","TRUE","FALSE","Dry Fire","Warehouse Tenancy 2b"
"c66e1c8a-3f34-465e-ae59-0d986c2b9505","","","LM-FOR-50-ITR-303.2 Ewis Installation (V.171121)","checklist","FALSE","FALSE","Dry Fire","Warehouse Tenancy 2b","Ewis Installation"
"69da4a4a-756e-4b87-98a3-5a8bf07ae966","","","LM-FOR-50-ITR-303.3 Ewis Installation Fit Off (V.171121)","checklist","FALSE","FALSE","Dry Fire","Warehouse Tenancy 2b","Ewis Installation Fit Off"
"0b389053-e127-4c30-b52b-6ecff7904fad","","","LM-FOR-50-ITR-303.4 Fire Detection Installation (V.171121)","checklist","FALSE","FALSE","Dry Fire","Warehouse Tenancy 2b","Fire Detection Installation"
"3cb489c3-91f2-4cf5-8c91-18c1847ce774","","","LM-FOR-50-ITR- 303.5 Fire Detection Fit Off (V160421)","checklist","FALSE","FALSE","Dry Fire","Warehouse Tenancy 2b","Fire Detection Fit Off"
"3e0e85ca-c262-4181-a606-2819c318651a","","","","folder","TRUE","FALSE","Dry Fire","Ancillary Office 2b"
"aebc7375-830c-49f9-ab7c-019669a380c7","","","LM-FOR-50-ITR-303.2 Ewis Installation (V.171121)","checklist","FALSE","FALSE","Dry Fire","Ancillary Office 2b","Ewis Installation"
"8f26cc44-caf5-4b24-b3df-19b85d71bf7a","","","LM-FOR-50-ITR-303.3 Ewis Installation Fit Off (V.171121)","checklist","FALSE","FALSE","Dry Fire","Ancillary Office 2b","Ewis Installation Fit Off"
"1ac2b040-6661-4d15-8695-9b57cc70ffa6","","","LM-FOR-50-ITR-303.4 Fire Detection Installation (V.171121)","checklist","FALSE","FALSE","Dry Fire","Ancillary Office 2b","Fire Detection Installation"
"7a4572fc-b6d7-4213-ac0d-ace373109b29","","","LM-FOR-50-ITR- 303.5 Fire Detection Fit Off (V160421)","checklist","FALSE","FALSE","Dry Fire","Ancillary Office 2b","Fire Detection Fit Off"
"0363132c-6ede-44a0-9229-cecd6d32094f","","","","folder","TRUE","FALSE","Dry Fire","Retail Tenancy 2"
"ab988a0b-e553-4058-b1d8-c2da68e63aec","","","LM-FOR-50-ITR-303.2 Ewis Installation (V.171121)","checklist","FALSE","FALSE","Dry Fire","Retail Tenancy 2","Ewis Installation"
"06e0d9ad-0ccf-42ce-b8f2-4ee5ec0c3fbc","","","LM-FOR-50-ITR-303.3 Ewis Installation Fit Off (V.171121)","checklist","FALSE","FALSE","Dry Fire","Retail Tenancy 2","Ewis Installation Fit Off"
