"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"30a4e11f-884a-42a5-b9a1-842952c9bd59","","","","folder","TRUE","FALSE","Fibre Installation and Commissioning"
"2a4dc637-4fb3-4fc4-99ed-06ee6a6377ae","","","LM-FOR-50-ITR-303.8 Fire detection fiber network installation and commissioning","checklist","FALSE","FALSE","Fibre Installation and Commissioning","LM-FOR-50 ITR 303.8 Fire detection Fibre Network installation and Commissioning"
"c02c216f-e4c9-4ee8-ad23-f108b0c6e4ac","","","","folder","TRUE","FALSE","NPA Production Building:"
"704d284e-3f41-4d1d-9bed-c9420c0e02e3","","","LM-FOR-50-ITR-303.1 Fire Panel Installation (V.171121)","checklist","FALSE","FALSE","NPA Production Building:","LM-FOR-50-ITR-303.1 Fire Panel Installation"
"c8183859-5ea1-4afe-99a0-05712314f5d9","","","LM-FOR-50-ITR-303.2 Ewis Installation (V.171121)","checklist","FALSE","FALSE","NPA Production Building:","LM-FOR-50-ITR-303.2 Ewis Installation"
"f64268e2-53a5-4cf7-ba65-b857d17e4c7b","","","LM-FOR-50-ITR-303.3 Ewis Installation Fit Off (V.171121)","checklist","FALSE","FALSE","NPA Production Building:","LM-FOR-50-ITR-303.3 Ewis Installation Fit Off"
"76420947-a371-4cf1-80ea-84a2dc90fbdd","","","LM-FOR-50-ITR-303.4 Fire Detection Installation (V.171121)","checklist","FALSE","FALSE","NPA Production Building:","LM-FOR-50-ITR-303.4 Fire Detection Installation"
"93921a81-52f6-47e8-bf2a-689bc3491971","","","LM-FOR-50-ITR- 303.5 Fire Detection Fit Off (V160421)","checklist","FALSE","FALSE","NPA Production Building:","LM-FOR-50-ITR- 303.5 Fire Detection Fit Off"
"b16ed0d2-0433-4b4a-92e0-c98fb98313ea","","","LM-FOR-50 ITR 303.7 ASD (Aspirated) Installation (V.171121)","checklist","FALSE","FALSE","NPA Production Building:","LM-FOR-50-ITR-303.7 ASD (Aspirated) installation 1"
"ae90ed51-013a-48b6-8fb3-75c6b611e895","","","LM-FOR-50 ITR 303.7 ASD (Aspirated) Installation (V.171121)","checklist","FALSE","FALSE","NPA Production Building:","LM-FOR-50-ITR-303.7 ASD (Aspirated) installation 2"
"faceeeeb-ab07-4f96-8cb8-68d04c5b131c","","","LM-FOR-50 ITR 303.7 ASD (Aspirated) Installation (V.171121)","checklist","FALSE","FALSE","NPA Production Building:","LM-FOR-50-ITR-303.7 ASD (Aspirated) installation 3"
"6de48adb-7245-4293-bc22-a118eec45fc3","","","LM-FOR-50 ITR 303.7 ASD (Aspirated) Installation (V.171121)","checklist","FALSE","FALSE","NPA Production Building:","LM-FOR-50-ITR-303.7 ASD (Aspirated) installation 4"
"595b142e-195d-4b8c-8b4a-2d5af06982e8","","","LM-FOR-50 ITR 303.7 ASD (Aspirated) Installation (V.171121)","checklist","FALSE","FALSE","NPA Production Building:","LM-FOR-50-ITR-303.7 ASD (Aspirated) installation 5"
