"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"16c153e7-408a-4ff5-b7d2-44ae20e45a81","","not-started","LM-FOR-33-ITR-401 Sprinkler & Hydrant hydrostatic test","checklist","FALSE","FALSE","Leemark - Site QA","Wet Fire","Pre-Action Sprinkler Conrol Valve Assembly 2 (West)","PAV.DH6","Sprinkler & Hydrant Hydrostatic Test"
"dee397b7-50ea-4c66-83ce-3ea3d1c4c9cc","","not-started","","folder","TRUE","FALSE","Leemark - Site QA","Wet Fire","Pre-Action Sprinkler Conrol Valve Assembly 2 (West)","PAV.LV6"
"353b43dc-0b00-4d6c-aca0-51b87a5c64b2","","not-started","ITP/R Test Report Pre-Action System (V.260521)","checklist","FALSE","FALSE","Leemark - Site QA","Wet Fire","Pre-Action Sprinkler Conrol Valve Assembly 2 (West)","PAV.LV6","Pre-Action Valve"
"90d68356-9edc-4702-8d86-151fd9b02762","","not-started","LM-FOR-30-ITR-301 Sprinkler Installation/Fitoff","checklist","FALSE","FALSE","Leemark - Site QA","Wet Fire","Pre-Action Sprinkler Conrol Valve Assembly 2 (West)","PAV.LV6","Sprinkler Installation/Fitoff"
"c680b221-2c3f-4743-9bf7-cdc5d0494149","","not-started","LM-FOR-33-ITR-401 Sprinkler & Hydrant hydrostatic test","checklist","FALSE","FALSE","Leemark - Site QA","Wet Fire","Pre-Action Sprinkler Conrol Valve Assembly 2 (West)","PAV.LV6","Sprinkler & Hydrant Hydrostatic Test"
"0a652db3-dcfe-4dab-b500-3ad30209877e","","not-started","","folder","TRUE","FALSE","Leemark - Site QA","Wet Fire","Pre-Action Sprinkler Conrol Valve Assembly 2 (West)","PAV.DH9"
"2c1a35fd-3509-4e40-acb3-c2d8fb90edae","","not-started","ITP/R Test Report Pre-Action System (V.260521)","checklist","FALSE","FALSE","Leemark - Site QA","Wet Fire","Pre-Action Sprinkler Conrol Valve Assembly 2 (West)","PAV.DH9","Pre-Action Valve"
"76cffe50-afd7-436b-8e78-8d71af94c7eb","","not-started","LM-FOR-30-ITR-301 Sprinkler Installation/Fitoff","checklist","FALSE","FALSE","Leemark - Site QA","Wet Fire","Pre-Action Sprinkler Conrol Valve Assembly 2 (West)","PAV.DH9","Sprinkler Installation/Fitoff"
"58018b77-44f2-4d67-9f73-47ea4d8db115","","not-started","LM-FOR-33-ITR-401 Sprinkler & Hydrant hydrostatic test","checklist","FALSE","FALSE","Leemark - Site QA","Wet Fire","Pre-Action Sprinkler Conrol Valve Assembly 2 (West)","PAV.DH9","Sprinkler & Hydrant Hydrostatic Test"
"509c2f3d-a20a-43fa-9b12-1ea3966f03bd","","not-started","","folder","TRUE","FALSE","Leemark - Site QA","Wet Fire","Pre-Action Sprinkler Conrol Valve Assembly 2 (West)","PAV.LV9"
"f955f1bf-0e1f-45c7-8b96-2379ffeb66fd","","not-started","ITP/R Test Report Pre-Action System (V.260521)","checklist","FALSE","FALSE","Leemark - Site QA","Wet Fire","Pre-Action Sprinkler Conrol Valve Assembly 2 (West)","PAV.LV9","Pre-Action Valve"
"09265c50-667a-426b-b575-c16dcfce0a10","","not-started","LM-FOR-30-ITR-301 Sprinkler Installation/Fitoff","checklist","FALSE","FALSE","Leemark - Site QA","Wet Fire","Pre-Action Sprinkler Conrol Valve Assembly 2 (West)","PAV.LV9","Sprinkler Installation/Fitoff"
"cce26928-d38d-4074-8be5-8a62deb61eff","","not-started","LM-FOR-33-ITR-401 Sprinkler & Hydrant hydrostatic test","checklist","FALSE","FALSE","Leemark - Site QA","Wet Fire","Pre-Action Sprinkler Conrol Valve Assembly 2 (West)","PAV.LV9","Sprinkler & Hydrant Hydrostatic Test"
"c819c36c-5d0d-4314-bc86-93b5f9e9b975","","not-started","","folder","TRUE","FALSE","Leemark - Site QA","Wet Fire","Pre-Action Sprinkler Conrol Valve Assembly 2 (West)","PAV.STO"
"79c980c4-8ede-4d14-ae44-a25d53be7538","","not-started","ITP/R Test Report Pre-Action System (V.260521)","checklist","FALSE","FALSE","Leemark - Site QA","Wet Fire","Pre-Action Sprinkler Conrol Valve Assembly 2 (West)","PAV.STO","Pre-Action Valve"
