"Thu, 7 Mar","Wed, 6 Mar","Tue, 5 Mar"
– – – – – – – – – – – – – – – – – ,– – – – – – – – – – – – – – – – – ,– – – – – – – – – – – – – – – – – 
[30299] - QA - KB,[30012] CVSC-ITP001+002+003+004 / DG-OWR-VMS-ITP-001,[30160] ITP 001 - Ruddells Bund Construction / ITP 002 - Ruddells Mechanical Installation / ITP 003 - Structural Steel
CONQA CS Group,CONQA - ITPs Downer,CONQA - ITPs Bellcon
"account_and_project_library_update, new_checklist","itp, new_checklist","itp, new_checklist"
0:38:48,3:26:02,0:56:45
2:05 PM - 2:44 PM,2:01 PM - 5:28 PM,4:28 PM - 5:25 PM
,,
,,
[30226] - QA - KB,[30173] ITP001 - Pavement Rehabilitation,"[29952] 9364 6 Carr Road, Mt Roskill to 9180 Technology One House"
CONQA CS Group,CONQA - ITPs United Civil,CONQA Alta Safety
"account_and_project_library_update, new_checklist","itp, new_checklist","revised_checklist, structure_edit_rename"
0:08:23,0:20:59,0:39:24
12:54 PM - 1:02 PM,12:36 PM - 12:57 PM,2:27 PM - 3:06 PM
,,
,,
[30218] - CC0394 - ITP-011 - Kerb REV0,[30119] - ITP105 / ITP002 / ITP006 / ITP007,[30148] ITP-092-CIV-PSDS-Private Property Fencing Rev 1
CONQA - ITPs Symal,CONQA - ITPs VicCivil,CONQA - ITPs MRPA
"itp, revised_checklist, structure_edit_add","itp, new_checklist, revised_checklist","itp, revised_checklist"
0:16:19,2:19:50,0:13:37
11:20 AM - 11:37 AM,10:15 AM - 12:34 PM,2:00 PM - 2:14 PM
,,
,,
[30214] - 561469-ITP-0004 - Sub Main (DG-QA-TP018) / 561469-ITP-0008 - Overflow Line (DG-QA-TP018),,[30118] ITP - B1004B - WPB Slip - Reinforced Slope - Soil Nails / ITP - F3002G - Mangahuini - Driven Pile and Concrete Buttress / ITP - F5001A - Hicks Bay Slip Repair - ITP for works
CONQA - ITPs Downer,,CONQA - ITPs TREC Alliance
"itp, new_checklist",,"itp, new_checklist"
0:40:05,,1:33:05
9:35 AM - 10:15 AM,,11:11 AM - 12:44 PM
,,
,,
,,[30115] ITP 02 - Duct Installation + Ducting Inspection Record
,,CONQA - ITPs United Civil
,,"itp, new_checklist"
,,0:09:06
,,10:46 AM - 10:55 AM
,,
,,
,,
,,
