resource,type,Add folder-progress,Add Post,Tier 1,Tier 2 ,Tier 3,Tier 4,Tier 5,Tier 6,Tier 7,Tier 8,Tier 9
,step,,,Level 23,,,,,,,,
,folder-progress,,,,AC-L23-01,,,,,,,
Apartment Checklist,checklist,,,,,Apartment,,,,,,
Mechanical Electrical Checklist,checklist,,,,,Mech Elec,,,,,,
,folder-progress,,,,AC-L23-02,,,,,,,
Apartment Checklist,checklist,,,,,Apartment,,,,,,
Mechanical Electrical Checklist,checklist,,,,,Mech Elec,,,,,,
,folder-progress,,,,AC-L23-03,,,,,,,
Apartment Checklist,checklist,,,,,Apartment,,,,,,
Mechanical Electrical Checklist,checklist,,,,,Mech Elec,,,,,,
,folder-progress,,,,AC-L23-04,,,,,,,
Apartment Checklist,checklist,,,,,Apartment,,,,,,
Mechanical Electrical Checklist,checklist,,,,,Mech Elec,,,,,,
,folder-progress,,,,AC-L23-05,,,,,,,
Apartment Checklist,checklist,,,,,Apartment,,,,,,
Mechanical Electrical Checklist,checklist,,,,,Mech Elec,,,,,,
,folder-progress,,,,AC-L23-06,,,,,,,
Apartment Checklist,checklist,,,,,Apartment,,,,,,
Mechanical Electrical Checklist,checklist,,,,,Mech Elec,,,,,,
,folder-progress,,,,AC-L23-07,,,,,,,
Apartment Checklist,checklist,,,,,Apartment,,,,,,
Mechanical Electrical Checklist,checklist,,,,,Mech Elec,,,,,,
,folder-progress,,,,AC-L23-23,,,,,,,
Apartment Checklist,checklist,,,,,Apartment,,,,,,
Mechanical Electrical Checklist,checklist,,,,,Mech Elec,,,,,,
,folder-progress,,,,BS-L23-1,,,,,,,
Apartment Checklist,checklist,,,,,Apartment,,,,,,
Mechanical Electrical Checklist,checklist,,,,,Mech Elec,,,,,,
,folder-progress,,,,BS-L23-2,,,,,,,
Apartment Checklist,checklist,,,,,Apartment,,,,,,
Mechanical Electrical Checklist,checklist,,,,,Mech Elec,,,,,,
Fan Install Checklist,checklist,,,,TEF-23-01,,,,,,,
Fan Install Checklist,checklist,,,,TEF-23-02,,,,,,,
Fan Install Checklist,checklist,,,,TEF-23-03,,,,,,,
Fan Install Checklist,checklist,,,,TEF-23-04,,,,,,,
Fan Install Checklist,checklist,,,,TEF-23-05,,,,,,,
Fan Install Checklist,checklist,,,,TEF-23-06,,,,,,,
Fan Install Checklist,checklist,,,,TEF-23-07,,,,,,,
Fan Install Checklist,checklist,,,,TEF-23-23,,,,,,,
Fan Install Checklist,checklist,,,,LEF-23-01,,,,,,,
Fan Install Checklist,checklist,,,,LEF-23-02,,,,,,,
Fan Install Checklist,checklist,,,,LEF-23-03,,,,,,,
Fan Install Checklist,checklist,,,,LEF-23-04,,,,,,,
Fan Install Checklist,checklist,,,,LEF-23-05,,,,,,,
Fan Install Checklist,checklist,,,,LEF-23-06,,,,,,,
Fan Install Checklist,checklist,,,,LEF-23-07,,,,,,,
Fan Install Checklist,checklist,,,,LEF-23-23,,,,,,,
Fire Damper Installation Checklist,checklist,,,,MDB-23.01,,,,,,,
Fire Damper Installation Checklist,checklist,,,,MDB-23.02,,,,,,,
Fire Damper Installation Checklist,checklist,,,,MDB-23.03,,,,,,,
Fire Damper Installation Checklist,checklist,,,,MDB-23.04,,,,,,,
Fire Damper Installation Checklist,checklist,,,,MDB-23.05,,,,,,,
Fire Damper Installation Checklist,checklist,,,,MDB-23.06,,,,,,,
Fire Damper Installation Checklist,checklist,,,,MDB-23.07,,,,,,,
Fire Damper Installation Checklist,checklist,,,,MDB-23.08,,,,,,,
Fire Damper Installation Checklist,checklist,,,,FD-23.01,,,,,,,
Fire Damper Installation Checklist,checklist,,,,FD-23.02,,,,,,,
Fire Damper Installation Checklist,checklist,,,,FD-23.03,,,,,,,
Fire Damper Installation Checklist,checklist,,,,FD-23.04,,,,,,,
Fire Damper Installation Checklist,checklist,,,,FD-23.05,,,,,,,
Fire Damper Installation Checklist,checklist,,,,FD-23.06,,,,,,,
Fire Damper Installation Checklist,checklist,,,,FD-23.07,,,,,,,
Fire Damper Installation Checklist,checklist,,,,FD-23.08,,,,,,,
