"Matrix Name","Dimension","Name","Type / Data Field","Tag 1","Tag 2"
"Overall Progress"
,"Scope",,
,"Rows"
,,"Roofs","grouping","roofs"
,,"Upper Roof",,"upper roof"
,,"Lower Roof",,"lower roof"
,,"Lower R1",,"lower r1"
,,"Windows","grouping","windows"
,,"nAJ01",,"naj01"
,,"nAJ02",,"naj02"
,,"nAJ03",,"naj03"
,,"nAJ04",,"naj04"
,,"nAJ05",,"naj05"
,,"nAJ06",,"naj06"
,,"nAJ07",,"naj07"
,,"nAJ08",,"naj08"
,,"nAJ09",,"naj09"
,,"nAJ10",,"naj10"
,,"nAJ11",,"naj11"
,,"nAJ12",,"naj12"
,,"nAJ13",,"naj13"
,,"nJA14",,"nja14"
,,"Block N & K South Elevation Infills","grouping","block n & k south elevation infills"
,,"No. 1",,"no. 1"
,,"No. 2",,"no. 2"
,,"No. 3",,"no. 3"
,,"No. 4",,"no. 4"
,,"No. 5",,"no. 5"
,,"No. 6",,"no. 6"
,,"No. 7",,"no. 7"
,,"No. 8",,"no. 8"
,,"No. 9",,"no. 9"
,,"No. 10",,"no. 10"
,,"No. 11",,"no. 11"
,,"No. 12",,"no. 12"
,,"Weatherboard Replacement","grouping","weatherboard replacement"
,,"Northern Elevation",,"northern elevation"
,,"Western Elevation",,"western elevation"
,,"Block N West Elevation 2",,"block n west elevation 2"
,,"Block N East Elevation 2",,"block n east elevation 2"
,,"Fume Cupboards","grouping","fume cupboards"
,,"1",,"1"
,,"2",,"2"
,,"Window Infills",,"window infills"
,,"Block N & K North Elevation Infills","dynamic","block n & k north elevation infills","window infills"
,"Columns"
,,"Stage 1",,"project qa","stage 1"
,,"Stage 2",,"project qa","stage 2"
,,"Stage 3",,"project qa","stage 3"

