resource,resource,resource,resource,resource,resource,resource,type,Add Step,Add Post,Tier 1,Tier 2 ,Tier 3,Tier 4,Tier 5,Tier 6,Tier 7,Tier 8,Tier 9,,,,,,,
,,,,,,,step,,,Retail/tenancy,,,,,,,,,,,,,,,
Fit Off/ Fixture Install - Toilets & Cisterns,Fit Off/ Fixture Install - All Items,Fit Off/ Fixture Install - Waste & Trap Clean Out,Fit Off/ Fixture Install - Wall Tundish,Fit Off/ Fixture Install - Hose Taps,Fit Off/ Fixture Install - Gas Cooktop,Fit Off/ Fixture Install - Cleaners Sink,folder-with-checklists,,,,Basement 2 - to Level 1,,,,,,,,,,,,,,
,,,,,,,step,,,,Basement 1,,,,,,,,,,,,,,
Fit Off/ Fixture Install - Toilets & Cisterns,Fit Off/ Fixture Install - All Items,Fit Off/ Fixture Install - Waste & Trap Clean Out,Fit Off/ Fixture Install - Wall Tundish,Fit Off/ Fixture Install - Hose Taps,Fit Off/ Fixture Install - Gas Cooktop,Fit Off/ Fixture Install - Cleaners Sink,folder-with-checklists,,,,,Tenancy 1,,,,,,,,,,,,,
Fit Off/ Fixture Install - Toilets & Cisterns,Fit Off/ Fixture Install - All Items,Fit Off/ Fixture Install - Waste & Trap Clean Out,Fit Off/ Fixture Install - Wall Tundish,Fit Off/ Fixture Install - Hose Taps,Fit Off/ Fixture Install - Gas Cooktop,Fit Off/ Fixture Install - Cleaners Sink,folder-with-checklists,,,,,Tenancy 2,,,,,,,,,,,,,
Fit Off/ Fixture Install - Toilets & Cisterns,Fit Off/ Fixture Install - All Items,Fit Off/ Fixture Install - Waste & Trap Clean Out,Fit Off/ Fixture Install - Wall Tundish,Fit Off/ Fixture Install - Hose Taps,Fit Off/ Fixture Install - Gas Cooktop,Fit Off/ Fixture Install - Cleaners Sink,folder-with-checklists,,,,,Tenancy 3,,,,,,,,,,,,,
Fit Off/ Fixture Install - Toilets & Cisterns,Fit Off/ Fixture Install - All Items,Fit Off/ Fixture Install - Waste & Trap Clean Out,Fit Off/ Fixture Install - Wall Tundish,Fit Off/ Fixture Install - Hose Taps,Fit Off/ Fixture Install - Gas Cooktop,Fit Off/ Fixture Install - Cleaners Sink,folder-with-checklists,,,,,Tenancy 4,,,,,,,,,,,,,
Fit Off/ Fixture Install - Toilets & Cisterns,Fit Off/ Fixture Install - All Items,Fit Off/ Fixture Install - Waste & Trap Clean Out,Fit Off/ Fixture Install - Wall Tundish,Fit Off/ Fixture Install - Hose Taps,Fit Off/ Fixture Install - Gas Cooktop,Fit Off/ Fixture Install - Cleaners Sink,folder-with-checklists,,,,,Tenancy 5,,,,,,,,,,,,,
Fit Off/ Fixture Install - Toilets & Cisterns,Fit Off/ Fixture Install - All Items,Fit Off/ Fixture Install - Waste & Trap Clean Out,Fit Off/ Fixture Install - Wall Tundish,Fit Off/ Fixture Install - Hose Taps,Fit Off/ Fixture Install - Gas Cooktop,Fit Off/ Fixture Install - Cleaners Sink,folder-with-checklists,,,,,Tenancy 6,,,,,,,,,,,,,
,,,,,,,step,,,,Ground,,,,,,,,,,,,,,
