"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"afee1b0a-6450-47ca-84f2-6a6770d90798","","work-in-progress","","folder","TRUE","FALSE","Manufacturing / Off-site QA"
"f7d09670-f9d7-45b6-a769-ba95808ea9f0","","work-in-progress","","folder","TRUE","FALSE","Manufacturing / Off-site QA","Shop Drawing - SKP-GAB-003"
"7259d719-5469-4807-9769-1fb69b9e690e","","pass","OFFSITE - Fabrication of ALPOLIC NC Checklist","checklist","FALSE","FALSE","Manufacturing / Off-site QA","Shop Drawing - SKP-GAB-003","D16"
"2ffd60f9-8d0f-41b9-a57b-c440049ed65c","","not-started","OFFSITE - Fabrication of ALPOLIC NC Checklist","checklist","FALSE","FALSE","Manufacturing / Off-site QA","Shop Drawing - SKP-GAB-003","D19"
"983576ad-e53f-4e32-a004-ff816e84668b","","not-started","OFFSITE - Fabrication of ALPOLIC NC Checklist","checklist","FALSE","FALSE","Manufacturing / Off-site QA","Shop Drawing - SKP-GAB-003","D36"
"4d5c7cef-50da-43f8-b8f7-3ec7a9ab4050","","not-started","OFFSITE - Fabrication of ALPOLIC NC Checklist","checklist","FALSE","FALSE","Manufacturing / Off-site QA","Shop Drawing - SKP-GAB-003","DGF21"
"8aef9c41-2024-4ede-833b-277c1fe6ee0c","","not-started","","folder","TRUE","FALSE","Manufacturing / Off-site QA","Shop Drawing - SKP-GAB-004"
"4c7fd6e5-98f5-4cd9-b6f0-7604f4f4abdc","","not-started","OFFSITE - Fabrication of ALPOLIC NC Checklist","checklist","FALSE","FALSE","Manufacturing / Off-site QA","Shop Drawing - SKP-GAB-004","E01"
"bb2935e6-482a-4594-82df-5fd62e74b9b4","","not-started","OFFSITE - Fabrication of ALPOLIC NC Checklist","checklist","FALSE","FALSE","Manufacturing / Off-site QA","Shop Drawing - SKP-GAB-004","E12"
"c58811cc-bb1b-4b63-acf6-27da9fc03135","","not-started","OFFSITE - Fabrication of ALPOLIC NC Checklist","checklist","FALSE","FALSE","Manufacturing / Off-site QA","Shop Drawing - SKP-GAB-004","EGF04"
"9862344e-ff90-40b5-a3a7-5d620a7ab7d4","","not-started","OFFSITE - Fabrication of ALPOLIC NC Checklist","checklist","FALSE","FALSE","Manufacturing / Off-site QA","Shop Drawing - SKP-GAB-004","F02"
"376a5b0a-8794-422a-895f-7a105b480028","","work-in-progress","","folder","TRUE","FALSE","Manufacturing / Off-site QA","Shop Drawing - SKP-GAB-005"
"fe9a2242-1ac9-4f3c-b4a7-89c44c7bb011","","not-started","OFFSITE - Fabrication of ALPOLIC NC Checklist","checklist","FALSE","FALSE","Manufacturing / Off-site QA","Shop Drawing - SKP-GAB-005","F02"
"129f7f5c-2e9b-4399-81e1-11d26b5be975","","not-started","OFFSITE - Fabrication of ALPOLIC NC Checklist","checklist","FALSE","FALSE","Manufacturing / Off-site QA","Shop Drawing - SKP-GAB-005","F07"
"a58a67b8-31d2-416f-869d-59706ed7d249","","not-started","OFFSITE - Fabrication of ALPOLIC NC Checklist","checklist","FALSE","FALSE","Manufacturing / Off-site QA","Shop Drawing - SKP-GAB-005","G10"
