"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"919881e3-e4ac-4404-8cf3-ec8493f7661d","","folder-normal","","","step","TRUE","FALSE","Basement 5"
"e48789a8-f366-451d-b196-651b098f5394","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Basement 5","B5-01"
"0c86f5ec-8567-4811-a1ea-89cbca6ab263","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Basement 5","B5-01(2)"
"6525e54c-a232-4b33-bd0e-776f91cd4371","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Basement 5","B5-02"
"7f6d49cf-c100-42b0-80bf-bb3a5d0a40da","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Basement 5","B5-02(2)"
"480d0d5e-9fb8-411f-b86f-f5e9f51f4891","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Basement 5","B5-03"
"4e9fe408-1d16-402a-bf50-50611a2f02ab","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Basement 5","B5-03(2)"
"6a3ea50b-0178-49cd-8b19-4eecde10aee1","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Basement 5","B5-03A"
"0da0c16a-a4b0-42c0-b119-cb2c0c3c0fe1","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Basement 5","B5-03A(2)"
"0a7eecad-7a2b-4f55-bf60-5180c98af001","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Basement 5","B5-04"
"385fb255-6a86-4cfd-81fa-c41da98ce609","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Basement 5","B5-04(2)"
"877450fd-fa23-4f8d-a83f-a70db9ef8345","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Basement 5","B5-05"
"67e2e7cb-dbc6-476c-b262-93092774f537","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Basement 5","B5-05(2)"
"8786afc8-1160-48c1-a692-43e67d0a6607","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Basement 5","B5-06"
"ad458fb4-f876-41dc-9a51-c9bff1863873","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Basement 5","B5-06(2)"
