resource,resource,resource,resource,type,Add Step,Add Post,Tier 1,Tier 2 ,Tier 3,Tier 4,Tier 5,Tier 6,Tier 7,Tier 8,Tier 9,,,
,,,,step,,,Site QA,,,,,,,,,,,
,,,,step,,,,Ingrounds,,,,,,,,,,
,,,,step,,,,,Pour Zone 1,,,,,,,,,
Ingrounds (Pipes below Raft Slab),,,,checklist,,,,,,Pipes Below Raft Slab,,,,,,,,
Ingrounds (Pipes in Raft Slab),,,,checklist,,,,,,Pipes in Raft Slab,,,,,,,,
,,,,step,,,,,Pour Zone 2,,,,,,,,,
Ingrounds (Pipes below Raft Slab),,,,checklist,,,,,,Pipes Below Raft Slab,,,,,,,,
Ingrounds (Pipes in Raft Slab),,,,checklist,,,,,,Pipes in Raft Slab,,,,,,,,
,,,,step,,,,,Pour Zone 3,,,,,,,,,
Ingrounds (Pipes below Raft Slab),,,,checklist,,,,,,Pipes Below Raft Slab,,,,,,,,
Ingrounds (Pipes in Raft Slab),,,,checklist,,,,,,Pipes in Raft Slab,,,,,,,,
,,,,step,,,,,Pour Zone 4,,,,,,,,,
Ingrounds (Pipes below Raft Slab),,,,checklist,,,,,,Pipes Below Raft Slab,,,,,,,,
Ingrounds (Pipes in Raft Slab),,,,checklist,,,,,,Pipes in Raft Slab,,,,,,,,
,,,,step,,,,,Pour Zone 5,,,,,,,,,
Ingrounds (Pipes below Raft Slab),,,,checklist,,,,,,Pipes Below Raft Slab,,,,,,,,
Ingrounds (Pipes in Raft Slab),,,,checklist,,,,,,Pipes in Raft Slab,,,,,,,,
,,,,step,,,,,Pour Zone 6,,,,,,,,,
Ingrounds (Pipes below Raft Slab),,,,checklist,,,,,,Pipes Below Raft Slab,,,,,,,,
Ingrounds (Pipes in Raft Slab),,,,checklist,,,,,,Pipes in Raft Slab,,,,,,,,
,,,,step,,,,Meter Assembilies & Risers ,,,,,,,,,,
Meter Assemblies & Risers ,,,,checklist,,,,,Ground Floor,,,,,,,,,
Meter Assemblies & Risers ,,,,checklist,,,,,Level 1,,,,,,,,,
Meter Assemblies & Risers ,,,,checklist,,,,,Level 2,,,,,,,,,
Meter Assemblies & Risers ,,,,checklist,,,,,Level 3,,,,,,,,,
Meter Assemblies & Risers ,,,,checklist,,,,,Level 4,,,,,,,,,
Meter Assemblies & Risers ,,,,checklist,,,,,Level 5,,,,,,,,,
Meter Assemblies & Risers ,,,,checklist,,,,,Level 6,,,,,,,,,
Meter Assemblies & Risers ,,,,checklist,,,,,Level 7,,,,,,,,,
Meter Assemblies & Risers ,,,,checklist,,,,,Level 8,,,,,,,,,
Meter Assemblies & Risers ,,,,checklist,,,,,Level 9,,,,,,,,,
Meter Assemblies & Risers ,,,,checklist,,,,,Level 10,,,,,,,,,
Meter Assemblies & Risers ,,,,checklist,,,,,Level 11,,,,,,,,,
Meter Assemblies & Risers ,,,,checklist,,,,,Level 12,,,,,,,,,
Meter Assemblies & Risers ,,,,checklist,,,,,Level 13,,,,,,,,,
,,,,step,,,,Lagging ,,,,,,,,,,
Lagging ,,,,checklist,,,,,Ground Floor,,,,,,,,,
Lagging ,,,,checklist,,,,,Level 1,,,,,,,,,
Lagging ,,,,checklist,,,,,Level 2,,,,,,,,,
Lagging ,,,,checklist,,,,,Level 3,,,,,,,,,
Lagging ,,,,checklist,,,,,Level 4,,,,,,,,,
Lagging ,,,,checklist,,,,,Level 5,,,,,,,,,
Lagging ,,,,checklist,,,,,Level 6,,,,,,,,,
Lagging ,,,,checklist,,,,,Level 7,,,,,,,,,
