type,name,values,prefix,postfix,usage count,user addable,template name,Resource Id
checklist,Top Hats & Frames Installation,,,,,,,
section,Details,,,,,,,
checkpoint,Photo/evidence of top hats and frames Installation,,,,,,,
,,,,,,,,
checklist,Rail Engagement Installation,,,,,,,
section,Details,,,,,,,
checkpoint,Photo/evidence of rail engagement installation,,,,,,,
,,,,,,,,
checklist,Installation of Bricks,,,,,,,
section,Details,,,,,,,
checkpoint,Photo/evidence of bricks installation,,,,,,,
