Rich Type,Id,Warnings,type,name,values,prefix,postfix,Usage Count,User Addable,Template Name,Template Id
checklist-sectioned,,,checklist,Pre Sheet Sign off,,,,0,Yes,Pre-Sheet wall Sign-Off,1f1eabdd-569a-43ae-b98a-b15732fc5e07
checkpoint-group,,,section,Electrical - Apps Electrical - Pass once below is completed,,,,,,,
checkpoint-status,,,checkpoint,Rough-in Complete,,,,,,,
checkpoint-status,,,checkpoint,Cutouts Marked,,,,,,,
checkpoint-status,,,checkpoint,Noggins installed as marked,,,,,,,
checkpoint-status,,,checkpoint,Pressure boxes installed,,,,,,,
checkpoint-status,,,checkpoint,Pressure box rough-in sealed (include photo where applicable),,,,,,,
checkpoint-status,,,checkpoint,FR GPO boxes installed,,,,,,,
checkpoint-status,,,checkpoint,Subcontractor presheet works complete (S/C to sign),,,,,,,
holdpoint,,,signoff,Sign Off,,,,,,,
checkpoint-group,,,section,Hydraulics - Planet Plumbing - Pass once below is completed,,,,,,,
checkpoint-status,,,checkpoint,Rough-in complete,,,,,,,
checkpoint-status,,,checkpoint,Cut outs marked,,,,,,,
checkpoint-status,,,checkpoint,Noggins installed as marked,,,,,,,
checkpoint-status,,,checkpoint,Access panel / Valve box locations framed as marked,,,,,,,
checkpoint-status,,,checkpoint,Lagging complete,,,,,,,
checkpoint-status,,,checkpoint,Subcontractor presheet works complete (S/C to sign),,,,,,,
holdpoint,,,signoff,Sign Off,,,,,,,
checkpoint-group,,,section,Mechanical - DE-ELLIS - Pass once below is completed,,,,,,,
checkpoint-status,,,checkpoint,Rough-in complete,,,,,,,
checkpoint-status,,,checkpoint,Cut outs marked,,,,,,,
checkpoint-status,,,checkpoint,Pressure boxes installed,,,,,,,
checkpoint-status,,,checkpoint,Pressure box rough-in sealed,,,,,,,
checkpoint-status,,,checkpoint,Noggins installed as marked,,,,,,,
checkpoint-status,,,checkpoint,Access panel locations framed as marked,,,,,,,
checkpoint-status,,,checkpoint,Lagging complete,,,,,,,
checkpoint-status,,,checkpoint,Subcontractor presheet works complete (S/C to sign),,,,,,,
holdpoint,,,signoff,Sign Off,,,,,,,
checkpoint-group,,,section,Medical Gas - DE-ELLIS -Pass once below is completed,,,,,,,
checkpoint-status,,,checkpoint,Rough-in complete,,,,,,,
checkpoint-status,,,checkpoint,Cut outs marked,,,,,,,
checkpoint-status,,,checkpoint,Pressure boxes installed,,,,,,,
checkpoint-status,,,checkpoint,Pressure box rough-in sealed,,,,,,,
checkpoint-status,,,checkpoint,Access panel / Valve box locations framed as marked,,,,,,,
checkpoint-status,,,checkpoint,Noggins installed as marked,,,,,,,
checkpoint-status,,,checkpoint,Subcontractor presheet works complete (S/C to sign),,,,,,,
holdpoint,,,signoff,Sign Off,,,,,,,
checkpoint-group,,,section,Pneumatic Piping - DE-ELLIS -Pass once below is completed,,,,,,,
checkpoint-status,,,checkpoint,Rough-in complete,,,,,,,
checkpoint-status,,,checkpoint,Cut outs marked,,,,,,,
checkpoint-status,,,checkpoint,Noggins installed as marked,,,,,,,
checkpoint-status,,,checkpoint,Subcontractor presheet works complete (S/C to sign),,,,,,,
holdpoint,,,signoff,Sign Off,,,,,,,
checkpoint-group,,,section,Wet Fire - Contract Fire -Pass once below is completed,,,,,,,
checkpoint-status,,,checkpoint,Rough-in complete,,,,,,,
checkpoint-status,,,checkpoint,Cut outs marked,,,,,,,
checkpoint-status,,,checkpoint,Noggins installed as marked (Fire extinguishers),,,,,,,
checkpoint-status,,,checkpoint,Subcontractor presheet works complete (S/C to sign),,,,,,,
holdpoint,,,signoff,Sign Off,,,,,,,
checkpoint-group,,,section,Dry Fire - Jaycon -Pass once below is completed,,,,,,,
checkpoint-status,,,checkpoint,Rough-in complete,,,,,,,
checkpoint-status,,,checkpoint,Cut outs marked,,,,,,,
checkpoint-status,,,checkpoint,Noggins installed as marked,,,,,,,
checkpoint-status,,,checkpoint,Subcontractor presheet works complete (S/C to sign),,,,,,,
holdpoint,,,signoff,Sign Off,,,,,,,
checkpoint-group,,,section,Security- Honeywell - Pass once below is completed,,,,,,,
checkpoint-status,,,checkpoint,Rough-in complete,,,,,,,
checkpoint-status,,,checkpoint,Cut outs marked,,,,,,,
checkpoint-status,,,checkpoint,Pressure boxes installed,,,,,,,
