"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"441ce20b-3ff2-4f9e-b4b3-ef255ba6e64c","","work-in-progress","","folder","TRUE","FALSE","Entry Turnouts"
"be2c163d-199d-4bc2-8d36-74b4deb5e202","","work-in-progress","RSA.WP20.FIC Entry Turnout","checklist","FALSE","FALSE","Entry Turnouts","Lara Entry 1"
"7e3605f1-4ba7-45fd-bd81-3ffe2d91b79c","","work-in-progress","RSA.WP20.FIC Entry Turnout","checklist","FALSE","FALSE","Entry Turnouts","Lara Entry 2"
"efca3d19-bba9-47e4-bfd8-d2c465e81667","","work-in-progress","RSA.WP20.FIC Entry Turnout","checklist","FALSE","FALSE","Entry Turnouts","Lara Entry 3"
"bd8eb46a-396e-4563-a523-19231c51b00b","","work-in-progress","RSA.WP20.FIC Entry Turnout","checklist","FALSE","FALSE","Entry Turnouts","Lara Entry 4"
"d0ea2d87-3e2f-47a4-96aa-ddc1009d78f9","","work-in-progress","RSA.WP20.FIC Entry Turnout","checklist","FALSE","FALSE","Entry Turnouts","Lara Entry 5"
"dc4f3e47-ed0f-4440-ac3d-aed80c9aca93","","pass","RSA.WP20.FIC Entry Turnout","checklist","FALSE","FALSE","Entry Turnouts","Green Valley Entry 1"
"d42ce775-4a04-40bc-89b7-447d75fb4b86","","work-in-progress","RSA.WP20.FIC Entry Turnout","checklist","FALSE","FALSE","Entry Turnouts","Bellaringa Entry 2"
"9d7dc9cc-0cf5-4e77-929f-1ecf5ba475cf","","work-in-progress","RSA.WP20.FIC Entry Turnout","checklist","FALSE","FALSE","Entry Turnouts","Bellaringa Entry 4"
"9fa8f7d5-000e-414e-81d1-e896d7114daf","","work-in-progress","RSA.WP20.FIC Entry Turnout","checklist","FALSE","FALSE","Entry Turnouts","Bellaringa Entry 6"
"e3620163-ec7c-4589-ab4e-6c9e10922f53","","work-in-progress","RSA.WP20.FIC Entry Turnout","checklist","FALSE","FALSE","Entry Turnouts","Bellaringa Entry 8"
"ce0c41cd-0c97-450a-a15b-b274ae63a77e","","work-in-progress","RSA.WP20.FIC Entry Turnout","checklist","FALSE","FALSE","Entry Turnouts","Bellaringa Entry 9"
"b7a2d18b-1552-41f3-8518-464626acf2ea","","work-in-progress","RSA.WP20.FIC Entry Turnout","checklist","FALSE","FALSE","Entry Turnouts","Bellaringa Entry 11"
"52733830-5c1f-4ca3-b369-3029e52c1117","","work-in-progress","RSA.BitumenEdgeSeal.ITP","checklist","FALSE","FALSE","ITP - Bitumen Edge Seal"
