Matrix Name,Dimension,Name,Type / Data Field,Tag 1,Tag 2,
Detailed Progress Matrix (L16-L20),,,,,,
,Scope,,,Site QA,,
,Rows,,,,,
,,Level 16,grouping,Level 16,,
,,Circle,dynamic,Circle,Level 16,Site QA
,,Loading Bay,dynamic,Loading Bay,Level 16,Site QA
,,Corewall,dynamic,Corewall,Level 16,Site QA
,,Alimark,dynamic,Alimark,Level 16,Site QA
,,Level 17,grouping,Level 17,,
,,Circle,dynamic,Circle,Level 17,Site QA
,,Loading Bay,dynamic,Loading Bay,Level 17,Site QA
,,Corewall,dynamic,Corewall,Level 17,Site QA
,,Alimark,dynamic,Alimark,Level 17,Site QA
,,Level 18,grouping,Level 18,,
,,Circle,dynamic,Circle,Level 18,Site QA
,,Loading Bay,dynamic,Loading Bay,Level 18,Site QA
,,Corewall,dynamic,Corewall,Level 18,Site QA
,,Alimark,dynamic,Alimark,Level 18,Site QA
,,Level 19,grouping,Level 19,,
,,Circle,dynamic,Circle,Level 19,Site QA
,,Loading Bay,dynamic,Loading Bay,Level 19,Site QA
,,Corewall,dynamic,Corewall,Level 19,Site QA
,,Alimark,dynamic,Alimark,Level 19,Site QA
,,Level 20,grouping,Level 20,,
,,Circle,dynamic,Circle,Level 20,Site QA
,,Loading Bay,dynamic,Loading Bay,Level 20,Site QA
,,Corewall,dynamic,Corewall,Level 20,Site QA
,,Alimark,dynamic,Alimark,Level 20,Site QA
,Columns,,,,,
,,Pre-Install,,Pre-Install,,
,,Installation,,Installation,,
,,Post-Installation,,Post-Installation,,
