Matrix Name,Dimension,Name,Type / Data Field,Tag 1,Tag 2,,
Detailed Progress Matrix (L31-L37),,,,,,,
,Scope,,,Site QA,,,
,Rows,,,,,,
,,Level 31,grouping,Level 31,,,
,,Circle,grouping,Circle,,,
,,Loading Bay,dynamic,Loading Bay,Level 31,Site QA,
,,Corewall,dynamic,Corewall,Level 31,Site QA,
,,Alimark,dynamic,Alimark,Level 31,Site QA,
,,Level 32,grouping,Level 32,,,
,,Circle,grouping,Circle,,,
,,L32-001,,L32-001,Circle,Level 32,Site QA
,,L32-002,,L32-002,Circle,Level 32,Site QA
,,L32-003,,L32-003,Circle,Level 32,Site QA
,,L32-004,,L32-004,Circle,Level 32,Site QA
,,L32-005,,L32-005,Circle,Level 32,Site QA
,,L32-010,,L32-010,Circle,Level 32,Site QA
,,L32-011,,L32-011,Circle,Level 32,Site QA
,,L32-012,,L32-012,Circle,Level 32,Site QA
,,L32-013,,L32-013,Circle,Level 32,Site QA
,,L32-014,,L32-014,Circle,Level 32,Site QA
,,L32-041,,L32-041,Circle,Level 32,Site QA
,,L32-042,,L32-042,Circle,Level 32,Site QA
,,L32-043,,L32-043,Circle,Level 32,Site QA
,,L32-044,,L32-044,Circle,Level 32,Site QA
,,L32-049,,L32-049,Circle,Level 32,Site QA
,,L32-050,,L32-050,Circle,Level 32,Site QA
,,L32-051,,L32-051,Circle,Level 32,Site QA
,,L32-052,,L32-052,Circle,Level 32,Site QA
,,L32-053,,L32-053,Circle,Level 32,Site QA
,,L32-054,,L32-054,Circle,Level 32,Site QA
,,L32-055,,L32-055,Circle,Level 32,Site QA
,,L32-056,,L32-056,Circle,Level 32,Site QA
,,L32-057,,L32-057,Circle,Level 32,Site QA
,,L32-058,,L32-058,Circle,Level 32,Site QA
,,L32-059,,L32-059,Circle,Level 32,Site QA
,,L32-060,,L32-060,Circle,Level 32,Site QA
,,L32-061,,L32-061,Circle,Level 32,Site QA
,,L32-062,,L32-062,Circle,Level 32,Site QA
,,L32-063,,L32-063,Circle,Level 32,Site QA
,,L32-068,,L32-068,Circle,Level 32,Site QA
,,L32-069,,L32-069,Circle,Level 32,Site QA
,,L32-070,,L32-070,Circle,Level 32,Site QA
,,L32-071,,L32-071,Circle,Level 32,Site QA
,,L32-072,,L32-072,Circle,Level 32,Site QA
,,L32-073,,L32-073,Circle,Level 32,Site QA
,,L32-074,,L32-074,Circle,Level 32,Site QA
,,L32-075,,L32-075,Circle,Level 32,Site QA
,,L32-076,,L32-076,Circle,Level 32,Site QA
,,L32-077,,L32-077,Circle,Level 32,Site QA
,,L32-078,,L32-078,Circle,Level 32,Site QA
,,L32-079,,L32-079,Circle,Level 32,Site QA
,,L32-080,,L32-080,Circle,Level 32,Site QA
,,L32-081,,L32-081,Circle,Level 32,Site QA
,,L32-082,,L32-082,Circle,Level 32,Site QA
,,L32-083,,L32-083,Circle,Level 32,Site QA
,,L32-084,,L32-084,Circle,Level 32,Site QA
,,L32-085,,L32-085,Circle,Level 32,Site QA
,,L32-086,,L32-086,Circle,Level 32,Site QA
,,L32-087,,L32-087,Circle,Level 32,Site QA
,,L32-088,,L32-088,Circle,Level 32,Site QA
,,L32-089,,L32-089,Circle,Level 32,Site QA
,,L32-090,,L32-090,Circle,Level 32,Site QA
,,L32-091,,L32-091,Circle,Level 32,Site QA
,,L32-092,,L32-092,Circle,Level 32,Site QA
,,L32-093,,L32-093,Circle,Level 32,Site QA
,,L32-094,,L32-094,Circle,Level 32,Site QA
,,L32-095,,L32-095,Circle,Level 32,Site QA
,,L32-096,,L32-096,Circle,Level 32,Site QA
,,L32-097,,L32-097,Circle,Level 32,Site QA
,,L32-098,,L32-098,Circle,Level 32,Site QA
,,L32-099,,L32-099,Circle,Level 32,Site QA
,,L32-100,,L32-100,Circle,Level 32,Site QA
,,L32-101,,L32-101,Circle,Level 32,Site QA
,,L32-102,,L32-102,Circle,Level 32,Site QA
,,L32-103,,L32-103,Circle,Level 32,Site QA
,,L32-104,,L32-104,Circle,Level 32,Site QA
,,L32-105,,L32-105,Circle,Level 32,Site QA
,,L32-106,,L32-106,Circle,Level 32,Site QA
,,L32-107,,L32-107,Circle,Level 32,Site QA
,,L32-108,,L32-108,Circle,Level 32,Site QA
,,L32-109,,L32-109,Circle,Level 32,Site QA
,,L32-110,,L32-110,Circle,Level 32,Site QA
,,L32-111,,L32-111,Circle,Level 32,Site QA
,,L32-112,,L32-112,Circle,Level 32,Site QA
,,L32-113,,L32-113,Circle,Level 32,Site QA
,,L32-114,,L32-114,Circle,Level 32,Site QA
,,L32-115,,L32-115,Circle,Level 32,Site QA
,,L32-116,,L32-116,Circle,Level 32,Site QA
,,L32-117,,L32-117,Circle,Level 32,Site QA
,,L32-118,,L32-118,Circle,Level 32,Site QA
,,L32-119,,L32-119,Circle,Level 32,Site QA
,,L32-120,,L32-120,Circle,Level 32,Site QA
,,L32-121,,L32-121,Circle,Level 32,Site QA
,,L32-122,,L32-122,Circle,Level 32,Site QA
,,L32-123,,L32-123,Circle,Level 32,Site QA
,,L32-124,,L32-124,Circle,Level 32,Site QA
,,L32-125,,L32-125,Circle,Level 32,Site QA
,,L32-126,,L32-126,Circle,Level 32,Site QA
,,L32-127,,L32-127,Circle,Level 32,Site QA
,,L32-128,,L32-128,Circle,Level 32,Site QA
,,L32-129,,L32-129,Circle,Level 32,Site QA
,,L32-130,,L32-130,Circle,Level 32,Site QA
,,L32-131,,L32-131,Circle,Level 32,Site QA
,,L32-132,,L32-132,Circle,Level 32,Site QA
,,L32-133,,L32-133,Circle,Level 32,Site QA
,,L32-134,,L32-134,Circle,Level 32,Site QA
,,L32-135,,L32-135,Circle,Level 32,Site QA
,,L32-136,,L32-136,Circle,Level 32,Site QA
,,L32-137,,L32-137,Circle,Level 32,Site QA
,,L32-138,,L32-138,Circle,Level 32,Site QA
,,L32-139,,L32-139,Circle,Level 32,Site QA
,,L32-140,,L32-140,Circle,Level 32,Site QA
,,L32-141,,L32-141,Circle,Level 32,Site QA
,,L32-146,,L32-146,Circle,Level 32,Site QA
,,L32-147,,L32-147,Circle,Level 32,Site QA
,,L32-148,,L32-148,Circle,Level 32,Site QA
,,L32-149,,L32-149,Circle,Level 32,Site QA
,,L32-150,,L32-150,Circle,Level 32,Site QA
,,L32-151,,L32-151,Circle,Level 32,Site QA
,,L32-152,,L32-152,Circle,Level 32,Site QA
,,L32-153,,L32-153,Circle,Level 32,Site QA
,,L32-154,,L32-154,Circle,Level 32,Site QA
,,L32-155,,L32-155,Circle,Level 32,Site QA
,,Loading Bay,dynamic,Loading Bay,Level 32,Site QA,
,,Corewall,dynamic,Corewall,Level 32,Site QA,
,,Alimark,dynamic,Alimark,Level 32,Site QA,
,,Level 33,grouping,Level 33,,,
,,Circle,grouping,Circle,,,
,,L33-001,,L33-001,Circle,Level 33,Site QA
,,L33-002,,L33-002,Circle,Level 33,Site QA
,,L33-003,,L33-003,Circle,Level 33,Site QA
,,L33-004,,L33-004,Circle,Level 33,Site QA
,,L33-005,,L33-005,Circle,Level 33,Site QA
,,L33-010,,L33-010,Circle,Level 33,Site QA
,,L33-011,,L33-011,Circle,Level 33,Site QA
,,L33-012,,L33-012,Circle,Level 33,Site QA
,,L33-013,,L33-013,Circle,Level 33,Site QA
,,L33-014,,L33-014,Circle,Level 33,Site QA
,,L33-041,,L33-041,Circle,Level 33,Site QA
,,L33-042,,L33-042,Circle,Level 33,Site QA
,,L33-043,,L33-043,Circle,Level 33,Site QA
,,L33-044,,L33-044,Circle,Level 33,Site QA
,,L33-049,,L33-049,Circle,Level 33,Site QA
,,L33-050,,L33-050,Circle,Level 33,Site QA
,,L33-051,,L33-051,Circle,Level 33,Site QA
,,L33-052,,L33-052,Circle,Level 33,Site QA
,,L33-053,,L33-053,Circle,Level 33,Site QA
,,L33-054,,L33-054,Circle,Level 33,Site QA
,,L33-055,,L33-055,Circle,Level 33,Site QA
,,L33-056,,L33-056,Circle,Level 33,Site QA
,,L33-057,,L33-057,Circle,Level 33,Site QA
,,L33-058,,L33-058,Circle,Level 33,Site QA
,,L33-059,,L33-059,Circle,Level 33,Site QA
,,L33-060,,L33-060,Circle,Level 33,Site QA
,,L33-061,,L33-061,Circle,Level 33,Site QA
,,L33-062,,L33-062,Circle,Level 33,Site QA
,,L33-063,,L33-063,Circle,Level 33,Site QA
,,L33-068,,L33-068,Circle,Level 33,Site QA
,,L33-069,,L33-069,Circle,Level 33,Site QA
,,L33-070,,L33-070,Circle,Level 33,Site QA
,,L33-071,,L33-071,Circle,Level 33,Site QA
,,L33-072,,L33-072,Circle,Level 33,Site QA
,,L33-073,,L33-073,Circle,Level 33,Site QA
,,L33-074,,L33-074,Circle,Level 33,Site QA
,,L33-075,,L33-075,Circle,Level 33,Site QA
,,L33-076,,L33-076,Circle,Level 33,Site QA
,,L33-077,,L33-077,Circle,Level 33,Site QA
,,L33-078,,L33-078,Circle,Level 33,Site QA
,,L33-079,,L33-079,Circle,Level 33,Site QA
,,L33-080,,L33-080,Circle,Level 33,Site QA
