"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"8a589fc5-bd7d-4990-836b-c23d33121433","","not-started","CHECK-006 Daily Prestart","checklist","FALSE","FALSE","Daily Prestart","July 2024","01/07/2024"
"c517109d-e2b5-493f-9dee-031a0e882913","","not-started","CHECK-006 Daily Prestart","checklist","FALSE","FALSE","Daily Prestart","July 2024","02/07/2024"
"2f0e4654-fd75-4f04-9956-e686b7353104","","not-started","CHECK-006 Daily Prestart","checklist","FALSE","FALSE","Daily Prestart","July 2024","03/07/2024"
"f557ba41-d5bd-4a81-bdec-6b086a2196c3","","not-started","CHECK-006 Daily Prestart","checklist","FALSE","FALSE","Daily Prestart","July 2024","05/07/2024"
"d3ba5656-9ab0-4f26-bbbd-e6c77a0536fa","","not-started","CHECK-006 Daily Prestart","checklist","FALSE","FALSE","Daily Prestart","July 2024","08/07/2024"
"c804df12-5dc9-4cc4-80c4-352db2727af9","","not-started","CHECK-006 Daily Prestart","checklist","FALSE","FALSE","Daily Prestart","July 2024","09/07/2024"
"d48e0446-cdaa-4df1-8d9f-a67922e5e43f","","not-started","CHECK-006 Daily Prestart","checklist","FALSE","FALSE","Daily Prestart","July 2024","10/07/2024"
"8af1d5a4-7a3a-4983-bacf-75072489e889","","not-started","CHECK-006 Daily Prestart","checklist","FALSE","FALSE","Daily Prestart","July 2024","11/07/2024"
"b2a1c426-ea56-4f98-b7fb-73d429424ff3","","not-started","CHECK-006 Daily Prestart","checklist","FALSE","FALSE","Daily Prestart","July 2024","12/07/2024"
"649d27e0-2826-46af-83f9-c4e374e24589","","not-started","CHECK-006 Daily Prestart","checklist","FALSE","FALSE","Daily Prestart","July 2024","15/07/2024"
"8f7c66d9-246c-4053-9c64-9c4bd294b8c4","","not-started","CHECK-006 Daily Prestart","checklist","FALSE","FALSE","Daily Prestart","July 2024","16/07/2024"
"f733e476-d584-49dc-998c-c58cd1f75700","","not-started","CHECK-006 Daily Prestart","checklist","FALSE","FALSE","Daily Prestart","July 2024","17/07/2024"
"78f445e6-55bb-4eb1-89bc-a7c6546d4f9f","","not-started","CHECK-006 Daily Prestart","checklist","FALSE","FALSE","Daily Prestart","July 2024","18/07/2024"
"336a173e-0baa-44e6-b529-af90420dafae","","not-started","CHECK-006 Daily Prestart","checklist","FALSE","FALSE","Daily Prestart","July 2024","19/07/2024"
"9489c041-3091-4a1f-ab17-0735a7fe9689","","not-started","CHECK-006 Daily Prestart","checklist","FALSE","FALSE","Daily Prestart","July 2024","22/07/2024"
"fd434a6f-b79f-41c0-83c0-db3edacb875d","","not-started","CHECK-006 Daily Prestart","checklist","FALSE","FALSE","Daily Prestart","July 2024","23/07/2024"
"b55fc071-0678-4c60-bcf8-536191a924da","","not-started","CHECK-006 Daily Prestart","checklist","FALSE","FALSE","Daily Prestart","July 2024","24/07/2024"
"18627fcc-de95-4afd-a97d-336d8e204134","","not-started","CHECK-006 Daily Prestart","checklist","FALSE","FALSE","Daily Prestart","July 2024","25/07/2024"
"7c8a87cb-fb6b-4298-ae3f-6a414992e097","","not-started","CHECK-006 Daily Prestart","checklist","FALSE","FALSE","Daily Prestart","July 2024","26/07/2024"
"5ec2fbf7-1e89-4938-82d4-88422ec64d71","","not-started","","folder","TRUE","FALSE","Daily Prestart","Plant and Equipment"
"ff7c3bbe-48df-4ab6-b3ad-36559e29117d","","not-started","CHECK-004 Prestart Plant and Equipment","checklist","FALSE","FALSE","Daily Prestart","Plant and Equipment","CHECK-004 Prestart Plant and Equipment"
"5aea8830-ca33-4262-9d1b-157f86d4a2b1","","not-started","CHECK-004 Prestart Plant and Equipment","checklist","FALSE","FALSE","Daily Prestart","Plant and Equipment","CHECK-004 Prestart Plant and Equipment"
"5a398024-32d8-4485-8aa7-f64a6c427668","","not-started","CHECK-004 Prestart Plant and Equipment","checklist","FALSE","FALSE","Daily Prestart","Plant and Equipment","CHECK-004 Prestart Plant and Equipment"
"fbe3266f-34f6-4734-b46e-ab0b6258411a","","not-started","CHECK-004 Prestart Plant and Equipment","checklist","FALSE","FALSE","Daily Prestart","Plant and Equipment","CHECK-004 Prestart Plant and Equipment"
"d1fd96e4-93ef-4c29-8562-f8daaecb317e","","not-started","","folder","TRUE","FALSE","Site EOD"
"6808f300-d448-4d95-82a0-aa795a7ef08e","","not-started","","folder","TRUE","FALSE","Site EOD","June 2024"
"828abded-2a57-400e-af01-45a2347d84de","","not-started","CHECK-005 Site EOD","checklist","FALSE","FALSE","Site EOD","June 2024","04/06/2024"
