"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"193a5374-22c7-4e46-b5bf-978df5510b6e","","work-in-progress","010SAF_08 SWMS","checklist","FALSE","FALSE","SWMS"
"02abac51-f17c-46c8-bf43-96859c490843","","work-in-progress","","folder","TRUE","FALSE","Prestarts"
"22c93151-5da7-4a77-ab5c-a0522953659e","","pass","","folder","TRUE","FALSE","Prestarts","April 2024"
"cc6accf4-6e06-4ab1-b04f-debf3610914d","","pass","CHECK-006 Daily Prestart","checklist","FALSE","FALSE","Prestarts","April 2024","30/04/2024"
"ec22f27c-ae81-4242-a615-6178cb9042b8","","pass","","folder","TRUE","FALSE","Prestarts","May 2024"
"99bac747-1fa6-43a9-b6e3-c66773023a1e","","pass","CHECK-006 Daily Prestart","checklist","FALSE","FALSE","Prestarts","May 2024","01/05/2024"
"c193b4ee-348a-45d2-b7b2-9c31c3b2881c","","pass","CHECK-006 Daily Prestart","checklist","FALSE","FALSE","Prestarts","May 2024","02/05/2024"
"1bb340b7-e2fe-45a2-8424-dc4225abb50c","","pass","CHECK-006 Daily Prestart","checklist","FALSE","FALSE","Prestarts","May 2024","4/05/2024"
"b3ef43e7-9118-44ee-a719-7bcb05cf989f","","pass","CHECK-006 Daily Prestart","checklist","FALSE","FALSE","Prestarts","May 2024","07/05/2024"
"3ab405ed-66a6-45f9-b320-a0fd95b774ec","","pass","CHECK-006 Daily Prestart","checklist","FALSE","FALSE","Prestarts","May 2024","08/05/2024"
"baf910e0-9763-4042-9658-1d765e7b700b","","pass","CHECK-006 Daily Prestart","checklist","FALSE","FALSE","Prestarts","May 2024","09/05/2024"
"2d5faad3-90b2-46de-a618-f1d5b3c37d96","","pass","CHECK-006 Daily Prestart","checklist","FALSE","FALSE","Prestarts","May 2024","10/05/2024"
"f0baba00-29da-442f-8e5f-57bad9861f9e","","pass","CHECK-006 Daily Prestart","checklist","FALSE","FALSE","Prestarts","May 2024","15/05/2024"
"29073baa-c29b-473b-8910-a76565a90c30","","pass","CHECK-006 Daily Prestart","checklist","FALSE","FALSE","Prestarts","May 2024","16/05/2024"
"6e2251d9-df0f-44de-b71c-f8952196129c","","pass","CHECK-006 Daily Prestart","checklist","FALSE","FALSE","Prestarts","May 2024","17/05/2024"
"f299aa3b-528f-4446-b5dd-484b6eba6199","","pass","CHECK-006 Daily Prestart","checklist","FALSE","FALSE","Prestarts","May 2024","18/05/2024"
"11bfa079-a8e4-45c3-8f69-ccdcc0ff805a","","pass","CHECK-006 Daily Prestart","checklist","FALSE","FALSE","Prestarts","May 2024","20/05/2024"
"f089d50e-9f42-47fb-874d-e1b75b76c549","","pass","CHECK-006 Daily Prestart","checklist","FALSE","FALSE","Prestarts","May 2024","27/05/2024"
"cecba126-28c6-4fde-bb0f-0418431ae7bc","","pass","CHECK-006 Daily Prestart","checklist","FALSE","FALSE","Prestarts","May 2024","28/05/2024"
"527b1118-5e8c-454a-90d3-9157069b9f13","","pass","CHECK-006 Daily Prestart","checklist","FALSE","FALSE","Prestarts","May 2024","29/05/2024"
"cc6d341b-b101-478f-b496-832aaea0f26a","","pass","CHECK-006 Daily Prestart","checklist","FALSE","FALSE","Prestarts","May 2024","30/05/2024"
"ef4643b8-1591-4ed0-846e-2df1bc813318","","pass","CHECK-006 Daily Prestart","checklist","FALSE","FALSE","Prestarts","May 2024","31/05/2024"
"01d9dbd9-7a87-4386-9061-bd5ca9479cae","","work-in-progress","","folder","TRUE","FALSE","Prestarts","June 2024"
"ce37dc98-30f6-4164-8407-7567c699668c","","pass","CHECK-006 Daily Prestart","checklist","FALSE","FALSE","Prestarts","June 2024","03/06/2024"
"cbe42953-5086-4eab-857b-52b1c3f2c0bf","","pass","CHECK-006 Daily Prestart","checklist","FALSE","FALSE","Prestarts","June 2024","04/06/2024"
"8a6f2b7e-00a2-4df6-9484-c9dec0fec72f","","pass","CHECK-006 Daily Prestart","checklist","FALSE","FALSE","Prestarts","June 2024","06/06/2024"
"0d39c04b-2035-4196-a505-2fe260b12a92","","pass","CHECK-006 Daily Prestart","checklist","FALSE","FALSE","Prestarts","June 2024","07/05/2024"
"aad114a9-59b6-48f3-9b2c-251693a58524","","pass","CHECK-006 Daily Prestart","checklist","FALSE","FALSE","Prestarts","June 2024","11/05/2024"
"7a4489de-d404-4552-a0c0-21b96939e33d","","pass","CHECK-006 Daily Prestart","checklist","FALSE","FALSE","Prestarts","June 2024","12/05/2024"
"4cd300f5-f621-489b-bcee-c3e67f01dc1d","","pass","CHECK-006 Daily Prestart","checklist","FALSE","FALSE","Prestarts","June 2024","13/05/2024"
"753295a8-9296-4a41-80f3-8e730b0ceca4","","pass","CHECK-006 Daily Prestart","checklist","FALSE","FALSE","Prestarts","June 2024","17/05/2024"
"a24a9707-dc22-4b22-8f71-a5a0811399a4","","pass","CHECK-006 Daily Prestart","checklist","FALSE","FALSE","Prestarts","June 2024","18/05/2024"
"dc48809f-5321-4110-8a4b-83dcaf5adcb0","","not-started","CHECK-006 Daily Prestart","checklist","FALSE","FALSE","Prestarts","June 2024","19/05/2024"
"dea55b02-4c59-4a07-ae00-2c35f3909b63","","not-started","CHECK-006 Daily Prestart","checklist","FALSE","FALSE","Prestarts","June 2024","20/05/2024"
"9e4055fd-def1-497a-a231-96864321ae71","","not-started","CHECK-006 Daily Prestart","checklist","FALSE","FALSE","Prestarts","June 2024","21/05/2024"
"388c6ca8-523a-4677-a0d0-ef4be20a5a63","","not-started","CHECK-006 Daily Prestart","checklist","FALSE","FALSE","Prestarts","June 2024","24/05/2024"
"f304feb6-2152-4e11-a6c4-1cc38f3df0c6","","not-started","010SAF_08 SWMS","checklist","FALSE","FALSE","Prestarts","June 2024","25/05/2024"
"b49264fe-981c-4022-9b35-27d559682edc","","not-started","010SAF_08 SWMS","checklist","FALSE","FALSE","Prestarts","June 2024","26/05/2024"
"501458f5-9533-40ce-9e50-b4cb7e9ec579","","not-started","010SAF_08 SWMS","checklist","FALSE","FALSE","Prestarts","June 2024","27/05/2024"
"b7ef772f-29a8-43cd-a6a4-7ea0065ac833","","not-started","010SAF_08 SWMS","checklist","FALSE","FALSE","Prestarts","June 2024","28/05/2024"
"6a24512f-1bb0-4853-bbe3-ea857972d1e7","","not-started","CHECK-006 Daily Prestart","checklist","FALSE","FALSE","Prestarts","June 2024","04/07/2024"
"2c26f1c7-c0f7-4b8c-ab06-0c6f97e51808","","not-started","","folder","TRUE","FALSE","Prestarts","July 2024"
"3a44f6df-5a8c-4f69-a6a0-27abcf379dcf","","not-started","CHECK-006 Daily Prestart","checklist","FALSE","FALSE","Prestarts","July 2024","01/07/2024"
"7df951a8-a257-467f-a943-39eabfc110d5","","not-started","CHECK-006 Daily Prestart","checklist","FALSE","FALSE","Prestarts","July 2024","02/07/2024"
"c65317d6-a338-4174-b8ed-1695bc2ae2dc","","not-started","CHECK-006 Daily Prestart","checklist","FALSE","FALSE","Prestarts","July 2024","03/07/2024"
"aa4a267a-6d3f-4ef5-a6f7-b788c576991a","","not-started","CHECK-006 Daily Prestart","checklist","FALSE","FALSE","Prestarts","July 2024","04/07/2024"
"962cf32e-74eb-4cbe-96e9-61fc4e7b6297","","not-started","CHECK-006 Daily Prestart","checklist","FALSE","FALSE","Prestarts","July 2024","05/07/2024"
"48e4a924-30d3-475b-b3d5-415daba0dbbe","","not-started","CHECK-006 Daily Prestart","checklist","FALSE","FALSE","Prestarts","July 2024","08/07/2024"
