"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"ab6c7918-7310-4ca4-9ab8-7809a7c38097","","folder-normal","pass","","step","TRUE","FALSE","Level 8"
"f4285936-4a5d-40bc-8d85-0df29f1db260","","checklist-sectioned","pass","f375ec233ed2f5893da1903096d757a30ced3de7471a288ed2ff602b3a25747d","checklist","FALSE","FALSE","Level 8","8a-01"
"a40d8053-c237-4055-95be-bf2f7deae8e3","","checklist-sectioned","pass","f375ec233ed2f5893da1903096d757a30ced3de7471a288ed2ff602b3a25747d","checklist","FALSE","FALSE","Level 8","8b-01"
"69052f84-35e5-4c7a-ae5e-08d8ad068765","","checklist-sectioned","pass","f375ec233ed2f5893da1903096d757a30ced3de7471a288ed2ff602b3a25747d","checklist","FALSE","FALSE","Level 8","8c-01"
"a4fd2046-bf27-4a44-b04b-a8fd416b2267","","checklist-sectioned","pass","f375ec233ed2f5893da1903096d757a30ced3de7471a288ed2ff602b3a25747d","checklist","FALSE","FALSE","Level 8","8d-01"
"95afbcb2-cfdd-4bec-bad5-555096d9ab8a","","checklist-sectioned","pass","7d050428083ce5dd79f825a144d759288127b9ee543d0835509745daf16074e6","checklist","FALSE","FALSE","Level 8","L8-LD02"
"d380b84d-4ea7-4a78-ad44-ddb255126036","","checklist-sectioned","pass","7d050428083ce5dd79f825a144d759288127b9ee543d0835509745daf16074e6","checklist","FALSE","FALSE","Level 8","L8-LD02A"
"f1ad2e7b-c816-4b22-9eab-df8630e44d1d","","folder-normal","pass","","step","TRUE","FALSE","Level 9"
"be20a3f1-02fa-4d94-be50-bde6265c68e4","","checklist-sectioned","pass","f375ec233ed2f5893da1903096d757a30ced3de7471a288ed2ff602b3a25747d","checklist","FALSE","FALSE","Level 9","9a-01"
"167af728-db38-4522-b5e1-a2ce14a3cdad","","checklist-sectioned","pass","f375ec233ed2f5893da1903096d757a30ced3de7471a288ed2ff602b3a25747d","checklist","FALSE","FALSE","Level 9","9b-01"
"6fffd7d4-bf55-45aa-a566-ac9e251c38bd","","checklist-sectioned","pass","f375ec233ed2f5893da1903096d757a30ced3de7471a288ed2ff602b3a25747d","checklist","FALSE","FALSE","Level 9","9c-01"
"d413d533-8231-47ef-9faf-2ab457b17259","","checklist-sectioned","pass","f375ec233ed2f5893da1903096d757a30ced3de7471a288ed2ff602b3a25747d","checklist","FALSE","FALSE","Level 9","9d-01"
"c70be6c4-007d-47ba-8ef6-1d8cb0d0b3a6","","checklist-sectioned","pass","f375ec233ed2f5893da1903096d757a30ced3de7471a288ed2ff602b3a25747d","checklist","FALSE","FALSE","Level 9","9e-01"
"9d95a9c2-6133-4842-b4fe-3a9bab080b26","","folder-normal","pass","","step","TRUE","FALSE","Level 10"
"8c6bfa92-e10c-4005-992b-2a07ec2467f7","","checklist-sectioned","pass","f375ec233ed2f5893da1903096d757a30ced3de7471a288ed2ff602b3a25747d","checklist","FALSE","FALSE","Level 10","10a-01"
"9dc1eea9-f601-4cf2-bd46-b7f91168170a","","checklist-sectioned","pass","f375ec233ed2f5893da1903096d757a30ced3de7471a288ed2ff602b3a25747d","checklist","FALSE","FALSE","Level 10","10b-01"
