"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"bd0a0d16-6ca4-4029-b255-4e425ee24c87","","folder-normal","work-in-progress","","step","TRUE","FALSE","Building 3"
"c3c83dc9-f908-437b-9bce-7073b3c6ed6e","","checklist-sectioned","pass","3441e3117ef1c238567446840ef1aebac4d8d483aa3dc6708176c9ab59ed61a6","checklist","FALSE","FALSE","Building 3","B3-LID-01"
"6ee9bdad-dc2d-4ef4-91e3-43fb82747e67","","checklist-sectioned","pass","3441e3117ef1c238567446840ef1aebac4d8d483aa3dc6708176c9ab59ed61a6","checklist","FALSE","FALSE","Building 3","B3-LID-02"
"79b744f3-37b2-481b-bcf3-21ccd93a51e5","","checklist-sectioned","pass","3441e3117ef1c238567446840ef1aebac4d8d483aa3dc6708176c9ab59ed61a6","checklist","FALSE","FALSE","Building 3","B3-LID-03"
"16c5f593-96df-46a4-bf05-9031ac9b2e0c","","checklist-sectioned","pass","3441e3117ef1c238567446840ef1aebac4d8d483aa3dc6708176c9ab59ed61a6","checklist","FALSE","FALSE","Building 3","B3-LID-04"
"f9f2f3f7-1e40-49c0-af48-2385e65c6657","","checklist-sectioned","pass","3441e3117ef1c238567446840ef1aebac4d8d483aa3dc6708176c9ab59ed61a6","checklist","FALSE","FALSE","Building 3","B3-LID-05"
"b71aca79-4db8-4cbb-8994-b905518e8db0","","checklist-sectioned","not-started","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Building 3","B3-LID-06"
"e6a6e1be-4e0e-4245-b5d4-3cfade907c93","","checklist-sectioned","not-started","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Building 3","B3-LID-07"
"f84a0a76-6874-493b-8eeb-b3fdcdc3db0b","","folder-normal","pass","","step","TRUE","FALSE","Building 4"
"9a662638-1386-49f6-959b-3901ffeb0c36","","checklist-sectioned","pass","aeac63b1c7e13c58bf6ba6e2dde239fa925cd495b61cef6f89365f97b21d43c7","checklist","FALSE","FALSE","Building 4","B4-LID-06"
"a9968f0c-18dd-427e-a76e-b8fbeddb16c3","","checklist-sectioned","pass","aeac63b1c7e13c58bf6ba6e2dde239fa925cd495b61cef6f89365f97b21d43c7","checklist","FALSE","FALSE","Building 4","B4-LID-07"
"d9699258-d5f1-469e-8b3e-f1634aee4592","","folder-normal","pass","","step","TRUE","FALSE","Building 5"
"1fd23fb9-b34a-4bef-ab01-d4880e6e8a69","","checklist-sectioned","pass","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Building 5","5-LID01A"
"fb3be2b0-de2a-4bb2-aabd-9f06fe4e598a","","checklist-sectioned","pass","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Building 5","5-LID01B"
"77adc181-a812-4df7-bea4-81f26cf7dc66","","checklist-sectioned","pass","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Building 5","5-LID02A"
"e19b6dbf-207b-4b0c-a6e8-f24575e789f6","","checklist-sectioned","pass","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Building 5","5-LID02B"
