"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"e486c396-d7b3-4e34-8478-7bd143c482c5","","folder-normal","fail","","step","TRUE","FALSE","Ground Floor"
"957de76e-540a-40ea-a0f9-198c62ba135f","","checklist-sectioned","pass","3441e3117ef1c238567446840ef1aebac4d8d483aa3dc6708176c9ab59ed61a6","checklist","FALSE","FALSE","Ground Floor","G-001"
"cc8af621-3300-4661-bc71-2d2df275b5eb","","checklist-sectioned","pass","3441e3117ef1c238567446840ef1aebac4d8d483aa3dc6708176c9ab59ed61a6","checklist","FALSE","FALSE","Ground Floor","G-002"
"782db9bc-b34c-4aef-8607-369afdf0e098","","checklist-sectioned","pass","3441e3117ef1c238567446840ef1aebac4d8d483aa3dc6708176c9ab59ed61a6","checklist","FALSE","FALSE","Ground Floor","G-003"
"5228cd6e-7b9a-4ba2-9bec-9ed792e19b6a","","checklist-sectioned","pass","3441e3117ef1c238567446840ef1aebac4d8d483aa3dc6708176c9ab59ed61a6","checklist","FALSE","FALSE","Ground Floor","G-004"
"5f39fff0-216b-4300-abb5-c8e27cf00d1f","","checklist-sectioned","pass","3441e3117ef1c238567446840ef1aebac4d8d483aa3dc6708176c9ab59ed61a6","checklist","FALSE","FALSE","Ground Floor","G-005"
"e565e5c6-f69c-4d8a-b18b-ffa3a60005c8","","checklist-sectioned","pass","3441e3117ef1c238567446840ef1aebac4d8d483aa3dc6708176c9ab59ed61a6","checklist","FALSE","FALSE","Ground Floor","G-006"
"a3954f77-7391-4909-8027-9101b26a232b","","checklist-sectioned","pass","3441e3117ef1c238567446840ef1aebac4d8d483aa3dc6708176c9ab59ed61a6","checklist","FALSE","FALSE","Ground Floor","G-007"
"65cc1b75-c066-4a8e-8338-b03ca038b2b7","","checklist-sectioned","pass","3441e3117ef1c238567446840ef1aebac4d8d483aa3dc6708176c9ab59ed61a6","checklist","FALSE","FALSE","Ground Floor","G-008"
"e7195fb1-f7f6-421d-b888-8c1e2220e851","","checklist-sectioned","pass","3441e3117ef1c238567446840ef1aebac4d8d483aa3dc6708176c9ab59ed61a6","checklist","FALSE","FALSE","Ground Floor","G-009"
"471ebc4e-6fdf-4f9a-826a-b50e01667f78","","checklist-sectioned","pass","3441e3117ef1c238567446840ef1aebac4d8d483aa3dc6708176c9ab59ed61a6","checklist","FALSE","FALSE","Ground Floor","G-010"
"0c2308a1-f86a-4f80-a6cd-1a23ab0f5e5f","","checklist-sectioned","fail","3441e3117ef1c238567446840ef1aebac4d8d483aa3dc6708176c9ab59ed61a6","checklist","FALSE","FALSE","Ground Floor","G-011"
"0a7796af-6650-4822-a2cb-e88a92f1e446","","checklist-sectioned","pass","3441e3117ef1c238567446840ef1aebac4d8d483aa3dc6708176c9ab59ed61a6","checklist","FALSE","FALSE","Ground Floor","G-012"
"da6db07c-beff-40cb-8175-7dbf0a3fe4c6","","checklist-sectioned","pass","3441e3117ef1c238567446840ef1aebac4d8d483aa3dc6708176c9ab59ed61a6","checklist","FALSE","FALSE","Ground Floor","G-013"
"ef387118-268f-45db-8539-b77e0470cdef","","checklist-sectioned","pass","3441e3117ef1c238567446840ef1aebac4d8d483aa3dc6708176c9ab59ed61a6","checklist","FALSE","FALSE","Ground Floor","G-014"
"b1e2dd73-06f4-440f-9705-0f84d2580395","","checklist-sectioned","pass","3441e3117ef1c238567446840ef1aebac4d8d483aa3dc6708176c9ab59ed61a6","checklist","FALSE","FALSE","Ground Floor","G-015"
"958e04f0-11d8-4b18-bf75-273146fdd9aa","","checklist-sectioned","pass","3441e3117ef1c238567446840ef1aebac4d8d483aa3dc6708176c9ab59ed61a6","checklist","FALSE","FALSE","Ground Floor","G-016"
"25f6e660-1d81-4d1f-9103-9e9560e4ba82","","checklist-sectioned","pass","3441e3117ef1c238567446840ef1aebac4d8d483aa3dc6708176c9ab59ed61a6","checklist","FALSE","FALSE","Ground Floor","G-017"
"5fa32e3e-478a-42bd-ab97-401ecc69eced","","checklist-sectioned","pass","3441e3117ef1c238567446840ef1aebac4d8d483aa3dc6708176c9ab59ed61a6","checklist","FALSE","FALSE","Ground Floor","G-018"
"0d6ef050-0779-48ee-b738-e4e6dfe44d84","","checklist-sectioned","pass","3441e3117ef1c238567446840ef1aebac4d8d483aa3dc6708176c9ab59ed61a6","checklist","FALSE","FALSE","Ground Floor","G-019"
"4e03f409-4fb7-4361-95a1-da6e71be8f95","","checklist-sectioned","pass","3441e3117ef1c238567446840ef1aebac4d8d483aa3dc6708176c9ab59ed61a6","checklist","FALSE","FALSE","Ground Floor","G-020"
"3d687c05-cac1-432a-9243-21babea20e93","","checklist-sectioned","pass","3441e3117ef1c238567446840ef1aebac4d8d483aa3dc6708176c9ab59ed61a6","checklist","FALSE","FALSE","Ground Floor","G-021"
"bc9edaf1-4108-4bff-9c04-33320a934e8e","","checklist-sectioned","pass","3441e3117ef1c238567446840ef1aebac4d8d483aa3dc6708176c9ab59ed61a6","checklist","FALSE","FALSE","Ground Floor","G-022"
"2a3e8e0a-845f-436b-9f70-d6db8a71514b","","checklist-sectioned","pass","3441e3117ef1c238567446840ef1aebac4d8d483aa3dc6708176c9ab59ed61a6","checklist","FALSE","FALSE","Ground Floor","G-023"
"7a6b738c-6b52-4c19-9604-c879ccc8e266","","checklist-sectioned","pass","3441e3117ef1c238567446840ef1aebac4d8d483aa3dc6708176c9ab59ed61a6","checklist","FALSE","FALSE","Ground Floor","G-024"
"93b1d243-5398-4223-97c1-7c2c65e4a039","","checklist-sectioned","pass","3441e3117ef1c238567446840ef1aebac4d8d483aa3dc6708176c9ab59ed61a6","checklist","FALSE","FALSE","Ground Floor","G-025"
"740a328c-305b-452a-883a-c9e07b73253a","","checklist-sectioned","pass","3441e3117ef1c238567446840ef1aebac4d8d483aa3dc6708176c9ab59ed61a6","checklist","FALSE","FALSE","Ground Floor","G-026"
"795028a7-41c4-4177-8e62-b23752e275f0","","checklist-sectioned","pass","3441e3117ef1c238567446840ef1aebac4d8d483aa3dc6708176c9ab59ed61a6","checklist","FALSE","FALSE","Ground Floor","G-027"
"df5dbba5-0f25-4234-8820-87f7745c7f45","","checklist-sectioned","pass","3441e3117ef1c238567446840ef1aebac4d8d483aa3dc6708176c9ab59ed61a6","checklist","FALSE","FALSE","Ground Floor","G-028"
"1feb4e11-e885-4397-be5d-f8808d1f4ae8","","checklist-sectioned","pass","3441e3117ef1c238567446840ef1aebac4d8d483aa3dc6708176c9ab59ed61a6","checklist","FALSE","FALSE","Ground Floor","G-029"
