"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"1c4abe52-d083-460e-809b-fb7a98197fd1","","checklist-sectioned","pass","b7026687d54b1a4a40545e41482ab53c859d76c51573fb05123951a011b6ceb7","checklist","FALSE","FALSE","Building A","Ground Floor","G-P18"
"fffdc0b8-ea35-4b94-a6c2-cc9a85ea6bb0","","checklist-sectioned","pass","b7026687d54b1a4a40545e41482ab53c859d76c51573fb05123951a011b6ceb7","checklist","FALSE","FALSE","Building A","Ground Floor","G-P19"
"1e5821e2-8229-4a0d-a886-67aeb48c9fc1","","checklist-sectioned","pass","b7026687d54b1a4a40545e41482ab53c859d76c51573fb05123951a011b6ceb7","checklist","FALSE","FALSE","Building A","Ground Floor","G-P20"
"d5a4a999-91cd-47da-9f90-33fce2a48495","","checklist-sectioned","pass","b7026687d54b1a4a40545e41482ab53c859d76c51573fb05123951a011b6ceb7","checklist","FALSE","FALSE","Building A","Ground Floor","G-P21"
"47e78a36-f9ef-4174-abc0-becd7da524ec","","checklist-sectioned","pass","b7026687d54b1a4a40545e41482ab53c859d76c51573fb05123951a011b6ceb7","checklist","FALSE","FALSE","Building A","Ground Floor","G-P22"
"8da65794-5fcc-4c19-adfe-a9a9359e0c08","","checklist-sectioned","pass","b7026687d54b1a4a40545e41482ab53c859d76c51573fb05123951a011b6ceb7","checklist","FALSE","FALSE","Building A","Ground Floor","G-P23"
"d85a3c6c-37a6-422a-b545-dedd49852af6","","checklist-sectioned","pass","b7026687d54b1a4a40545e41482ab53c859d76c51573fb05123951a011b6ceb7","checklist","FALSE","FALSE","Building A","Ground Floor","G-P24"
"134aff5f-3f0c-4c00-a104-5f5bced1264f","","checklist-sectioned","pass","b7026687d54b1a4a40545e41482ab53c859d76c51573fb05123951a011b6ceb7","checklist","FALSE","FALSE","Building A","Ground Floor","G-P25"
"a118b570-c07a-4d4f-b20a-c2e650974017","","checklist-sectioned","pass","b7026687d54b1a4a40545e41482ab53c859d76c51573fb05123951a011b6ceb7","checklist","FALSE","FALSE","Building A","Ground Floor","G-P26"
"1e2b155d-8f7d-4c2c-855e-89511a319dbc","","checklist-sectioned","pass","b7026687d54b1a4a40545e41482ab53c859d76c51573fb05123951a011b6ceb7","checklist","FALSE","FALSE","Building A","Ground Floor","G-P27"
"3bd4d738-c3d5-4bde-9a80-0b46893f7fc5","","checklist-sectioned","pass","b7026687d54b1a4a40545e41482ab53c859d76c51573fb05123951a011b6ceb7","checklist","FALSE","FALSE","Building A","Ground Floor","G-P28"
"02d96ba3-b944-46df-bec9-010d7779a8d4","","checklist-sectioned","pass","b7026687d54b1a4a40545e41482ab53c859d76c51573fb05123951a011b6ceb7","checklist","FALSE","FALSE","Building A","Ground Floor","G-P29"
"bc6753bf-dc97-4d68-9737-b6b3ff92dcca","","checklist-sectioned","pass","b7026687d54b1a4a40545e41482ab53c859d76c51573fb05123951a011b6ceb7","checklist","FALSE","FALSE","Building A","Ground Floor","G-P30"
"a3e4bb99-23c2-4514-8e56-5f9294c1db51","","checklist-sectioned","pass","b7026687d54b1a4a40545e41482ab53c859d76c51573fb05123951a011b6ceb7","checklist","FALSE","FALSE","Building A","Ground Floor","G-P31"
"d0aacd9f-6c34-445f-9244-f1c934e728d7","","checklist-sectioned","pass","b7026687d54b1a4a40545e41482ab53c859d76c51573fb05123951a011b6ceb7","checklist","FALSE","FALSE","Building A","Ground Floor","G-P32"
"efd584ae-b6f7-4479-811c-b120ebf3a33c","","checklist-sectioned","pass","b7026687d54b1a4a40545e41482ab53c859d76c51573fb05123951a011b6ceb7","checklist","FALSE","FALSE","Building A","Ground Floor","G-P33"
"a31e68d5-1a98-4bb7-b821-62fab7a4fbcb","","checklist-sectioned","pass","b7026687d54b1a4a40545e41482ab53c859d76c51573fb05123951a011b6ceb7","checklist","FALSE","FALSE","Building A","Ground Floor","G-P34"
"5e9a488f-f465-4271-8601-db2a7a25c09b","","checklist-sectioned","pass","b7026687d54b1a4a40545e41482ab53c859d76c51573fb05123951a011b6ceb7","checklist","FALSE","FALSE","Building A","Ground Floor","G-P35"
"c2c5031f-85bc-4e80-8a81-746f0bec53b2","","checklist-sectioned","pass","b7026687d54b1a4a40545e41482ab53c859d76c51573fb05123951a011b6ceb7","checklist","FALSE","FALSE","Building A","Ground Floor","G-P36"
"8c7dc6d0-234c-4e2d-81b8-21d60551e8d9","","checklist-sectioned","pass","b7026687d54b1a4a40545e41482ab53c859d76c51573fb05123951a011b6ceb7","checklist","FALSE","FALSE","Building A","Ground Floor","G-P37"
"d99b9d0f-09a8-4b04-a473-a5450432b4ac","","checklist-sectioned","pass","b7026687d54b1a4a40545e41482ab53c859d76c51573fb05123951a011b6ceb7","checklist","FALSE","FALSE","Building A","Ground Floor","G-P38"
"800c32b1-729d-4990-9cc4-9b19c6b81c5a","","checklist-sectioned","pass","b7026687d54b1a4a40545e41482ab53c859d76c51573fb05123951a011b6ceb7","checklist","FALSE","FALSE","Building A","Ground Floor","G-P39"
"7049c553-9dc8-44d5-a6f1-a327c960fe15","","checklist-sectioned","pass","3d3b478f415757f004a6357a493590072c302c0fdbaa7f742f66164e5b9eba4b","checklist","FALSE","FALSE","Building A","Ground Floor","G-P44"
"a1e037c8-57d5-419c-a285-3699082e43be","","checklist-sectioned","pass","3d3b478f415757f004a6357a493590072c302c0fdbaa7f742f66164e5b9eba4b","checklist","FALSE","FALSE","Building A","Ground Floor","G-P45"
"109b4ad9-bd39-4830-9913-19dce5f77885","","checklist-sectioned","pass","3d3b478f415757f004a6357a493590072c302c0fdbaa7f742f66164e5b9eba4b","checklist","FALSE","FALSE","Building A","Ground Floor","G-P46"
"b30f0cda-5950-429c-a260-cd0641d56fdc","","checklist-sectioned","pass","3d3b478f415757f004a6357a493590072c302c0fdbaa7f742f66164e5b9eba4b","checklist","FALSE","FALSE","Building A","Ground Floor","G-P46A"
"a635b9f4-bfae-43a4-85f0-becd7c5ada8e","","checklist-sectioned","pass","aacc925896771ac5a6e2f3f55a55a8f3831ae6808181e6198db184fe62fecb3c","checklist","FALSE","FALSE","Building A","Ground Floor","G-P47"
"d6211280-0481-4e92-9cb7-d1c803e806fa","","checklist-sectioned","pass","3d3b478f415757f004a6357a493590072c302c0fdbaa7f742f66164e5b9eba4b","checklist","FALSE","FALSE","Building A","Ground Floor","G-P48"
