"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"fb972a5a-184b-4d79-98d5-7ed964232030","","folder-normal","pass","","step","TRUE","FALSE","LID"
"db737fd7-a6fb-4ea5-bd5e-3baf5d9cb9a8","","checklist-sectioned","pass","18e0e8461ac2864fcd106a43fc6600e8608a9d0355d3afda55c2a7d24437d8e3","checklist","FALSE","FALSE","LID","LD01"
"f28b5ec9-d0d7-4fe6-bf76-c259a91de598","","folder-normal","not-started","","step","FALSE","FALSE","Variations"
"7c64fc2b-2389-48c9-960c-5f7cf73ecc98","","checklist-flat","not-started","96a2ab11de59cd971925dad4b88213d3a0182dc951cafa8db62df00cbeb7ff97","checklist-flat","FALSE","FALSE","Variations","Roof"
