"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"824a7aed-a697-42dc-8405-b35316d96706","","folder-normal","fail","","step","TRUE","FALSE","Ground Floor"
"3ffcc875-416b-41fc-8911-6e787ab17a20","","checklist-sectioned","pass","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Ground Floor","G-12"
"b24f0a25-f0e5-4c00-9ada-8ddf85051943","","checklist-sectioned","pass","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Ground Floor","G-13"
"11fcde12-48a8-4789-9d48-ee68a6e4a014","","checklist-sectioned","pass","18e0e8461ac2864fcd106a43fc6600e8608a9d0355d3afda55c2a7d24437d8e3","checklist","FALSE","FALSE","Ground Floor","G-14"
"a57519fa-8e33-43e5-8d4d-0aa04c6a41f7","","checklist-sectioned","pass","18e0e8461ac2864fcd106a43fc6600e8608a9d0355d3afda55c2a7d24437d8e3","checklist","FALSE","FALSE","Ground Floor","G-15"
"a22108ad-43ae-4828-84ea-450583955744","","checklist-sectioned","pass","18e0e8461ac2864fcd106a43fc6600e8608a9d0355d3afda55c2a7d24437d8e3","checklist","FALSE","FALSE","Ground Floor","G-16"
"c5c8eda6-29e7-4458-bde5-ebfa4aa8d97a","","checklist-sectioned","pass","18e0e8461ac2864fcd106a43fc6600e8608a9d0355d3afda55c2a7d24437d8e3","checklist","FALSE","FALSE","Ground Floor","G-17"
"fc68c9ce-1cc1-4d92-88f5-08e5f8810770","","checklist-sectioned","pass","18e0e8461ac2864fcd106a43fc6600e8608a9d0355d3afda55c2a7d24437d8e3","checklist","FALSE","FALSE","Ground Floor","G-18"
"902891d7-14ad-4261-9313-aabe38fee885","","checklist-sectioned","pass","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Ground Floor","Deadman-1"
"83020b7f-1e1e-46d9-99fe-e49ab968c471","","checklist-sectioned","pass","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Ground Floor","Deadman-2"
"6dd1d6bd-0467-4835-895f-a0faf9dbed24","","folder-normal","work-in-progress","","step","TRUE","FALSE","Level 1"
"0debb79b-f139-423e-994d-a1cbedbb9a3d","","checklist-sectioned","pass","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Level 1","L1-C01"
"c1e544b4-317b-49fd-8250-40cab27eaf42","","checklist-sectioned","pass","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Level 1","L1-C02"
"03cab1c8-ec7b-45e7-bc63-dd49c102d2b5","","checklist-sectioned","pass","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Level 1","L1-C03"
"f7993a59-0ea7-4b1e-97fe-700790c16839","","checklist-sectioned","pass","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Level 1","L1-C04"
"8af2ccb5-4f91-4ee6-b583-34230528d3bf","","checklist-sectioned","pass","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Level 1","L1-C05"
"38d555a3-6900-4b4c-9b0b-4210a6bd05c0","","checklist-sectioned","pass","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Level 1","L1-C06"
"694c74ad-f437-4fef-bef1-562d21400a42","","checklist-sectioned","work-in-progress","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Level 1","L1-C07"
"eb9c000b-5140-4d62-aa2c-7a008b82bc23","","checklist-sectioned","pass","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Level 1","L1-01"
"0bb1c4e9-899e-40d5-82e5-5116432e02d5","","checklist-sectioned","pass","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Level 1","L1-04"
"f5765b02-edf6-4de4-ab19-5ce0efac6588","","checklist-sectioned","pass","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Level 1","L1-07"
"b67820ab-4bcf-4553-8c0d-f9a2766481e3","","checklist-sectioned","pass","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Level 1","L1-10"
"ac72680e-c0e3-42b6-bcaa-5f085995b238","","checklist-sectioned","pass","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Level 1","L1-14"
"fc49c65c-c81e-4394-aee4-6e2648889fb2","","checklist-sectioned","pass","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Level 1","L1-17"
"1c816c88-33ad-4503-a7b1-c4982f5c5cfd","","checklist-sectioned","pass","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Level 1","L1-P19"
"b9c12af6-6db3-49ca-beae-f0f555bb8b1d","","checklist-sectioned","pass","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Level 1","L1-P20"
"d8021192-beb6-43a0-8c3f-27c0ca61f598","","checklist-sectioned","work-in-progress","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Level 1","L1-P21"
"426febd2-b048-4c1c-a017-a11c377f2fce","","checklist-sectioned","pass","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Level 1","L1-P22"
