"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"919881e3-e4ac-4404-8cf3-ec8493f7661d","","folder-normal","fail","","step","TRUE","FALSE","Basement 5"
"e48789a8-f366-451d-b196-651b098f5394","","checklist-sectioned","pass","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Basement 5","B5-01"
"0c86f5ec-8567-4811-a1ea-89cbca6ab263","","checklist-sectioned","fail","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Basement 5","B5-01(2)"
"6525e54c-a232-4b33-bd0e-776f91cd4371","","checklist-sectioned","pass","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Basement 5","B5-02"
"7f6d49cf-c100-42b0-80bf-bb3a5d0a40da","","checklist-sectioned","fail","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Basement 5","B5-02(2)"
"480d0d5e-9fb8-411f-b86f-f5e9f51f4891","","checklist-sectioned","pass","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Basement 5","B5-03"
"4e9fe408-1d16-402a-bf50-50611a2f02ab","","checklist-sectioned","fail","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Basement 5","B5-03(2)"
"6a3ea50b-0178-49cd-8b19-4eecde10aee1","","checklist-sectioned","pass","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Basement 5","B5-03A"
"0da0c16a-a4b0-42c0-b119-cb2c0c3c0fe1","","checklist-sectioned","fail","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Basement 5","B5-03A(2)"
"0a7eecad-7a2b-4f55-bf60-5180c98af001","","checklist-sectioned","pass","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Basement 5","B5-04"
"385fb255-6a86-4cfd-81fa-c41da98ce609","","checklist-sectioned","fail","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Basement 5","B5-04(2)"
"877450fd-fa23-4f8d-a83f-a70db9ef8345","","checklist-sectioned","pass","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Basement 5","B5-05"
"67e2e7cb-dbc6-476c-b262-93092774f537","","checklist-sectioned","fail","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Basement 5","B5-05(2)"
"8786afc8-1160-48c1-a692-43e67d0a6607","","checklist-sectioned","pass","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Basement 5","B5-06"
"ad458fb4-f876-41dc-9a51-c9bff1863873","","checklist-sectioned","fail","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Basement 5","B5-06(2)"
"327855bd-f8c8-4bb6-85a3-3cd234605cc3","","checklist-sectioned","pass","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Basement 5","B5-07"
"2466b810-6c63-45ca-ac27-d9ddeb675465","","checklist-sectioned","pass","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Basement 5","B5-08"
"71f99ba6-38d3-4f9b-a45c-8a82268aa455","","checklist-sectioned","pass","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Basement 5","B5-09"
"9c2f0f5f-e123-41de-9d76-4654c09f1f5c","","checklist-sectioned","pass","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Basement 5","B5-11"
"f7f8b52e-c5d6-4e16-8bf0-a5ed4e720ee0","","checklist-sectioned","fail","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Basement 5","B5-11(2)"
"5085f789-480b-43a7-beef-592296eb8c3d","","checklist-sectioned","pass","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Basement 5","B5-12"
"786f9f6f-a61a-4ba6-bbdb-d7f156e43faa","","checklist-sectioned","fail","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Basement 5","B5-12(2)"
"bf639f1d-689a-4a1c-8adb-f7235258b756","","checklist-sectioned","pass","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Basement 5","B5-13"
"c210971c-302c-4056-ab23-f6d3485abed0","","checklist-sectioned","fail","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Basement 5","B5-13(2)"
"0dd0d350-cb5f-4f41-b3d0-e543a2abe178","","checklist-sectioned","pass","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Basement 5","B5-14"
"4796c132-8d8d-409d-8a74-4381db11567b","","checklist-sectioned","fail","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Basement 5","B5-14(2)"
"e09c9ead-50b7-439d-ba94-7df3556bf049","","folder-normal","pass","","step","TRUE","FALSE","Basement 4"
"dae917a8-6883-4378-96a1-1d91ec352765","","checklist-sectioned","pass","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Basement 4","B4-01"
"ec27bd44-12cb-4a81-a053-bc7e2fc32d83","","checklist-sectioned","pass","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Basement 4","B4-02"
"b180740e-1d53-4070-a33a-2d1bf0df5b91","","checklist-sectioned","pass","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Basement 4","B4-03"
"30f0d888-1094-4b20-a916-8386a57ba116","","checklist-sectioned","pass","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Basement 4","B4-04"
"3a060571-3f10-4bdc-bfa6-3a1ed0f3adbf","","checklist-sectioned","pass","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Basement 4","B4-06"
