"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"fd44f24e-dbf5-492c-9c69-8aa42f5edf35","","folder-normal","fail","","step","TRUE","FALSE","Building A"
"d55a5baf-0625-4007-9d6c-aaa067c43a76","","folder-normal","pass","","step","TRUE","FALSE","Building A","Basement 1"
"6b772e93-36d5-420d-9491-6c3c03da866a","","checklist-sectioned","pass","0d7cc021392ddd0b1c0167cd424e65ec011894ff5c022c22b98f7bcd50f84d87","checklist","FALSE","FALSE","Building A","Basement 1","B1P02"
"06617496-0f65-4c03-8795-7a6b47612e62","","checklist-sectioned","pass","0d7cc021392ddd0b1c0167cd424e65ec011894ff5c022c22b98f7bcd50f84d87","checklist","FALSE","FALSE","Building A","Basement 1","B1P04"
"e54a7059-1c2d-4aab-8da0-5dfebf48c08f","","checklist-sectioned","pass","0d7cc021392ddd0b1c0167cd424e65ec011894ff5c022c22b98f7bcd50f84d87","checklist","FALSE","FALSE","Building A","Basement 1","B1P07"
"9db7539f-d3b2-4396-ae2a-6e64d47d29ed","","checklist-sectioned","pass","0d7cc021392ddd0b1c0167cd424e65ec011894ff5c022c22b98f7bcd50f84d87","checklist","FALSE","FALSE","Building A","Basement 1","B1P10"
"ee0fe15d-4c73-48c3-8e36-d4df5fb3c48b","","checklist-sectioned","pass","0d7cc021392ddd0b1c0167cd424e65ec011894ff5c022c22b98f7bcd50f84d87","checklist","FALSE","FALSE","Building A","Basement 1","B1P12"
"4c5e376b-4032-48da-8160-f609fa57d5b3","","checklist-sectioned","pass","0d7cc021392ddd0b1c0167cd424e65ec011894ff5c022c22b98f7bcd50f84d87","checklist","FALSE","FALSE","Building A","Basement 1","B1P13"
"e8d3b726-58be-4c31-8316-691d05dd23da","","checklist-sectioned","pass","0d7cc021392ddd0b1c0167cd424e65ec011894ff5c022c22b98f7bcd50f84d87","checklist","FALSE","FALSE","Building A","Basement 1","B1P14"
"016effde-66ec-48e6-b99a-1099b8b8d7fa","","checklist-sectioned","pass","a7d6c81fc712a5ab68a066215771eb7300a6ed80e0152fbcf83729cd37ba5ed7","checklist","FALSE","FALSE","Building A","Basement 1","B1P15"
"a97894df-699f-42dd-97cf-fba6d8658082","","checklist-sectioned","pass","a7d6c81fc712a5ab68a066215771eb7300a6ed80e0152fbcf83729cd37ba5ed7","checklist","FALSE","FALSE","Building A","Basement 1","B1P15A"
"8d20927a-bb95-4852-8267-ce34b6859fbc","","checklist-sectioned","pass","0d7cc021392ddd0b1c0167cd424e65ec011894ff5c022c22b98f7bcd50f84d87","checklist","FALSE","FALSE","Building A","Basement 1","B1P16"
"dbaa9c2f-d4a2-4994-b600-7a47f46fecd8","","checklist-sectioned","pass","0d7cc021392ddd0b1c0167cd424e65ec011894ff5c022c22b98f7bcd50f84d87","checklist","FALSE","FALSE","Building A","Basement 1","B1P17"
"33eb5bde-7c6d-452c-9eeb-9c7ee6ccfb87","","checklist-sectioned","pass","0d7cc021392ddd0b1c0167cd424e65ec011894ff5c022c22b98f7bcd50f84d87","checklist","FALSE","FALSE","Building A","Basement 1","B1P18"
"abe99248-a28b-4fa9-9a93-3574916e4a5a","","checklist-sectioned","pass","a7d6c81fc712a5ab68a066215771eb7300a6ed80e0152fbcf83729cd37ba5ed7","checklist","FALSE","FALSE","Building A","Basement 1","B1P19"
"3d36d71a-9ea4-4f3e-8780-e73128dba2f1","","checklist-sectioned","pass","a7d6c81fc712a5ab68a066215771eb7300a6ed80e0152fbcf83729cd37ba5ed7","checklist","FALSE","FALSE","Building A","Basement 1","B1P20"
"c9f213c6-76ab-4a70-9e43-d946da30a68c","","checklist-sectioned","pass","0d7cc021392ddd0b1c0167cd424e65ec011894ff5c022c22b98f7bcd50f84d87","checklist","FALSE","FALSE","Building A","Basement 1","B1P21"
"7e93d4a8-a845-4d8e-aecc-24ad1cf83c60","","checklist-sectioned","pass","0d7cc021392ddd0b1c0167cd424e65ec011894ff5c022c22b98f7bcd50f84d87","checklist","FALSE","FALSE","Building A","Basement 1","B1P22"
"77d030ab-4c50-4a82-b3a0-7257c0098791","","checklist-sectioned","pass","a7d6c81fc712a5ab68a066215771eb7300a6ed80e0152fbcf83729cd37ba5ed7","checklist","FALSE","FALSE","Building A","Basement 1","B1P05"
"d740f0f8-7dab-44d7-8343-302b584a9f99","","folder-normal","fail","","step","TRUE","FALSE","Building A","Basement 2"
"fbffb294-aefb-4f8e-a7ee-882618a81329","","checklist-sectioned","pass","1d8d0fa0f5c8883a1ba329756fd27f98ad764a32bb713cc6ff922814d841199e","checklist","FALSE","FALSE","Building A","Basement 2","B2C01"
"422eb782-2114-4ccd-8c68-5a57774fb104","","checklist-sectioned","pass","1d8d0fa0f5c8883a1ba329756fd27f98ad764a32bb713cc6ff922814d841199e","checklist","FALSE","FALSE","Building A","Basement 2","B2C02"
"5fee3643-c087-4f18-ae91-c7a9e06b266a","","checklist-sectioned","pass","10136613c91c092fbadc0c59c24bb8ec7997da0e7bc1b642c6703fb8f20c94f3","checklist","FALSE","FALSE","Building A","Basement 2","B2C03"
"07cb0a08-4000-4118-8658-93f70023ba44","","checklist-sectioned","pass","10136613c91c092fbadc0c59c24bb8ec7997da0e7bc1b642c6703fb8f20c94f3","checklist","FALSE","FALSE","Building A","Basement 2","B2C04"
"decc3e26-3410-4d9f-97a7-aa58e715cd63","","checklist-sectioned","fail","10136613c91c092fbadc0c59c24bb8ec7997da0e7bc1b642c6703fb8f20c94f3","checklist","FALSE","FALSE","Building A","Basement 2","B2C05"
"5b067cac-9217-40b5-8201-ab57fff904d9","","checklist-sectioned","pass","10136613c91c092fbadc0c59c24bb8ec7997da0e7bc1b642c6703fb8f20c94f3","checklist","FALSE","FALSE","Building A","Basement 2","B2C06"
"63fb64cb-de5d-44fe-ac0c-c7e0c89eb593","","checklist-sectioned","pass","0d7cc021392ddd0b1c0167cd424e65ec011894ff5c022c22b98f7bcd50f84d87","checklist","FALSE","FALSE","Building A","Basement 2","B2C07"
"05e09f03-07b1-4042-a2a1-3f9378888a78","","checklist-sectioned","pass","0d7cc021392ddd0b1c0167cd424e65ec011894ff5c022c22b98f7bcd50f84d87","checklist","FALSE","FALSE","Building A","Basement 2","B2C08"
"a22e803f-3675-41ed-a975-7943f67d1e98","","checklist-sectioned","pass","0d7cc021392ddd0b1c0167cd424e65ec011894ff5c022c22b98f7bcd50f84d87","checklist","FALSE","FALSE","Building A","Basement 2","B2C09"
