"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"e20f581c-1680-4a2b-93af-feb15e1c56a1","","folder-normal","pass","","step","TRUE","FALSE","Level 7"
"d2047e59-6ce2-4e7c-a181-e03b14209239","","checklist-sectioned","pass","e76d6c4113d7531e8a4640091c3ebeee6ba89d48e200a09be21e75e5503cb2bc","checklist","FALSE","FALSE","Level 7","L07-PP03"
"85b7cacc-206d-4c34-bba8-670d8d944dce","","checklist-sectioned","pass","5bcc8b5c45fdf68ecc95d73050ea5d9c0cacf407adc7854cba6df5171f9814ee","checklist","FALSE","FALSE","Level 7","L07-P13B"
"0ed39f6e-f828-4914-a2ca-0e4b551cd9e9","","checklist-sectioned","pass","5bcc8b5c45fdf68ecc95d73050ea5d9c0cacf407adc7854cba6df5171f9814ee","checklist","FALSE","FALSE","Level 7","L07-P23"
"327a93ec-d1b7-40d4-b5fe-c793e5fee0c0","","checklist-sectioned","pass","5bcc8b5c45fdf68ecc95d73050ea5d9c0cacf407adc7854cba6df5171f9814ee","checklist","FALSE","FALSE","Level 7","L07-P38"
"4ea44866-f19d-4230-acf9-e6a11c0279d5","","checklist-sectioned","pass","5bcc8b5c45fdf68ecc95d73050ea5d9c0cacf407adc7854cba6df5171f9814ee","checklist","FALSE","FALSE","Level 7","L07-P42B"
"b5b7966b-57c4-44d8-b7b9-aadf4d6134c9","","folder-normal","work-in-progress","","step","TRUE","FALSE","Level 8"
"906dcfad-1bd9-47b4-a7f1-8767b84d29fb","","checklist-sectioned","pass","5bcc8b5c45fdf68ecc95d73050ea5d9c0cacf407adc7854cba6df5171f9814ee","checklist","FALSE","FALSE","Level 8","L08-PP02"
"d5ae2e09-d699-45f8-a59d-f356b303f3a9","","checklist-sectioned","not-started","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Level 8","L08-P02"
"c102276d-e2e1-4b8b-8cf8-40268ed5ccc2","","checklist-sectioned","pass","5bcc8b5c45fdf68ecc95d73050ea5d9c0cacf407adc7854cba6df5171f9814ee","checklist","FALSE","FALSE","Level 8","L08-PP03"
"94fa3d3c-4ec0-4bd0-9a42-a803dc11a674","","checklist-sectioned","pass","5bcc8b5c45fdf68ecc95d73050ea5d9c0cacf407adc7854cba6df5171f9814ee","checklist","FALSE","FALSE","Level 8","L08-PP04"
"a049c8fa-d05f-493d-b7a9-da4660e67f82","","checklist-sectioned","not-started","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Level 8","L08-P04"
"dc182c58-12b9-4ec4-b6ff-5a299c2a1cdc","","checklist-sectioned","pass","83d4980bde89da0475cea782473feb74bd454b66623e1ef3e89cdeae19b7608f","checklist","FALSE","FALSE","Level 8","L08-LD05"
"776a9b69-0134-4d33-a920-7c2cec39e1f3","","checklist-sectioned","pass","5bcc8b5c45fdf68ecc95d73050ea5d9c0cacf407adc7854cba6df5171f9814ee","checklist","FALSE","FALSE","Level 8","L08-PP06"
"4f0e196d-ce61-484d-839f-05c1367d416e","","checklist-sectioned","pass","83d4980bde89da0475cea782473feb74bd454b66623e1ef3e89cdeae19b7608f","checklist","FALSE","FALSE","Level 8","L08-LD06"
"5be41bbe-9659-4412-ade3-0d093beefe3e","","checklist-sectioned","pass","5bcc8b5c45fdf68ecc95d73050ea5d9c0cacf407adc7854cba6df5171f9814ee","checklist","FALSE","FALSE","Level 8","L08-PP07"
"e853a194-66bf-4ccc-b1ee-d97405a312d4","","checklist-sectioned","pass","5bcc8b5c45fdf68ecc95d73050ea5d9c0cacf407adc7854cba6df5171f9814ee","checklist","FALSE","FALSE","Level 8","L08-PP08"
"809f56b6-ed4b-4d34-b017-51f1ea509c8f","","checklist-sectioned","not-started","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Level 8","L08-PP10"
"35c6574a-3a3d-4304-9c95-67a2e4513867","","checklist-sectioned","not-started","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Level 8","L08-PP11"
"5596b332-1e45-4473-af6a-88cb359f6bd4","","checklist-sectioned","not-started","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Level 8","L08-PP13"
"2ffd166a-ec75-49e7-8131-ba76b7d2b76e","","checklist-sectioned","pass","5bcc8b5c45fdf68ecc95d73050ea5d9c0cacf407adc7854cba6df5171f9814ee","checklist","FALSE","FALSE","Level 8","L08-PP14"
"affe9f35-7370-4215-95c2-94b3560a5c73","","checklist-sectioned","pass","5bcc8b5c45fdf68ecc95d73050ea5d9c0cacf407adc7854cba6df5171f9814ee","checklist","FALSE","FALSE","Level 8","L08-PP15"
