"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"6237a229-1be5-4a03-afdd-b5d38fed0fc5","","folder-normal","pass","","step","TRUE","FALSE","Level 2"
"73c2b527-1004-4867-8e4d-e2cd1504859e","","checklist-sectioned","pass","ba85556131dcd4896e528440f230793f7af4273350bc4e4464580c53eb236bf4","checklist","FALSE","FALSE","Level 2","L2-P11"
"5bcf278b-cd2e-4e3f-9401-4de06ce2a5e4","","checklist-sectioned","pass","ba85556131dcd4896e528440f230793f7af4273350bc4e4464580c53eb236bf4","checklist","FALSE","FALSE","Level 2","L2-P12"
"6b262a20-615a-4fe8-9d59-250516458ebe","","checklist-sectioned","pass","7d050428083ce5dd79f825a144d759288127b9ee543d0835509745daf16074e6","checklist","FALSE","FALSE","Level 2","L2-P13"
"3ed28fc8-7e33-4b1f-81e8-87a432345eec","","checklist-sectioned","pass","ba85556131dcd4896e528440f230793f7af4273350bc4e4464580c53eb236bf4","checklist","FALSE","FALSE","Level 2","L2-P14"
"5f1f1754-dd84-4e7d-998a-6b745b01f769","","checklist-sectioned","pass","ba85556131dcd4896e528440f230793f7af4273350bc4e4464580c53eb236bf4","checklist","FALSE","FALSE","Level 2","L2-P15"
"c3bd15dd-ab8a-460e-a742-440ef32d2ba3","","checklist-sectioned","pass","ba85556131dcd4896e528440f230793f7af4273350bc4e4464580c53eb236bf4","checklist","FALSE","FALSE","Level 2","L2-P16"
"5746f5f5-eb33-4d9a-8052-a588b16d83cd","","checklist-sectioned","pass","ba85556131dcd4896e528440f230793f7af4273350bc4e4464580c53eb236bf4","checklist","FALSE","FALSE","Level 2","L2-P17"
"db743b48-09ab-4a37-bf55-64ee22bb5294","","checklist-sectioned","pass","ba85556131dcd4896e528440f230793f7af4273350bc4e4464580c53eb236bf4","checklist","FALSE","FALSE","Level 2","L2-P18"
"a27fef1f-b9be-4d04-a01d-2d8e9fe81469","","checklist-sectioned","pass","7d050428083ce5dd79f825a144d759288127b9ee543d0835509745daf16074e6","checklist","FALSE","FALSE","Level 2","L2-P19"
"04dacacd-a750-46c8-b095-da27133df247","","checklist-sectioned","pass","ba85556131dcd4896e528440f230793f7af4273350bc4e4464580c53eb236bf4","checklist","FALSE","FALSE","Level 2","L2-P20"
"e0282c05-9cab-430f-a864-5055a862d2fe","","checklist-sectioned","pass","ba85556131dcd4896e528440f230793f7af4273350bc4e4464580c53eb236bf4","checklist","FALSE","FALSE","Level 2","L2-P21"
"dbcde483-07f3-4071-a37c-0fa0ed443b39","","checklist-sectioned","pass","ba85556131dcd4896e528440f230793f7af4273350bc4e4464580c53eb236bf4","checklist","FALSE","FALSE","Level 2","L2-P22"
"ab444611-c669-458d-92e1-4f5c21f1936c","","checklist-sectioned","pass","ba85556131dcd4896e528440f230793f7af4273350bc4e4464580c53eb236bf4","checklist","FALSE","FALSE","Level 2","L2-P23"
"82157a92-9d62-435b-b73b-845aa6109198","","checklist-sectioned","pass","7d050428083ce5dd79f825a144d759288127b9ee543d0835509745daf16074e6","checklist","FALSE","FALSE","Level 2","L2-P24"
"c897ac3d-d458-4fae-b12c-d947a17957b4","","checklist-sectioned","pass","ba85556131dcd4896e528440f230793f7af4273350bc4e4464580c53eb236bf4","checklist","FALSE","FALSE","Level 2","L2-P25"
"2f546fde-6541-43fe-ba95-7c7107f1822b","","checklist-sectioned","pass","ba85556131dcd4896e528440f230793f7af4273350bc4e4464580c53eb236bf4","checklist","FALSE","FALSE","Level 2","L2-P26"
"d5527bd6-8f6d-4f77-a540-002a87b75bed","","checklist-sectioned","pass","ba85556131dcd4896e528440f230793f7af4273350bc4e4464580c53eb236bf4","checklist","FALSE","FALSE","Level 2","L2-P27"
"945b42a7-fa05-4508-8813-e48b32ac5d8b","","checklist-sectioned","pass","ba85556131dcd4896e528440f230793f7af4273350bc4e4464580c53eb236bf4","checklist","FALSE","FALSE","Level 2","L2-P28"
"e0c1a135-4454-409d-b499-7bc7fa95d7c9","","checklist-sectioned","pass","ba85556131dcd4896e528440f230793f7af4273350bc4e4464580c53eb236bf4","checklist","FALSE","FALSE","Level 2","L2-P30"
"8ff99619-1897-499c-83f7-47fb83dad21c","","checklist-sectioned","pass","ba85556131dcd4896e528440f230793f7af4273350bc4e4464580c53eb236bf4","checklist","FALSE","FALSE","Level 2","L2-P31"
"93e30c92-dd09-4d9f-93e2-539d4aa476cf","","checklist-sectioned","pass","ba85556131dcd4896e528440f230793f7af4273350bc4e4464580c53eb236bf4","checklist","FALSE","FALSE","Level 2","L2-P32"
"0e6c626d-3e71-40ad-8c28-9d235c8d69c6","","checklist-sectioned","pass","ba85556131dcd4896e528440f230793f7af4273350bc4e4464580c53eb236bf4","checklist","FALSE","FALSE","Level 2","L2-P33"
"a616b9e0-68ff-4a66-8dde-768efeede535","","checklist-sectioned","pass","ba85556131dcd4896e528440f230793f7af4273350bc4e4464580c53eb236bf4","checklist","FALSE","FALSE","Level 2","L2-P34"
"ad9adb6c-515e-4713-87d0-adad882c429f","","checklist-sectioned","pass","ba85556131dcd4896e528440f230793f7af4273350bc4e4464580c53eb236bf4","checklist","FALSE","FALSE","Level 2","L2-P35"
"b506b675-163e-4eaf-8aa7-f6577a1b03c0","","checklist-sectioned","pass","ba85556131dcd4896e528440f230793f7af4273350bc4e4464580c53eb236bf4","checklist","FALSE","FALSE","Level 2","L2-P38"
"a2e8ffa6-fb77-4656-b992-752658ef7d9d","","checklist-sectioned","pass","ba85556131dcd4896e528440f230793f7af4273350bc4e4464580c53eb236bf4","checklist","FALSE","FALSE","Level 2","L2-P39"
"bd1996ba-5a5f-49c8-bad8-f13837d2cef9","","checklist-sectioned","pass","ba85556131dcd4896e528440f230793f7af4273350bc4e4464580c53eb236bf4","checklist","FALSE","FALSE","Level 2","L2-P40"
"11189233-116a-443d-ab9c-291c389fa860","","checklist-sectioned","pass","ba85556131dcd4896e528440f230793f7af4273350bc4e4464580c53eb236bf4","checklist","FALSE","FALSE","Level 2","L2-P41"
"604e0bd0-797c-41f9-90c4-778d8930d968","","checklist-sectioned","pass","ba85556131dcd4896e528440f230793f7af4273350bc4e4464580c53eb236bf4","checklist","FALSE","FALSE","Level 2","L2-P42"
"05e56499-83d3-4d03-adb3-42f481bf3fe4","","checklist-sectioned","pass","ba85556131dcd4896e528440f230793f7af4273350bc4e4464580c53eb236bf4","checklist","FALSE","FALSE","Level 2","L2-P43"
"b8cb714c-2bfc-4bca-94e5-d4f0f60ecac1","","checklist-sectioned","pass","ba85556131dcd4896e528440f230793f7af4273350bc4e4464580c53eb236bf4","checklist","FALSE","FALSE","Level 2","L2-P44"
"f2aae6b0-4bf5-4546-9598-5cafb219915a","","checklist-sectioned","pass","ba85556131dcd4896e528440f230793f7af4273350bc4e4464580c53eb236bf4","checklist","FALSE","FALSE","Level 2","L2-P45"
