"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"28216e65-44bb-4d83-8463-596d3fe42cce","","folder-normal","pass","","step","TRUE","FALSE","Ground Floor"
"f6166687-0897-4721-a349-d06f0eec24dd","","checklist-sectioned","pass","314394ab013cfc922fa790810d06765e1898e7b51d8da08807fe227427ac11f9","checklist","FALSE","FALSE","Ground Floor","P03"
"73c4e370-c362-4bb5-b553-bbb8d50f4976","","checklist-sectioned","pass","314394ab013cfc922fa790810d06765e1898e7b51d8da08807fe227427ac11f9","checklist","FALSE","FALSE","Ground Floor","P04"
"368fb7dc-fdc0-4a07-bd7e-4363622cb8a6","","checklist-sectioned","pass","314394ab013cfc922fa790810d06765e1898e7b51d8da08807fe227427ac11f9","checklist","FALSE","FALSE","Ground Floor","P05"
"f30dda5e-0d5a-4b74-9fe8-b64bff154ee1","","checklist-sectioned","pass","314394ab013cfc922fa790810d06765e1898e7b51d8da08807fe227427ac11f9","checklist","FALSE","FALSE","Ground Floor","P06"
"d61d42d9-3539-4ec4-98a2-07e3597ff07f","","checklist-sectioned","pass","314394ab013cfc922fa790810d06765e1898e7b51d8da08807fe227427ac11f9","checklist","FALSE","FALSE","Ground Floor","P07"
"1513a9b7-15a2-4b67-b930-b73c26a3d550","","checklist-sectioned","pass","314394ab013cfc922fa790810d06765e1898e7b51d8da08807fe227427ac11f9","checklist","FALSE","FALSE","Ground Floor","P08"
"9565f7b5-f2e7-4a2c-944c-77aa4bd783a8","","checklist-sectioned","pass","314394ab013cfc922fa790810d06765e1898e7b51d8da08807fe227427ac11f9","checklist","FALSE","FALSE","Ground Floor","P09"
"73c18ff5-feb7-4820-b435-b341333492c5","","checklist-sectioned","pass","314394ab013cfc922fa790810d06765e1898e7b51d8da08807fe227427ac11f9","checklist","FALSE","FALSE","Ground Floor","P10"
"50fd3eb8-84a7-4732-99b3-8c5699ab68c6","","checklist-sectioned","pass","314394ab013cfc922fa790810d06765e1898e7b51d8da08807fe227427ac11f9","checklist","FALSE","FALSE","Ground Floor","P11"
"1aa7cfa8-2bbf-4dd8-8a50-2e1b884dfe9b","","checklist-sectioned","pass","314394ab013cfc922fa790810d06765e1898e7b51d8da08807fe227427ac11f9","checklist","FALSE","FALSE","Ground Floor","P12"
"22ae2567-015a-40a5-8603-5837467d2ed5","","checklist-sectioned","pass","314394ab013cfc922fa790810d06765e1898e7b51d8da08807fe227427ac11f9","checklist","FALSE","FALSE","Ground Floor","P13"
"0f25ab38-e6c8-45dd-bc94-f5f17ca50848","","checklist-sectioned","pass","314394ab013cfc922fa790810d06765e1898e7b51d8da08807fe227427ac11f9","checklist","FALSE","FALSE","Ground Floor","P14"
"3196e181-3025-48de-90ba-853f203adb36","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Level 1"
